movie_no	movie	offset	bytes	text
1	EVT000_2	0005E1	37	最大戦速、15分で到着すると伝えろ！
1	EVT000_2	000606	1	
1	EVT000_2	000607	1	
2	EVT000_3	000730	19	くそっ！ くそっ！
2	EVT000_3	000743	9	逃げろ！
2	EVT000_3	00074C	29	こいつはいつもの雑種じゃない
2	EVT000_3	000769	13	血統書つきだ
2	EVT000_3	000776	21	俺達の手には負えん！
2	EVT000_3	00078B	13	助けは呼んだ
2	EVT000_3	000798	29	エッジ、おまえは逃げるんだ…
2	EVT000_3	0007B5	13	バカ、無茶だ
2	EVT000_3	0007C2	15	何するつもりだ
2	EVT000_3	0007D1	17	エッジ、逃げろ！
2	EVT000_3	0007E2	9	ひ、人？
2	EVT000_3	0007EB	27	エッジ！ よそ見をするな！
2	EVT000_3	000806	9	足場だ！
2	EVT000_3	00080F	13	足場を狙え！
2	EVT000_3	00081C	19	奴はまだ死んでない
2	EVT000_3	00082F	21	早くここから出るんだ
3	EVT000_4	0008CC	7	隊長！
3	EVT000_4	0008D3	9	帝国軍？
3	EVT000_4	0008DC	31	待ってくれ…味方だ、俺達味方だ
3	EVT000_4	0008FB	7	味方？
3	EVT000_4	000902	21	ふん、さっきまではな
3	EVT000_4	000917	27	ツァスタバ、ザコにかまうな
3	EVT000_4	000932	19	あまり時間がない…
3	EVT000_4	000945	9	なぜだ？
3	EVT000_4	00094E	13	なぜ儀らを…
3	EVT000_4	00095B	17	それに…あれは…
3	EVT000_4	00096C	11	見たのか？
3	EVT000_4	000977	5	人だ
3	EVT000_4	00097C	9	女がいた
3	EVT000_4	000985	15	クレイメン閣下
3	EVT000_4	000994	27	もう、後戻りはできませんぞ
3	EVT000_4	0009AF	19	例のものを運び出す
3	EVT000_4	0009C2	25	急げ！ 『帝国軍』が来る
3	EVT000_4	0009DB	17	あれは……何だ？
3	EVT000_4	0009EC	15	畜生、待…て…
3	EVT000_4	0009FB	17	ガキめ、しぶとい
3	EVT000_4	000A0C	31	帝都の仕掛けもそろそろ作動する
3	EVT000_4	000A2B	17	次の作戦に移るぞ
4	EVT000_5	000AF4	7	同時刻
4	EVT000_5	000AFB	5	帝都
4	EVT000_5	000B00	33	帝都を中心とした半径1万リオン、
4	EVT000_5	000B21	19	完全に消滅しました
4	EVT000_5	000B34	25	アカデミーからの報告では
4	EVT000_5	000B4D	35	原因となった、地下の遣跡の暴走には
4	EVT000_5	000B70	35	人為的な手が加えられた跡があると…
4	EVT000_5	000B93	19	皇帝陛下、ご指示を
4	EVT000_5	000BA6	25	クレイメンめ…やりおるわ
4	EVT000_5	000BBF	25	まさか、我が帝国に取って
4	EVT000_5	000BD8	21	代わろうとするとはな
4	EVT000_5	000BED	31	だが、帝都を滅ぼしたこの力も、
4	EVT000_5	000C0C	31	『塔』に秘められた力に比べれば
4	EVT000_5	000C2B	19	赤子のようなものだ
4	EVT000_5	000C3E	29	あれさえ手に入れば、帝国など
4	EVT000_5	000C5B	19	何度でも再建できる
4	EVT000_5	000C6E	5	はっ
4	EVT000_5	000C73	17	クレイメンを追え
4	EVT000_5	000C84	31	奴が塔にたどり着く前に粉砕せよ
4	EVT000_5	000CA3	31	この、旗艦グリグオリグの力でな
4	EVT000_5	000CC2	1	
4	EVT000_5	000CC3	1	
5	EVT002	000D6C	17	…生きてる…！？
5	EVT002	000D7D	17	…助かったのか…
5	EVT002	000D8E	31	早く上に戻らないと…隊長達が…
5	EVT002	000DAD	1	
5	EVT002	000DAE	1	
5	EVT002	000DAF	1	
6	EVT004_2	000DD0	9	今のは…
6	EVT004_2	000DD9	21	乗れって…言うのか？
6	EVT004_2	000DEE	1	
6	EVT004_2	000DEF	1	
7	EVT008	000E08	7	隊長！
7	EVT008	000E0F	27	生きてたのか…よく無事で…
7	EVT008	000E2A	7	隊長！
7	EVT008	000E31	11	早く行け！
7	EVT008	000E3C	35	奴らは谷にそって…北へ向かってる…
7	EVT008	000E5F	29	あの男…クレイメン達を追え…
7	EVT008	000E7C	25	本物の帝国軍が来る前に…
7	EVT008	000E95	15	クレイメン！？
7	EVT008	000EA4	25	誰なんです、そいつは！？
7	EVT008	000EBD	9	それに、
7	EVT008	000EC6	35	なんで追わなきゃならないんです！？
7	EVT008	000EE9	17	帝国の特務部隊…
7	EVT008	000EFA	39	黒い艦隊を率いる男の話を聞いた事がある
7	EVT008	000F21	21	おそらくは…奴が……
7	EVT008	000F36	33	ここを見れば、帝国は俺達を疑う…
7	EVT008	000F57	27	あの発掘物を尋回する以外、
7	EVT008	000F72	31	おまえの生きのびる方法はない…
7	EVT008	000F91	19	胸の…ポケット……
7	EVT008	000FA4	7	そうだ
7	EVT008	000FAB	15	隊長、これは…
7	EVT008	000FBA	7	隊長？
7	EVT008	000FC1	9	隊長！！
7	EVT008	000FCA	1	
7	EVT008	000FCB	11	…くそっ…
7	EVT008	000FD6	17	…クレイメンめ…
7	EVT008	000FE7	1	
8	EVT016_1	0010B8	23	ここも…やられたのか…
8	EVT016_1	0010CF	11	やられた？
8	EVT016_1	0010DA	27	攻性生物…あの化け物どもさ
8	EVT016_1	0010F5	17	だが、何で突然…
8	EVT016_1	001106	25	俺はこの辺りを調べてくる
8	EVT016_1	00111F	35	悪いが、もう一晩だけつきあってくれ
8	EVT016_1	001142	1	
8	EVT016_1	001143	1	
9	EVT016_2	00117C	11	…ふうん、
9	EVT016_2	001187	21	で、こんなのと一緒に
9	EVT016_2	00119C	23	旅をする事になったのか
9	EVT016_2	0011B3	27	…俺達シーカーの間じゃあ、
9	EVT016_2	0011CE	37	ドラゴンは神様の使いって事になってる
9	EVT016_2	0011F3	21	もっとも、神様なんて
9	EVT016_2	001208	27	世界を護る存在がいるんなら
9	EVT016_2	001223	21	この村もこんな事には
9	EVT016_2	001238	23	ならなかっただろうがね
9	EVT016_2	00124F	37	ま、帝国じゃ逆の言われ方をしてるし、
9	EVT016_2	001274	25	本当のところはわからんよ
9	EVT016_2	00128D	5	逆？
9	EVT016_2	001292	27	旧世紀を滅ぼした悪魔だとよ
9	EVT016_2	0012AD	27	そりゃそうも言いたくなるさ
9	EVT016_2	0012C8	37	奴ら、何度も手痛い目にあってるからな
9	EVT016_2	0012ED	33	ま、その辺はあんたの方が詳しいか
9	EVT016_2	00130E	33	傭兵とはいえ、帝国にいたんだろ？
9	EVT016_2	00132F	27	で、これからどうするんだ？
9	EVT016_2	00134A	39	隊長には、クレイメンを追えって言われた
9	EVT016_2	001371	25	だけど、そうじゃなくても
9	EVT016_2	00138A	29	隊長やみんなの仇を討ちたい…
9	EVT016_2	0013A7	13	仇討ち、か…
9	EVT016_2	0013B4	17	ま、それもいいさ
9	EVT016_2	0013C5	17	どちらにしても、
9	EVT016_2	0013D6	33	よほどの目的がないとつらいからな
9	EVT016_2	0013F7	13	辺境の旅は…
9	EVT016_2	001404	33	じゃあ、あんたの目的は何なんだ？
9	EVT016_2	001425	7	俺か？
9	EVT016_2	00142C	17	聞いてどうする？
9	EVT016_2	00143D	13	え、い、いや
9	EVT016_2	00144A	1	
9	EVT016_2	00144B	1	
10	EVT016_3	001544	25	ある物、いや人を探してる
10	EVT016_3	00155D	37	『絶対の客人』とでも訳せばいいのかな
10	EVT016_3	001582	33	旧世紀の記録には、そう書いてある
10	EVT016_3	0015A3	15	絶対の客人…？
10	EVT016_3	0015B2	31	…悪いが、それ以上は言えんな…
10	EVT016_3	0015D1	39	そのクレイメンって奴は砂漠へ向かったぜ
10	EVT016_3	0015F8	9	えっ！？
10	EVT016_3	001601	27	そのせいで砂漠の攻性生物が
10	EVT016_3	00161C	21	ここに攻め込んだのさ
10	EVT016_3	001631	25	シーカーは死んでも仲間に
10	EVT016_3	00164A	25	情報を伝える術を知ってる
10	EVT016_3	001663	31	この村にいた仲間が残した遣言さ
10	EVT016_3	001682	1	
10	EVT016_3	001683	1	
11	EVT029	0016EC	29	クレイメンは…奴はどこだ！？
11	EVT029	001709	27	愚か者め…私は囮にすぎん…
11	EVT029	001724	23	閣下は今ごろ『塔』に…
11	EVT029	00173B	23	…おまえは…あの時の…
11	EVT029	001752	29	よくここまで追ってきたものだ
11	EVT029	00176F	27	だが、それもここで終わりだ
11	EVT029	00178A	15	あとは彼女が…
11	EVT029	001799	7	彼女？
11	EVT029	0017A0	15	…あいつは！！
11	EVT029	0017AF	1	
12	EVT040	001800	9	帝国軍！
12	EVT040	001809	19	おい！ おまえ！！
12	EVT040	00181C	13	侵入者だ！！
12	EVT040	001829	31	船内に拘留しておけ、出航が近い
13	EVT041	001870	31	おい、誰が寝ていいって言った！
13	EVT041	00188F	35	だから、何度も言ってる…じゃないか
13	EVT041	0018B2	25	儀らも襲われたんだって…
13	EVT041	0018CB	13	ふざけるなよ
13	EVT041	0018D8	23	このハンターくずれが！
13	EVT041	0018EF	33	クレイメンにいくらもらった、あ？
13	EVT041	001910	11	エッジ君、
13	EVT041	00191B	25	君はクレイメンという男を
13	EVT041	001934	19	よく知らないようだ
13	EVT041	001947	37	彼は『塔』の力を使い、再びこの世界を
13	EVT041	00196C	29	滅ぼそうと考えている男なのだ
13	EVT041	001989	35	旧世紀がそうやって滅びたようにね…
13	EVT041	0019AC	33	…かつて、一夜にして3つの大陸を
13	EVT041	0019CD	25	焼いたと言われる『塔』…
13	EVT041	0019E6	35	その力は、我々帝国にこそふさわしい
13	EVT041	001A09	27	そうは思わんかね、エッジ君
13	EVT041	001A24	33	言いたくなければそれでもいいがね
13	EVT041	001A45	25	聞く方法はいくらでもある
13	EVT041	001A5E	19	思ったよりねばる…
13	EVT041	001A71	33	このまま旗艦艦隊に引き渡しますか
13	EVT041	001A92	17	待て…これを見ろ
13	EVT041	001AA3	11	これは…！
13	EVT041	001AAE	15	クレイメンめ…
13	EVT041	001ABD	23	我々が思っている以上に
13	EVT041	001AD4	25	情報をつかんでいるようだ
13	EVT041	001AED	19	では、すでに塔へ？
13	EVT041	001B00	27	だとしても、ここで発掘した
13	EVT041	001B1B	17	あれを使えばよい
13	EVT041	001B2C	31	とにかく、陛下への報告を急ごう
13	EVT041	001B4B	1	
14	EVT043	001C3C	33	なんでこんなとこに？ って顔だな
14	EVT043	001C5D	21	ま、少し待てばわかる
14	EVT043	001C72	7	時間だ
14	EVT043	001C79	17	帝国戦艦ってのは
14	EVT043	001C8A	27	意外と隠れ場所があってな、
14	EVT043	001CA5	37	帝国がやばい物を発掘したっていうから
14	EVT043	001CCA	21	便乗して見に来たのさ
14	EVT043	001CDF	37	おまえがいるとは思いもしなかったが…
14	EVT043	001D04	11	立てるか？
14	EVT043	001D0F	31	見かけのわりには大丈夫そうだな
14	EVT043	001D2E	9	行くぞ！
14	EVT043	001D37	19	行くって…どこに？
14	EVT043	001D4A	19	甲板に脱出するんだ
14	EVT043	001D5D	27	相棒が待ってる、おまえのな
14	EVT043	001D78	7	早く！
14	EVT043	001D7F	1	
15	EVT054	001E00	13	あいつは！！
15	EVT054	001E0D	11	礼を言うぜ
15	EVT054	001E18	31	わざわざ、ウルのガーディアンを
15	EVT054	001E37	27	復活させてくれるとはな！！
15	EVT054	001E52	39	あんたの仲間も、あの世で大喜びだぜぇ！
15	EVT054	001E79	19	何も知らねえガキが
15	EVT054	001E8C	33	クレイメン閣下にたてつくなんざ、
15	EVT054	001EAD	19	お笑いぐさだぜ！！
15	EVT054	001EC0	37	そこで攻性生物のエサにでもなりな！！
15	EVT054	001EE5	1	
15	EVT054	001EE6	1	
15	EVT054	001EE7	1	
16	EVT060_1	001F38	19	地下には来たけど…
16	EVT060_1	001F4B	21	ドラゴンなしじゃな…
16	EVT060_1	001F60	17	どうすりゃいい…
16	EVT060_1	001F71	7	撃つな
16	EVT060_1	001F78	35	生き残りがいる事を知らせてどうする
16	EVT060_1	001F9B	21	敵の数が増えるだけだ
16	EVT060_1	001FB0	21	奴らには目も耳もない
16	EVT060_1	001FC5	29	じっとしてれば通りすぎていく
16	EVT060_1	001FE2	11	銃を下ろせ
16	EVT060_1	001FED	25	こっちへゆっくり出てこい
16	EVT060_1	002006	35	銃を下ろすかどうかはそれから決める
16	EVT060_1	002029	29	出られるならとっくに出てる…
16	EVT060_1	002046	1	
16	EVT060_1	002047	1	
17	EVT060_2	0020B0	15	助けてもいいぞ
17	EVT060_2	0020BF	31	塔への道を教えてくれるのならな
17	EVT060_2	0020DE	27	すでに塔への入□は封印した
17	EVT060_2	0020F9	35	そんな事より生きのびる方法を考えろ
17	EVT060_2	00211C	35	生きのびる方法？ どういう意味だ？
17	EVT060_2	00213F	27	ここの攻性生物の戦闘能力は
17	EVT060_2	00215A	15	かなりのものだ
17	EVT060_2	002169	31	一人で戦って勝てる相手ではない
17	EVT060_2	002188	21	私も、この足だからな
17	EVT060_2	00219D	19	とても脱出は無理だ
17	EVT060_2	0021B0	23	一時休戦…ってことか？
17	EVT060_2	0021C7	39	いいだろう、だけど地上に出られるまでだ
17	EVT060_2	0021EE	39	それにあんたには聞きたい事が山ほどある
17	EVT060_2	002215	35	その前に、ここを早く離れた方がいい
17	EVT060_2	002238	17	聞こえるだろう？
17	EVT060_2	002249	25	裏側に起動スイッチがある
17	EVT060_2	002262	17	それを押せば動く
17	EVT060_2	002273	15	戦闘装備…作動
17	EVT060_2	002282	23	その銃とシンクロさせる
17	EVT060_2	002299	25	私が船をコントロールする
17	EVT060_2	0022B2	27	敵が来た時の処理はまかせる
17	EVT060_2	0022CD	37	ドラゴンをコントロールできるのなら、
17	EVT060_2	0022F2	13	できるはずだ
17	EVT060_2	0022FF	1	
18	EVT067	0023C0	31	くそっ、やっぱり追ってきたか！
18	EVT067	0023DF	1	
19	EVT068_1	0023F0	29	あとはこれが上へ運んでくれる
19	EVT068_1	00240D	21	もう追ってこないかな
19	EVT068_1	002422	23	奴らは巣からは離れない
19	EVT068_1	002439	23	これ以上は追ってこない
19	EVT068_1	002450	17	…そう願いたいな
19	EVT068_1	002461	9	食うか？
19	EVT068_1	00246A	39	そういえば、君の名前も聞いてなかったな
19	EVT068_1	002491	7	アゼル
19	EVT068_1	002498	19	変わった…名前だな
19	EVT068_1	0024AB	39	私が眠ってたベッドに、そう記されていた
19	EVT068_1	0024D2	9	ベッド？
19	EVT068_1	0024DB	21	数千年間、いた場所だ
19	EVT068_1	0024F0	27	…私は、おまえたちとは違う
19	EVT068_1	00250B	23	見た目は人間に近いが、
19	EVT068_1	002522	29	中身はさっきまで戦ってた彼ら
19	EVT068_1	00253F	25	攻性生物の方にずっと近い
19	EVT068_1	002558	25	ただ、与えられた力が違う
19	EVT068_1	002571	11	それだけだ
19	EVT068_1	00257C	9	…力…？
19	EVT068_1	002585	1	
19	EVT068_1	002586	1	
19	EVT068_1	002587	1	
20	EVT068_2	002628	19	…なぜ、儀と戦う？
20	EVT068_2	00263B	29	あのひとの邪魔をするからだ…
20	EVT068_2	002658	27	なぜ、そうまでして奴を守る
20	EVT068_2	002673	31	あのひとはこの世界を守ろうと…
20	EVT068_2	002692	29	あるべき姿にしようとしている
20	EVT068_2	0026AF	37	それを邪魔する者は誰も近づけさせない
20	EVT068_2	0026D4	11	…バカな！
20	EVT068_2	0026DF	23	奴は薄汚い裏切り者だ！
20	EVT068_2	0026F6	29	『塔』の力を手に入れるために
20	EVT068_2	002713	23	隊長達を殺したんだ！！
20	EVT068_2	00272A	29	アゼル、君はだまされてるんだ
20	EVT068_2	002747	31	たとえそうでも、あのひとは私を
20	EVT068_2	002766	29	永遠の闇から呼び戻してくれた
20	EVT068_2	002783	31	だから、あのひとのために戦う…
20	EVT068_2	0027A2	27	儀は、あの発掘所にいたんだ
20	EVT068_2	0027BD	25	あそこは退屈だったけど、
20	EVT068_2	0027D6	27	そんなに悪い所じゃなかった
20	EVT068_2	0027F1	17	みんながいたし…
20	EVT068_2	002802	31	それが、君が発掘されたとたんに
20	EVT068_2	002821	17	全て終わったんだ
20	EVT068_2	002832	39	わけもわからないうちに味方に攻撃されて
20	EVT068_2	002859	33	今じゃ、帝国軍にまで追われてる…
20	EVT068_2	00287A	11	すまない…
20	EVT068_2	002885	11	…えっ…？
20	EVT068_2	002890	11	違うのか？
20	EVT068_2	00289B	35	こういう時はそう言って謝るんだって
20	EVT068_2	0028BE	13	あのひとが…
20	EVT068_2	0028CB	15	ひとつ聞きたい
20	EVT068_2	0028DA	23	なぜ、ドラゴンを操れる
20	EVT068_2	0028F1	37	あれは普通の人間に扱えるものではない
20	EVT068_2	002916	37	儀にもわからない…だけどドラゴンって
20	EVT068_2	00293B	7	何！？
20	EVT068_2	002942	11	追ってきた
20	EVT068_2	00294D	1	
20	EVT068_2	00294E	1	
20	EVT068_2	00294F	1	
21	EVT068_3	002A60	11	だめか…！
21	EVT068_3	002A6B	1	
22	EVT072	002A7C	37	…これ以上、あのひとの邪魔をするな…
22	EVT072	002AA1	7	えっ？
22	EVT072	002AA8	15	…でなければ…
22	EVT072	002AB7	37	おまえを、殺さなければならなくなる…
23	EVT089	002B04	15	ひさしぶりだな
23	EVT089	002B13	21	正直言って驚いたよ…
23	EVT089	002B28	39	まさか君が噂のドラゴン使いだったとはな
23	EVT089	002B4F	13	それだけか？
23	EVT089	002B5C	27	儀の事を覚えているのなら、
23	EVT089	002B77	27	自分があそこで何をしたかも
23	EVT089	002B92	21	覚えているはずだ！！
23	EVT089	002BA7	17	あの発掘所でな！
23	EVT089	002BB8	29	エッジ君、これは戦争なのだよ
23	EVT089	002BD5	27	世界を破滅から守るためのね
23	EVT089	002BF0	37	その鍵ともいうべきアゼルを手に入れる
23	EVT089	002C15	35	それにはああいう方法しかなかった…
23	EVT089	002C38	21	もっとも、帝国はまだ
23	EVT089	002C4D	27	あきらめていないようだが…
23	EVT089	002C68	29	君に会いに来たのはその事だ…
23	EVT089	002C85	11	撃つな！！
23	EVT089	002C90	15	クレイメン！！
23	EVT089	002C9F	11	大丈夫か！
23	EVT089	002CAA	23	…くそっ、逃がしたか…
23	EVT089	002CC1	35	やっぱり、帝国の奴らだったんだろ？
23	EVT089	002CE4	37	昼間から、なんか怪しいと思ってたんだ
23	EVT089	002D09	33	どうだ！ 俺も役に立つもんだろ…
23	EVT089	002D2A	21	どうした？ エッジ！
23	EVT089	002D3F	17	いや…何でもない
23	EVT089	002D50	17	何でもないんだ…
23	EVT089	002D61	13	クレイメン…
23	EVT089	002D6E	1	
23	EVT089	002D6F	1	
24	EVT117	002E48	13	しまった！！
24	EVT117	002E55	15	間に合うのか…
24	EVT117	002E64	11	…帝国軍…
24	EVT117	002E6F	11	新手か！！
24	EVT117	002E7A	7	奴ら…
24	EVT117	002E81	25	そんな…そんなバカな！？
24	EVT117	002E9A	1	
24	EVT117	002E9B	1	
25	EVT122_1	002ED4	27	アゼルはそこに下ろしたまえ
25	EVT122_1	002EEF	11	こっちだ…
25	EVT122_1	002EFA	1	
25	EVT122_1	002EFB	1	
26	EVT122_2	002F14	23	また君に借りができたな
26	EVT122_2	002F2B	9	見たまえ
26	EVT122_2	002F34	23	帝国軍の最後の切り札、
26	EVT122_2	002F4B	23	旗艦『グリグオリグ』だ
26	EVT122_2	002F62	27	人間の扱う物ではないのだ…
26	EVT122_2	002F7D	33	あの戦艦も、塔も…旧世紀の全てが
26	EVT122_2	002F9E	21	…おまえはどうなんだ
26	EVT122_2	002FB3	21	自分だけ特別扱いか？
26	EVT122_2	002FC8	17	…ついて来たまえ
26	EVT122_2	002FD9	21	君に見せたい物がある
26	EVT122_2	002FEE	1	
26	EVT122_2	002FEF	1	
27	EVT122_3	003048	5	水？
27	EVT122_3	00304D	19	ウルへと通じている
27	EVT122_3	003060	29	…これがこの『塔』と呼ばれる
27	EVT122_3	00307D	19	遣跡の役目なのだよ
27	EVT122_3	003090	17	すでに死んだ星に
27	EVT122_3	0030A1	33	人類が生き続ける環境を作ること…
27	EVT122_3	0030C2	37	我々は目に見えない旧世紀の力によって
27	EVT122_3	0030E7	17	守られているのだ
27	EVT122_3	0030F8	27	ここに来るまでに見ただろう
27	EVT122_3	003113	21	あの大量の攻性生物を
27	EVT122_3	003128	29	あれも塔から生まれ出たものだ
27	EVT122_3	003145	29	彼らは生態系の管理者なのだよ
27	EVT122_3	003162	17	その行動の全てが
27	EVT122_3	003173	35	人類を滅亡から守るためのものなのだ
27	EVT122_3	003196	15	守るだって！？
27	EVT122_3	0031A5	15	一体どこが！！
27	EVT122_3	0031B4	9	いいかね
27	EVT122_3	0031BD	29	君も帝国に関わってきたのなら
27	EVT122_3	0031DA	13	わかるだろう
27	EVT122_3	0031E7	21	彼らが行ってきたのは
27	EVT122_3	0031FC	31	終りない資源の浪費と戦争だけだ
27	EVT122_3	00321B	25	…塔によって再生しても、
27	EVT122_3	003234	31	我々人類はそれをあっという間に
27	EVT122_3	003253	15	消費してしまう
27	EVT122_3	003262	15	誰かが…そう、
27	EVT122_3	003271	35	人間以外の誰かがコントロールせねば
27	EVT122_3	003294	27	我々は自分の首を絞め続ける
27	EVT122_3	0032AF	9	永遠にな
27	EVT122_3	0032B8	27	そう考えた旧世紀の賢人達に
27	EVT122_3	0032D3	21	全てが仕組まれたのだ
27	EVT122_3	0032E8	39	塔や攻性生物を含む、この世界の全てが…
27	EVT122_3	00330F	1	
28	EVT122_4	003410	39	むろん、旧世紀の人間達にも反対者はいた
28	EVT122_4	003437	27	両者の長い戦いの時が過ぎて
28	EVT122_4	003452	37	…最後に反対者によって作られたものが
28	EVT122_4	003477	7	これだ
28	EVT122_4	00347E	31	塔を外部から破壊する事は難しい
28	EVT122_4	00349D	25	だが、その内部に潜入し、
28	EVT122_4	0034B6	29	コントロールを尋う事はできる
28	EVT122_4	0034D3	29	特に、それが攻性生物ならばな
28	EVT122_4	0034F0	39	…アゼルはそのために作られた兵器なのだ
28	EVT122_4	003517	31	皇帝はそれを知り、彼女を探した
28	EVT122_4	003536	31	私はそれを知り、彼女を強尋した
28	EVT122_4	003555	15	そう、彼女を…
28	EVT122_4	003564	33	アゼルを旧世紀の使命から解放し、
28	EVT122_4	003585	29	新たな目的を与えるためにな…
28	EVT122_4	0035A2	11	帝国軍！？
28	EVT122_4	0035AD	17	彼らは手に入る力
28	EVT122_4	0035BE	27	全てを手にしようとしている
28	EVT122_4	0035D9	11	愚かな事だ
28	EVT122_4	0035E4	29	ただの兵器ですら扱いきれず、
28	EVT122_4	003601	35	その力に振り回されているというのに
28	EVT122_4	003624	35	だが、もう止められる者は誰もいない
28	EVT122_4	003647	23	…いや、君ひとりだけだ
28	EVT122_4	00365E	17	儀にどうしろと？
28	EVT122_4	00366F	7	何も…
28	EVT122_4	003676	35	私は、ただありのままを話しただけだ
28	EVT122_4	003699	19	これからどうするか
28	EVT122_4	0036AC	21	君自身が決めればいい
28	EVT122_4	0036C1	9	儀は…、
28	EVT122_4	0036CA	35	儀はまだおまえを許したわけじゃない
28	EVT122_4	0036ED	1	
28	EVT122_4	0036EE	1	
28	EVT122_4	0036EF	1	
29	EVT127_1	0037E0	9	ダメだ！
29	EVT127_1	0037E9	23	役者がそろったようだな
29	EVT127_1	003800	37	クレイメン、貴様には罪を償ってもらう
29	EVT127_1	003825	29	そっちのハンターは我々の手で
29	EVT127_1	003842	21	徹底した実験が必要だ
29	EVT127_1	003857	25	ドラゴンの力を使えるのだ
29	EVT127_1	003870	23	普通の人間じゃあるまい
29	EVT127_1	003887	39	皇帝たる私に銃を向けるとは、クレイメン
29	EVT127_1	0038AE	21	その罪は万死に値する
29	EVT127_1	0038C3	11	永かった…
29	EVT127_1	0038CE	33	ようやくこの力を我が物にできる…
29	EVT127_1	0038EF	33	さあ、アゼルよ、扉を開けるのだ！
29	EVT127_1	003910	35	我々人類の輝かしい未来への扉をな！
29	EVT127_1	003933	11	な…何だ…
29	EVT127_1	00393E	1	
29	EVT127_1	00393F	1	
30	EVT127_2	0039B8	9	今のは…
30	EVT127_2	0039C1	23	アゼル…そうか、塔を…
30	EVT127_2	0039D8	17	エッジ君…後は…
30	EVT127_2	0039E9	5	頼む
30	EVT127_2	0039EE	1	
30	EVT127_2	0039EF	1	
31	EVT134_1	003A18	7	来たか
31	EVT134_1	003A1F	15	ついて来てくれ
31	EVT134_1	003A2E	25	話しておきたい事がある…
31	EVT134_1	003A47	21	あの攻性生物の群れ…
31	EVT134_1	003A5C	17	それに帝国軍は？
31	EVT134_1	003A6D	9	心配ない
31	EVT134_1	003A76	19	部下達が監視してる
31	EVT134_1	003A89	25	動きがあればわかるはずだ
31	EVT134_1	003AA2	7	部下？
31	EVT134_1	003AA9	23	シーカーってのは高度に
31	EVT134_1	003AC0	19	組織化された集団だ
