id	kind	budget	jp
3199	ui	113	この形態は、両腕の機能が\n発達していて、弱点の頭を\nかばうような動きを見せて\nいた。攻撃も強力になって\nいたようだ。
5657	ui	109	帝国軍がゲオルギウスで\n発掘していたドラゴンが\nよみがえった姿。\n旧世紀の船を守るのが、\nその使命だったらしい。
6180	ui	105	渓谷地帯で戦った。\n背中を見せない限り襲って\nこないし、動きも遅い。\n油断さえしなければ確実に\n倒せる敵だ。
6232	ui	72	現在までに倒した攻性生物(変異種)\n旧世紀の姿と性能を失い、野生化した種
6233	ui	72	現在までに倒した攻性生物(純血種)\n旧世紀の姿と性能を今も維持している種
4566	dialog	60	セーブ中です。電源を切ると正しく\n保存できない恐れがあります
4982	dialog	38	今あるデータは消えます。\nいいですか？
6230	ui	35	現在までに倒したクレイメン艦隊兵装
59	dialog	33	移動以外のドラゴンの行動不能状態
53	dialog	29	ホーミングレーザーによる攻撃
5862	dialog	29	拡張メモリーからロードします
4565	dialog	29	セーブできる空きがありません
4374	dialog	29	カートリッジからロードします
48	dialog	29	バーサークポイントが足りない
41	dialog	27	ドラゴンのタイプをセレクト
49	dialog	27	バーサークポイントは最大値
6231	ui	27	現在までに倒した帝国軍兵装
4375	dialog	27	カートリッジにセーブします
6061	dialog	27	本体RAMからロードします
5863	dialog	27	拡張メモリーにセーブします
6129	dialog	27	正しいデータではありません
6062	dialog	25	本体RAMにセーブします
47	dialog	25	バーサークを覚えていない
46	dialog	25	バーサークのリストを表示
33	dialog	23	アイテムを持っていない
4512	ui	23	シーカーの里・キャンプ
2344	ui	23	TOUGH FIGHT
2360	ui	23	\n<05>ケ<14>\n<05>ケェ\n<05>コヨ\n<05>サシクルル
928	dialog	23	セストレン・エクスシス
52	dialog	23	ヒットポイントは最大値
32	dialog	23	アイテムのリストを表示
4451	ui	23	クレイメン艦隊進軍状況
2335	ui	23	EXCELLENT！！
3121	ui	23	ここにはもう用はない…
51	dialog	21	パーツを持っていない
6130	dialog	21	正しく記録できません
498	dialog	21	帝国軍空中艦隊駐屯地
2341	ui	21	NICE FIGHT
4563	dialog	21	セーブが終了しました
4400	ui	21	ガーディアンドラゴン
60	dialog	21	行動ゲージが足りない
2345	ui	21	VERY GOOD！
2338	ui	21	HARD FIGHT
1054	dialog	21	戦術揚陸母艦バリオー
941	dialog	19	バリスタ自律管制室
1111	dialog	19	空中城砦艦ヴリトラ
4726	ui	19	ハイガ(防御形態)
31	dialog	19	すでに行なっている
4260	ui	19	アトルムドラゴン1
58	dialog	19	攻撃する敵がいない
893	dialog	19	イヴァス＆イヴィア
5683	ui	19	帝国軍艦隊進軍状況
4262	ui	19	アトルムドラゴン3
892	dialog	19	アンチアイウィング
4263	ui	19	アトルムドラゴン4
5091	dialog	19	使用されていません
4261	ui	19	アトルムドラゴン2
477	dialog	17	タム・バシレウス
62	dialog	17	銃のカスタマイズ
45	dialog	17	バーサクアンプル
56	dialog	17	リカバーレーザー
2342	dialog	17	NO BLOCK
42	dialog	17	ドラゴンリキッド
161	dialog	17	ステータスクリア
6216	ui	17	物理攻撃構造体2
900	dialog	17	エルスディノーツ
36	dialog	17	サンダーレーザー
945	dialog	17	パラサイトスピン
513	dialog	17	空中戦艦ヴァルナ
5330	ui	17	各ドラゴンモデル
368	dialog	17	対攻性生物弾・改
1047	dialog	17	寄生グリグオリグ
6215	ui	17	物理攻撃構造体1
2332	ui	16	BOX<05>GAME
6521	ui	15	自走砲ランカー
933	dialog	15	ツインブレイズ
1081	dialog	15	浄化装置002
1080	dialog	15	浄化装置001
55	dialog	15	リカバーグラス
2343	dialog	15	NO DATA
39	dialog	15	スタンレーザー
971	dialog	15	中型戦艦タパス
4272	ui	15	アンチレーザー
925	dialog	15	シンクロナイザ
934	dialog	15	テールアッパー
1079	dialog	15	浄化装置000
4564	dialog	15	セーブできます
994	dialog	15	光粒子レーザー
2936	ui	15	いにしえの峡谷
1038	dialog	15	大型戦艦ナラカ
497	dialog	15	帝国軍空中艦隊
1114	dialog	13	突撃艦マルト
357	dialog	13	メル=カヴァ
995	dialog	13	光粒子分散弾
1039	dialog	13	大型誘導爆雷
922	dialog	13	ザムクレート
474	dialog	13	シーカーの里
54	dialog	13	ランナウェイ
917	dialog	13	クレイメン艦
174	dialog	13	対攻性生物弾
4866	dialog	13	ロードします
5848	ui	13	所有アイテム
50	dialog	13	バーティカル
61	dialog	13	銃による攻撃
2333	ui	13	B・レーザー
948	dialog	13	ベルディスト
35	dialog	13	クチカラボム
1085	dialog	13	湖上の艦隊戦
907	dialog	13	カイナスの村
896	dialog	13	ウル地下遣跡
132	dialog	13	ゲオルギウス
912	dialog	11	ガリル砂漠
162	dialog	11	ビクシオマ
1100	dialog	11	発掘所上空
38	dialog	11	スタンガン
1144	dialog	11	電磁発振砲
966	dialog	11	ヴァダズム
944	dialog	11	パラサイト
34	dialog	11	エスケープ
1086	dialog	11	灼熱の吐息
4724	ui	11	ヌリシンハ
57	dialog	11	使用不可能
914	dialog	11	キャラバン
1049	dialog	11	対空誘導弾
1112	dialog	9	空中機雷
40	dialog	9	スピード
6224	ui	9	特殊攻撃
37	dialog	9	シールド
1083	dialog	9	渓谷地帯
43	dialog	9	バリアー
927	dialog	9	ズースー
911	dialog	9	ガノーク
350	dialog	9	ギリィク
1055	dialog	9	拡散雷撃
915	dialog	9	キャンプ
2336	ui	9	EXIT
6786	ui	9	雷雲招集
512	dialog	9	禁止区域
15	dialog	9	レーザー
5928	ui	9	攻撃方向
244	dialog	9	体当たり
6668	ui	9	通常攻撃
211	dialog	9	集中砲火
4841	ui	9	ラギ牧場
242	dialog	9	ゾアの街
44	dialog	9	バルカン
956	dialog	9	ヤリ乱射
176	dialog	9	瞬間移動
476	dialog	9	ゾアの森
6463	ui	7	経験値
1147	ui	7	  前
377	dialog	7	神経弾
1150	ui	7	  後
504	dialog	7	消化液
5266	ui	7	前左右
5437	dialog	7	場所：
5268	ui	7	前後左
1048	dialog	7	寄生虫
1149	ui	7	  左
482	dialog	7	ベモス
1156	ui	7	 後右
1148	ui	7	  右
1089	dialog	7	熱の息
1087	dialog	7	炸裂弾
375	dialog	7	発掘所
1096	dialog	7	甲殻手
5267	ui	7	前後右
1151	ui	7	 前右
63	dialog	7	？？？
1154	ui	7	 可変
1157	ui	7	 後左
175	dialog	7	溶解液
949	dialog	7	ペイン
5747	ui	7	後左右
1058	dialog	7	攻城砲
4623	ui	7	ダイン
509	dialog	7	碧の玉
1152	ui	7	 前左
1153	ui	7	 前後
1155	ui	7	 左右
6485	ui	7	総重量
1102	dialog	7	皇帝砲
1146	ui	7	  全
2294	ui	6	<10>\n<05>ルの
3856	ui	6	ななななな
2190	ui	6	<01>\n<05>ホカ
2274	ui	6	<0D>\n<05>ホト
2191	ui	6	<01>\n<05>ホサ
5226	ui	5	全幅
66	dialog	5	機銃
5230	ui	5	全高
955	dialog	5	ヤリ
894	dialog	5	ウル
1078	dialog	5	水柱
2364	ui	5	\n<05>ル<1D>
6312	ui	5	眼光
2363	ui	5	\n<05>ホッ
1000	dialog	5	副砲
6785	ui	5	雷撃
5229	ui	5	全長
1124	dialog	5	触手
28	dialog	5	反撃
1057	dialog	5	捕食
2463	ui	5	…はりツ
6198	ui	5	無し
2337	ui	3	EXP
2340	ui	3	Ln
2339	ui	3	Kn
2334	ui	3	Dn
367	dialog	3	塔
6832	ui	3	．
