jp	ko
酒場の主人から話を聞くエッジ。\nこの近くには「塔」と呼ばれる遣跡があり\nクレイメン艦隊はそこに向かったという。\nこの街に住んでいるパエットという男が、\n塔の事を詳しく知っているらしい。\nエッジは、その男が描いたという塔の総を\n手に入れる。そこには、ドラゴンが見せた\n幻と同じ光景があった。\n \n(未完成・将来操作可能予定)\n	술집 주인에게 이야기를 듣는 엣지.\n이 근처엔 「탑」이란 유적이 있고\n크레이멘 함대는 그리로 향했다 한다\n이 마을에 사는 파에트라는 남자가,\n탑에 대해 자세히 알고 있는 듯.\n엣지는 그가 그렸다는 탑 그림을\n손에 넣는다.드래곤이 보여준\n환영과 같은 광경이 있었다.\n \n(미완성・향후 조작 가능 예정)\n
「護り火」の火種に触れたエッジの\n眼前に、メル=カヴァの幻が展開する。\nメル=カヴァとは、塔の上空を周回する\n巨大なバリア発生装置だった。\nこの幻から、エッジはメル=カヴァの\n場所を知る。\n \n(未完成・将来イベントで処理予定)\n	「수호의 불씨」에 닿은 엣지의\n눈앞에,메르카바의 환영이\n펼쳐진다.메르카바란,탑 상공을\n선회하는 거대한 배리어 발생\n장치였다.이 환영으로부터,엣지는\n메르카바의 장소를 알게\n된다.(미완성・향후 이벤트로\n처리 예정)
エッジに帝国軍を撃退させたバイマンは\nその功によって次期司祭の座につく。\nバイマンは、明日になれば「遣産」を\n見せることができるとエッジに語る。\n一方、パエットは、正体不明の男から\n預った手紙をエッジに渡す。\nそれには、「今夜、空中船のある広場で\n待つ」とだけ記されていた。\n \n(未完成・将来イベントで処理予定)\n	엣지에게 제국군을 격퇴시킨\n바이만은 그 공으로 차기 사제에\n오른다.바이만은,내일이 되면\n「유산」을 보여줄 수 있다고\n엣지에게 말한다.한편,파에트는\n정체불명의 남자로부터 맡은\n편지를 엣지에게 건넨다.거기엔\n「오늘 밤,비행선 광장에서\n기다린다」라고만 적혀 있었다.\n(미완성・향후 이벤트로 처리\n예정)
キャラバンを訪れたエッジの前に、\nガッシュの使いのシーカーが現れた。\n彼の話によると、ガッシュは\n「シーカーの里」と呼ばれる場所で\nエッジを待っているという。\n \n(未完成・将来セリフ組み込み予定)\n	카라반을 찾은 엣지\n앞에,가슈의 심부름꾼인 시커가\n나타났다.그의 이야기에\n따르면,가슈는 「시커의\n마을」이라 불리는 곳에서\n엣지를 기다린다고\n한다.(미완성・향후 대사 삽입\n예정)
クレイメンが向かった遣跡「塔」の\n場所を知っているという男・パエット。\n彼は、塔の情報を教えるかわりに、\nゲオルギウスと呼ばれる場所から\n旧世紀の機械部品を取ってくるよう\nエッジに命じる。\n \n(未完成・将来イベントで処理予定)\n	크레이멘이 향한 유적 「탑」의\n장소를 안다는 남자,파에트.그는\n탑의 정보를 알려주는\n대신,게오르기우스라 불리는\n곳에서 구세기 기계 부품을\n가져오라고 엣지에게\n명령한다.(미완성・향후 이벤트로\n처리 예정)
ゲオルギウスから取ってきた部品を\nパエットに見せるエッジ。\nしかし、パエットはそれに満足せず、\n再度ゲオルギウス行きを命じる。\n \n(未完成・将来イベントで処理予定)\n	게오르기우스에서 가져온 부품을\n파에트에게 보여주는\n엣지.그러나 파에트는 만족하지\n않고,다시 게오르기우스행을\n명령한다.(미완성・향후\n이벤트로 처리 예정)
ゾアの街に帝国軍の使者が現れ、\n街は侵略の恐怖にさらされる。\n一方エッジは、パエットの父であり\n街の実力者であるバイマンという男の\n招待を受け、閉ざされた正規住民区画\n「神聖区」への通行証を得る。\n \n(未完成・将来イベントで処理予定)\n	조아 마을에 제국군 사자가\n나타나,마을은 침략의 공포에\n휩싸인다.한편\n엣지는,파에트의 아버지이자\n마을의 실력자인 바이만이라는\n남자의 초대를 받아,닫혀 있던\n주민 구역 「신성구」로의\n통행증을 얻는다.\n(미완성・향후 이벤트로 처리\n예정)
バイマンは、教会の聖堂の鍵を\nエッジに渡す。そこに、街の遣産である\n「『護り火』の火種」が安置されて\nいるという。\n \n(未完成・将来セリフ組み込み予定)\n	바이만은 교회 성당의 열쇠를\n엣지에게 건넨다.마을 유산인\n「『수호의 불씨』의 불씨」가\n안치되어 있다고 한다.\n \n(미완성・향후 대사 삽입 예정)\n
パエットは、正体不明の男から預った\n手紙をエッジに渡す。\nそれには、「今夜、空中船のある広場で\n待つ」とだけ記されていた。\n \n(未完成・将来セリフ組み込み予定)\n	파에트는 정체불명의 남자로부터\n맡은 편지를 엣지에게\n건넨다.거기엔 「오늘 밤,비행선\n광장에서 기다린다」라고만 적혀\n있었다.(미완성・향후 대사 삽입\n예정)
再び戻ったエッジに、うってかわって\nなれなれしく接するパエット。\n彼は、エッジがドラゴン乗りである\nことを突き止めたのだ。\nすっかり協力的になったパエットは、\n水没した遣跡「ウル」の地下に\n塔への通路があるらしいと語る。\n \n(未完成・将来イベントで処理予定)\n	다시 돌아온 엣지에게,태도가\n돌변해 살갑게 대하는 파에트.\n그는 엣지가 드래곤 라이더라는\n사실을 알아챈 것이다.완전히\n협조적이 된 파에트는,물에\n잠긴 유적 「울」의 지하에\n탑으로 가는 통로가 있다고\n말한다.(미완성・향후\n이벤트로 처리 예정)
取り引きする	거래한다
広場ではクレイメンが待っていたが、\nエッジを助けようとしたパエットの\n乱入によって会見は中断してしまい、\nクレイメンの真意は不明のままとなる。\n次の朝、バイマンは、教会の聖堂の鍵を\nエッジに渡す。そこに、街の遣産である\n「『護り火』の火種」が安置されて\nいるという。\n \n(未完成・ムービー等で処理予定)\n	광장엔 크레이멘이 기다렸지만,\n엣지를 도우려던 파에트의\n난입으로 회견은 중단되어\n버리고,크레이멘의 진의는 알\n수 없다.다음 날\n아침,바이만은 성당 열쇠를\n엣지에게 건넨다.마을 유산인\n「『수호의 불씨』의 불씨」가\n안치되어 있다고 한다.\n(미완성・무비 등으로 처리 예정)
戦いに傷ついたシーカー達から、\nアゼルが姿を消したと聞かされるエッジ。\n「編み人」ザドクは、アゼルの行き先は\nウルの地下だと推測する。なぜなら、\nドラゴン同様、彼女もウルのプラントで\n創造されたからだ。\n \n(未完成・将来セリフ組み込み予定)\n	싸움에 상처 입은 시커들로부터,\n아젤이 사라졌다는 말을 듣는다.\n「편직인」자독은,아젤이 향한 곳은\n울의 지하라고 추측한다.왜냐하면\n드래곤처럼 그녀도 울의 플랜트에서\n창조되었기 때문이다.\n \n(미완성・향후 대사 삽입 예정)\n
話をする	이야기를 한다
(壁をくり抜いて棚を作ってある)	(벽을 파내어 선반을 만들어 놨다)
旧世紀の記録機械	구세기의 기록 기계
？	？
(道を聞いてみよう)	(길을 물어보자)
これまでの記録をとる	지금까지 기록을 남긴다
よ	よ
記録しない	기록하지 않는다
 <03>\nEつFねちい<03>	 <03>\nEつFねちい<03>
 <03>\nょっぬほたてちい<03>	 <03>\nょっぬほたてちい<03>
 EつFねちい <03>\nGHEつIン！ちい<03>	 EつFねちい <03>\nGHEつIン！ちい<03>
 GHEつIン！ちいき	 GHEつIン！ちいき
 す…A。Bヴせいき	 す…A。Bヴせいき
 ょっぬほたてちい <03>\nす…A。Bヴせい<03>	 ょっぬほたてちい <03>\nす…A。Bヴせい<03>
(あ、ドラゴンの体力が回復してる…)	(아,드래곤의 체력이 회복된다…)
(こいつは後回しにしよう)	(이건 나중으로 미루자)
(こんな効果もあるのか)	(이런 효과도 있는 건가)
(なんだ…この力…)	(뭐지…이 힘은…)
(まったく違う！？)	(전혀 다르잖아!？)
(レーザーが弱いからかな…)	(레이저가 약해서 그런가…)
(今までの<01><01>とは)	(지금까지의 <01><01>와는)
(壊せない！？)	(부술 수 없어!？)
(旧世紀の記録機械だ…)	(구세기의 기록 기계다…)
おLMりやRふS』あTゾUNOVむゆ\nな？『。ぇWぬあPQ。XYね！なまいさ	おLMりやRふS』あTゾUNOVむゆ\nな？『。ぇWぬあPQ。XYね！なまいさ
おおズせすせZ％ゲえき	おおズせすせZ％ゲえき
か<01><01>レぇぉぬほすておいき	か<01><01>レぇぉぬほすておいき
かおみ「ゲえトベー9ぜやJみんやレ\n K『？ほて！えおお	かおみ「ゲえトベー9ぜやJみんやレ\n K『？ほて！えおお
かすヨひ「ななジあな？れジやゃゅ。お	かすヨひ「ななジあな？れジやゃゅ。お
かゲすダC？れジDひ)せゲお	かゲすダC？れジDひ)せゲお
こおLMやNOぼヘごノテ。3へや\n ぼヘオェカゥ9む)ヨほPQおお	こおLMやNOぼヘごノテ。3へや\n ぼヘオェカゥ9む)ヨほPQおお
に設定	으로설정
クレイメンの話	크레이멘 이야기
ナビゲーターの目的地を選択	내비게이터 목적지를 선택
ナビゲーター使用不能地域	내비게이터 사용 불가 지역
ナビゲータ解除	내비게이터 해제
ワールドマップに移動する	월드맵으로 이동한다
探索を続ける	탐색 계속한다
現在の目的地<03><01><01><02><03>	현재 목적지<03><01><01><02><03>
目的地を<03><01><01><02><03>	목적지를<03><01><01><02><03>
目的地候補 なし	목적지 후보 없음
目的地設定 なし	목적지 설정 없음
目的地設定 解除	목적지 설정 해제
見なれない材質でできた板のかけら\n何かが封印されているらしい	낯선 재질로 만들어진 판 조각\n무언가 봉인된 듯하다
ゲオルギウス	게오르기우스
(         )	( )
<09>\n<09>ソ…<15><02>	<09>\n<09>ソ…<15><02>
<01>       	<01>       
そうか…	그런가…
とげ	가시
ステータスクリア	상태 정상화
侵入物排除システム作動	침입물 배제 가동
溶解液	용해액
(ずいぶん外れまでやってきたな…)	(꽤 외딴곳까지 와 버렸군…)
(旧世紀の機械が置いてある)	(구세기 기계가 놓였다)
<!DB>械	<!DB>械
<01>北	<01>북
」	」
とげ嵐	가시풍
なんだ、ひやかしか	뭐야,놀리는 거냐
ね	ね
よう、調子はどうだ？	이봐,어때？
サーよ	사요
ビクシオマ	비크시오마
マサーンの話	마산 이야기
夜まで待つ	밤까지 기다림
朝まで待つ	아침까지
毎度！	매번！
遣跡の話	유적 이야기
(お礼に何かあげた方がいいかな)	(답례로 뭔가 주면 좋을까)
(きれいな飾り窓だ…)	(아름다운 장식창이다…)
(木製のテーブルだ)	(나무로 만든 테이블이다)
(柱に棚がついている)	(기둥에 선반이 있다)
え？	어？
レーザーストーム	레이저 스톰
回避システム不良	회피시스템 불량
塔 最上層	탑 최상층
売らない	팔지 않는다
対攻性生物弾	대공성생물탄
瞬間移動	순간이동
集中砲火	집중포화
                   	                   
(    ？    )	( ？)
(<03>	(<03>
(<03><01>●●●●●●●●●<03>	(<03><01>●●●●●●●●●<03>
(<03><02>♪♪♪♪♪♪♪♪♪<03>	(<03><02>♪♪♪♪♪♪♪♪♪<03>
(<03><03>●●●●●●●●●<03>	(<03><03>●●●●●●●●●<03>
(あの男はここの住人らしい)	(저 남자는 이곳 주민인 듯하다)
(あれは水道管らしい)	(저건 수도관인 듯하다)
(何か話してるけど…よく聞こえないな)	(뭔가 이야기하는데…잘 안 들리네)
(旅の荷物をまとめてあるようだ)	(여행 짐을 정리해 둔 듯하다)
(木箱が置いてある)	(나무 상자가 놓였다)
(森でとれた物だろうか？)	(숲에서 채집한 물건일까？)
(水の流れる音がする…)	(물 흐르는 소리가 난다…)
(簡素な寝床だ)	(간소한 잠자리다)
(荷物が置いてある)	(짐이 놓였다)
(見なれない植物だ…食用らしい)	(낯선 식물이다…식용인 듯하다)
(門番のアブネルだ…)	(문지기 아브넬이다…)
<16>れた	<16>남음
■                  	■                  
●●●●●●●●●<03>	●●●●●●●●●<03>
ああ	아
かじりつき	물어뜯기
しびれ液	마비액
そのために、強い力を与えられ…	그러기 위해,강한 힘을 부여받아…
のコントロールを	의 컨트롤을
ふうん…	흐음…
ガリル砂漠の越え方	가릴 사막을 넘는 법
キャンプを出る	캠프를 나간다
ショック状態を解除する処置を行った	쇼크 상태를 해제하는 처치를 했다
ダイレクトアクセスに切りかえます	다이렉트 액세스로 전환합니다
ツァスタバターン	차스타바탄
副産物として、心を生じさせたのだ	부산물로서,마음을 발생시킨 것이다
塔 最下層	탑 최하층
彼女は、塔の制御を尋うために創造された	그녀는 탑 제어를 맡으려 창조됐다
現在閉鎖中…	폐쇄 중…
生体弾	생체탄
緊急非常事態発令！	긴급 비상사태 발령！
誘導爆雷	유도폭뢰
間もなく目覚めるだろう	곧 눈을 뜰 것이다
隊長を発見するが深い傷を受けている。\n彼はエッジに地図を渡すと死に絶える。\n	대장을 발견하나 깊은 상처를\n입었다 엣지에게 지도를 주고\n숨을 거둔다.
！	！
(   ？？？   )	( ？？？)
(  ？？？  ？？)	( ？？？？？)
( ？？？  ？？？)	( ？？？？？？)
(………)	(………)
(■■■■■■■■■)	(■■■■■■■■■)
(あいつは…アルドーという名だったな)	(그 녀석은…알도라는 이름이었지)
(あいつは…ベゼルとかいったな)	(그 녀석은…베젤이라고 했었지)
(つぼが置いてある)	(항아리가 놓였다)
(つぼの中の酒が光を放っている…)	(항아리 속 술이 빛을 낸다…)
(中身がすけるほど薄く削ってある…)	(비칠 만큼 얇게 깎였다…)
(乗用獣のクーリアだ…)	(탈것 짐승 쿨리아다…)
(儀にも慣れてきたみたいだな)	(의식에도 익숙해진 듯하군)
(大きなテーブルが出してある)	(큰 테이블이 놓였다)
(大きな箱が置いてある)	(큰 상자가 놓였다)
(忙しそうだな…)	(바빠 보이는군…)
(攻性生物の殻で作った容器だ)	(공성생물의 껍질로 만든 용기다)
(透明な容器に酒が詰まっている)	(투명한 용기에 술이 가득 찼다)
(道具屋のバイカが仕事をしている…)	(도구점의 바이카가 일한다…)
(？  ？？？  ？)	(？？？？？)
(？？  ？？？  )	(？？？？？)
(？？？  ？？？ )	(？？？？？？)
(？？？？？？？？？)	(？？？？？？？？？)
<!E0>14階 東	<!E0>14층 동
<03><01>レーザーを発射せよ<03>	<03><01>레이저를 발사하라<03>
<03>\nローター・パイル<03>	<03>\n로터・파일<03>
<0C>…	<0C>…
<0D>…	<0D>…
<11>？	<11>？
いいって、いいって	괜찮아,괜찮아
うん…	응…
そ、そんなことないさ	아,아니 그런 거 아냐
そうだ	그렇다
アトルムドラゴンを倒した\n時に変化した姿。\n翼の内側に、目のような\n模様ができている。	아트룸 드래곤을\n쓰러뜨려 변한 모습.\n날개 안쪽에 눈 같은\n무늬가 생겼다.
ガリル砂漠で、ハイガを\n倒した時に変化した姿。\nこの時から、身体を自由に\n変形できるようになった。	가릴 사막에서\n하이가를 쓰러뜨리고\n변한 모습.이때부터\n몸을 자유로이 변형.
ゲオルギウスで目覚めた\n巨大なドラゴンを倒した\n時に変化した姿。\n翼のしま模様が美しい。	게오르기우스의\n거대 드래곤을\n쓰러뜨려 변한 모습.\n날개 줄무늬가 곱다.
セストレンで戦った。\nなぜ、<01><01>と\n同じ姿なんだ？ 旧世紀の\n意志を守る敵の、真の姿が\nこれだというのか？\nだとすれば、儀の\n<01><01>は…？	세스트렌에서 싸웠다.\n어째서 <01><01>과 같은\n모습인가?구세기의\n의지를 지키는 적의\n진짜 모습이 이것이라는\n건가?그렇다면 나의\n<01><01>은…?
ゾアの街	조아 마을
タム・バシレウスを倒した\n時に変化した姿。\n甲殻におおわれた部分が\n増えている。	탐·바실레우스를\n쓰러뜨려 변한 모습.\n갑각에 덮인 부분이\n늘어나 있다.
ヴェロクス	베록스
体当たり	몸통돌진
何もわからないままでいたくないの	아무것도 모른 채로 있고 싶지 않아
回避システム作動	회피시스템 작동
塔に行くのは、今でも怖いけど…	탑에 가는 건,지금도 무섭지만…
戦闘機ジンコウ	전투기 진코우
攻性生物に寄生された\nグリグオリグを倒した時に\n変化した姿。\n少しずつ、人の姿に\n近づいてきているような\n気がする。	공성생물에 기생한\n그리그오리그를\n쓰러뜨려 변한 모습.\n조금씩 사람 모습에\n가까워지는 듯한\n느낌이다.
火炎噴射	화염분사
神経弾	신경탄
第2種警戒態勢発令！	제2종 경계태세 발령！
                  ロ	                  롤
                 ロー	                  롤
                ローリ	                  롤
               ローリン	                 롤링
              ローリング	                 롤링
             ローリングス	                 롤링
            ローリングスタ	                롤링 
           ローリングスター	                롤링 
          ローリングスタート	               롤링 스
         ローリングスタート！	               롤링 스
        ローリングスタート！ 	               롤링 스
       ローリングスタート！  	              롤링 스타
      ローリングスタート！   	              롤링 스타
     ローリングスタート！    	              롤링 스타
    ローリングスタート！     	             롤링 스타트
   ローリングスタート！      	             롤링 스타트
  ローリングスタート！       	            롤링 스타트！
 ローリングスタート！        	            롤링 스타트！
(       ？ )	( ？)
(      ？  )	( ？)
(     ？   )	( ？)
(    ■    )	( ■ )
(    ◆    )	( ◆ )
(   ■■■   )	( ■■■ )
(   ◆◆◆   )	( ◆◆◆ )
(   ？     )	( ？)
(  ■■■■■  )	( ■■■■■ )
(  ◆◆◆◆◆  )	( ◆◆◆◆◆ )
(  ？      )	( ？)
( ■■■■■■■ )	( ■■■■■■■ )
( ◆◆◆◆◆◆◆ )	( ◆◆◆◆◆◆◆ )
( ？       )	( ？)
(<03><02>♪<03><01>♪♪♪♪♪♪♪♪<03>	(<03><02>♪<03><01>♪♪♪♪♪♪♪♪<03>
(<03><02>♪♪<03><01>♪♪♪♪♪♪♪<03>	(<03><02>♪♪<03><01>♪♪♪♪♪♪♪<03>
(<03><02>♪♪♪<03><01>♪♪♪♪♪♪<03>	(<03><02>♪♪♪<03><01>♪♪♪♪♪♪<03>
(<03><02>♪♪♪♪<03><01>♪♪♪♪♪<03>	(<03><02>♪♪♪♪<03><01>♪♪♪♪♪<03>
(<03><02>♪♪♪♪♪<03><01>♪♪♪♪<03>	(<03><02>♪♪♪♪♪<03><01>♪♪♪♪<03>
(<03><02>♪♪♪♪♪♪<03><01>♪♪♪<03>	(<03><02>♪♪♪♪♪♪<03><01>♪♪♪<03>
(<03><02>♪♪♪♪♪♪♪<03><01>♪♪<03>	(<03><02>♪♪♪♪♪♪♪<03><01>♪♪<03>
(<03><02>♪♪♪♪♪♪♪♪<03><01>♪<03>	(<03><02>♪♪♪♪♪♪♪♪<03><01>♪<03>
(<03><05>●●●●●●●●●<03>	(<03><05>●●●●●●●●●<03>
(<03><07>♪<03><02>♪♪♪♪♪♪♪♪<03>	(<03><07>♪<03><02>♪♪♪♪♪♪♪♪<03>
(<03><07>♪♪<03><02>♪♪♪♪♪♪♪<03>	(<03><07>♪♪<03><02>♪♪♪♪♪♪♪<03>
(<03><07>♪♪♪<03><02>♪♪♪♪♪♪<03>	(<03><07>♪♪♪<03><02>♪♪♪♪♪♪<03>
(<03><07>♪♪♪♪<03><02>♪♪♪♪♪<03>	(<03><07>♪♪♪♪<03><02>♪♪♪♪♪<03>
(<03><07>♪♪♪♪♪<03><02>♪♪♪♪<03>	(<03><07>♪♪♪♪♪<03><02>♪♪♪♪<03>
(<03><07>♪♪♪♪♪♪<03><02>♪♪♪<03>	(<03><07>♪♪♪♪♪♪<03><02>♪♪♪<03>
(<03><07>♪♪♪♪♪♪♪<03><02>♪♪<03>	(<03><07>♪♪♪♪♪♪♪<03><02>♪♪<03>
(<03><07>♪♪♪♪♪♪♪♪<03><02>♪<03>	(<03><07>♪♪♪♪♪♪♪♪<03><02>♪<03>
(<03><07>♪♪♪♪♪♪♪♪♪<03>	(<03><07>♪♪♪♪♪♪♪♪♪<03>
(<03>\n●●●●●●●●●<03>	(<03>\n●●●●●●●●●<03>
(◆◆◆◆◆◆◆◆◆)	(◆◆◆◆◆◆◆◆◆)
(あとで、道でも聞いてみようかな)	(나중에,길이라도 물어볼까)
(あの人、ヤエルという名だったな)	(그 사람,야엘이라는 이름이었지)
(あの男は…キトールといったな)	(그 남자는…키톨이라고 했었지)
(ここでの肩書きは「調整士」らしい)	(여기선 직함이 「조정사」인 듯)
(ごく簡単なつくりのイスだ)	(아주 단순한 구조의 의자다)
(つぼにはふたがしてある)	(항아리에는 뚜껑이 덮여 있다)
(よく寝ているな…)	(잘 자고 있군…)
(クーリアが眠っている)	(쿨리아가 자고 있다)
(ゾアで道具屋をやっていたヤレドだ…)	(조아에서 도구점 하던 야레드다…)
(丈夫そうな木箱だ…)	(튼튼해 보이는 나무 상자다…)
(中身は取り出してあるらしい)	(내용물은 꺼내져 있는 듯)
(儀を警戒してるのかな…)	(의식을 경계하는 걸까…)
(元気そうな子供だ)	(건강해 보이는 아이다)
(大きな木が生えている)	(큰 나무가 자라 있다)
(小さなイスが置いてある)	(작은 의자가 놓였다)
(攻性生物の殻を彫った飾りだ)	(공성생물 껍질을 조각한 장식이다)
(攻性生物の透明な羽で作ってある)	(공성생물 날개로 만들어졌다)
(旅の荷物がまとめてある)	(여행 짐이 정리돼 있다)
(旧世紀の発掘物だ)	(구세기의 발굴물이다)
(木が育つほど土が肥えているのか…)	(나무가 자랄 만큼 흙이 비옥한가)
(熱心に本を読んでいる…)	(열심히 책을 읽고 있다…)
(発掘品の加工をしている)	(발굴품을 가공 중이다)
(発掘品の加工をしている…)	(발굴품을 가공한다…)
(警戒はしなくなったみたいだ…)	(경계는 하지 않게 된 듯하다…)
(門番が見張りをしている…)	(문지기가 망을 보고 있다…)
(門番のシフレだ…)	(문지기 시플레다…)
(食料が蓄えてある)	(식량이 비축돼 있다)
(餌を食べるのをやめた…)	(먹이 먹는 것을 그만두었다…)
(？        )	(？)
(？？？   ？？？)	(？？？？？？)
<03><01>タイプセレクトアイコンを選択せよ<03>	<03><01>타입 선택 아이콘을 선택하라<03>
<09>\n<07>み術	<09>\n<07>み術
<0E>だ	<0E>다
<1E><16><1A><01>(ずいぶん外れまでやってきたな…)	<1E><16><1A><01>(꽤 외딴곳까지 와 버렸군…)
…)	…)
…■                 	…■                 
…？	…？
これ以上はかんべんしてくれよ	이 이상은 봐줬으면 좋겠어
という。	라 한다
どうして？	어째서？
ねらえ	노려라
はじめに	처음에
まだ覚えていない	아직 익히지 않음
やれ	해라
れ	れ
アトルムドラゴン	아톨름 드래곤
ギリィク	기리이크
グスタート！             	그스타트！
グレイスリングをあげる	그레이스링을 준다
コ	コ
ザアルナッツをあげる	자알너츠를 준다
シャプリ	샤프리
ジェムレンズをあげる	젬 렌즈를 준다
スタート！              	스타트！
タート！               	타트！
トゥプ	투프
ト！                 	트！
メル=カヴァ	메르카바
ヤリ	야리
リングスタート！           	링스타트！
レイガスト	레이가스트
ローリングスタート！         	롤링스타트！
ングスタート！            	잉스타트！
ート！                	트！
ーリングスタート！          	롤링스타트！
了解	확인
何かの役に立つかもしれん	뭔가 도움이 될지도 몰라
俺の読む本がなくなっちまう	내가 읽을 책이 없어지잖아
光子環波	광자환파
塔	탑
変光	변광
大アゴ	큰턱
対攻性生物弾・改	대공성생물탄・개
少し前まで、たくさん人がいたのに…	얼마 전까지,사람이 많이 있었는데…
払わない	내지 않는다
持って行きなさい	가지고 가거라
点火	점화
無視する	무시한다
生体弾噴射	생체탄 분사
砂漠<05>蒼き遣跡	사막<05>푸른 유적
神聖区	신성구
誘導爆雷艦カラ	유도폭뢰함카라
！                  	！
(あの子は…確か、エンカクといったな)	(그 아이는…분명 엔카쿠라 했지)
(この匂い…)	(이 냄새…)
(この本は…)	(이 책은…)
(しまった、持ち合わせがない…)	(아차,가진 돈이 없어…)
(すごい量の本だ…)	(엄청난 양의 책이다…)
(ずいぶん物を残していったな…)	(꽤 많은 물건을 남기고 갔군…)
(たき木に布をかぶせてある)	(장작에 천을 씌워 놓았다)
(キャラバンの長のアンユウという男だ)	(카라반 대장인 안유라는 남자다)
(キャラバンの長のハンターだ)	(카라반 대장인 헌터다)
(クーリアが身体を洗ってもらっている)	(쿨리아가 몸을 씻겨진다)
(クーリアに引かせる荷車だ)	(쿨리아가 끄는 짐수레다)
(ザアルの実か…辺境では貴重品だ)	(자알 열매인가…변경에선 귀중품)
(シーカーが独自に作った物らしい)	(시커가 독자적으로 만든 물건)
(パエット…無事だったのか)	(파에트…무사했구나)
(中身を取り出すための上げぶたか…)	(내용물을 꺼내는 여닫이문인가…)
(何かの材料にするのかな…)	(뭔가의 재료로 쓰려는 걸까…)
(何か手仕事をしているようだ)	(뭔가 손일을 하는 듯)
(儀の持ち物に目をとめたようだ)	(의식의 소지품에 눈길을 준 듯)
(塔に関する記録だ)	(탑에 관한 기록이다)
(変わった形のランプだな)	(특이한 모양의 램프군)
(大きな布の袋だ)	(큰 천 자루다)
(大きな箱だ…中身は旅の荷物かな)	(큰 상자다…내용물은 여행 짐일까)
(太った男がぶらついている…)	(뚱뚱한 남자가 어슬렁거린다…)
(妙に身なりのいい奴だ…)	(묘하게 차림새 좋은 놈이다…)
