jp	kind	budget	count	modules
トゥプの群れを率いている\nリーダー。どうやら、この\n種の攻性生物は、リーダー\nだけが意志を持っている\nようだ。それを利用すれば\n群れは簡単に追い払える。	ui	148	1	MENUEN
ガリル砂漠で戦った。\nこいつのように角のない\nアシュティは、攻撃を\nされない方向に回り込み、\nすきを見て攻めていれば\n簡単に倒せる。	ui	128	1	MENUEN
アシュティ(上位体)	ui	21	1	MENUEN
アシュティのリーダー。\n角の有無で見分けがつく。\nこいつの吐くしびれ液を\nくらうと、動きがとれなく\nなってしまう。\n群れの中にこいつがいたら\n真っ先に倒しておかないと\n痛い目にあうだろう。	ui	182	1	MENUEN
ガリル砂漠で戦った。\n岩のふりをしていて、敵が\n近寄った時に襲ってくる。\n背中が弱点。\nダメージを受けると、その\n方向に向き直って攻撃して\nくることがあるので、気を\nつけた方がいい。	ui	176	1	MENUEN
プーキオ	ui	9	1	MENUEN
ガリル砂漠で戦った。\nトゥプを招き寄せる性質が\nあるらしい。また、攻撃を\n受けると即座にその方向に\n反撃してくる。ただし、\n後ろに反撃することだけは\nできないようだ。	ui	161	1	MENUEN
ガリル砂漠で戦った。\n小型の攻性生物で、狩りの\n獲物としては手ごろだ。\n装甲が厚いわりにすばやく\nダメージを与えにくいが、\n攻撃は単調なので、とくに\n手ごわい相手ではない。	ui	167	1	MENUEN
ウルで戦った。\nめったに出会うことのない\n珍しい敵だ。おまけに、\n一度攻撃すると、すぐに\n逃げてしまう。こういう\n相手は、出会いがしらに\nバーサーク技で攻撃するに\n限る。	ui	164	1	MENUEN
ガリル砂漠の地下の空洞で\n戦った。\n光の粉をまき散らしながら\n飛ぶ姿は美しいが、それに\n見とれていては、命が\nいくつあっても足りない。\nその光が、さらに恐ろしい\n巨大攻性生物・ハイガを\n呼び寄せているのだから。	ui	203	1	MENUEN
ハイガ(幼生)	ui	15	1	MENUEN
姿も大きさも全然違うが、\nハイシュとハイガは、同じ\n種のオスとメスにあたる。\nこの時のハイガはほとんど\n攻撃力を持たないが、\nオスであるハイシュを食う\nことで、機動形態へと姿を\n変える。	ui	180	1	MENUEN
この形態のハイガは動きが\nとても速かったが、その\nせいか後方が死角になって\nいた。\n攻撃力は、それほど高く\nなかったようだ。	ui	120	1	MENUEN
ハイガ(完全形態)	ui	19	1	MENUEN
攻撃力や防御力、さらに\nすばやさも上がった\n最後の形態。\nこいつを倒すと同時に\n<01><01>も\n変形能力を手に入れた。\n単なる偶然だろうか？	ui	125	1	MENUEN
ウルで戦った。\n砂漠に住んでいるトゥプが\n水辺の環境に合わせて変化\nしたものだ。攻撃方法や\n生態は、ほとんど同じと\nいっていいだろう。\nただし、トゥプよりは多少\n打たれ強いようだ。	ui	174	1	MENUEN
トゥプナック(上位体)	ui	23	1	MENUEN
ウルで戦った。\n砂漠に住んでいるトゥプが\n水辺の環境に合わせて変化\nしたものだ。リーダーの\n役目もほぼ一緒らしい。	ui	111	1	MENUEN
ウルで戦った。\n砂漠に住むアシュティが、\n水辺の環境に合わせて変化\nしたものだ。攻撃方法や\n生態は、ほとんど同じと\nいっていいだろう。\nただし、アシュティよりは\n多少打たれ強いようだ。	ui	178	1	MENUEN
ミシュティ(上位体)	ui	21	1	MENUEN
ウルで戦った。\n砂漠に住むアシュティが、\n水辺の環境に合わせて変化\nしたものだ。攻撃方法や\n生態は、ほとんど同じと\nいっていいだろう。\nリーダーの役目もほぼ一緒\nらしい。	ui	164	1	MENUEN
卵(小)	ui	9	1	MENUEN
ウルの地下遣跡で戦った。\n攻性生物タルメランの卵。\nふ化すると厄介なので、\nその前に倒しておきたい。\n銃弾のエネルギーを吸収\nしてしまうので、攻撃する\n時には注意が必要だ。	ui	167	1	MENUEN
卵(大)	ui	9	1	MENUEN
ウルの地下遣跡で戦った。\n攻性生物デルメランの卵。\nふ化すると厄介なので、\nその前に倒しておきたい。\n光のエネルギーを吸収して\nしまうので、攻撃する\n時には注意が必要だ。	ui	165	1	MENUEN
ナウパダ	ui	9	1	MENUEN
ウルの地下遣跡で戦った。\n周囲にいる仲間が傷つくと\nダメージを回復させる。\nたまに粘着液を吐き出して\n自ら攻撃することもある。	ui	123	1	MENUEN
ウルで戦った。\nドラゴンに似た姿なので\nこう呼ばれているが、力は\n遠く及ばない。最近は数も\nかなり減っているようだ。	ui	113	1	MENUEN
ウルの地下遣跡で戦った。\n攻撃された時だけ反撃する\n珍しい攻性生物。\n銃で撃つと上を向く。この\n状態なら、反撃されても\nこちらには当たらない。	ui	138	1	MENUEN
タム・リッサ＆巣	ui	17	1	MENUEN
どうやら、こいつが\nタム・プロを産んでいた\nようだ。武器が届かない\n頭上から攻撃してくるので\n面食らったが、攻め方が\nわかってしまえば、どうと\nいうことはなかった。	ui	159	1	MENUEN
ウルの地下遣跡で戦った。\n攻撃された時だけ反撃する\n珍しい攻性生物。\nこいつは他のタム・プロと\n違い、爆発する卵のような\nものを持っている。	ui	136	1	MENUEN
禁止区域近辺で出会う。\n編隊を組んで飛ぶ姿は、\n帝国軍の戦闘機のようだ。\n後方への攻撃ができない\nかわりに、レーザーを回避\nする能力がある。それさえ\n何とかすれば楽に倒せる。	ui	169	1	MENUEN
ヴェロクス(中軸体)	ui	21	1	MENUEN
禁止区域近辺で戦った。\n編隊を組んで飛ぶ姿は、\n帝国軍の戦闘機のようだ。\n角の長いやつが、指揮を\nとっているらしい。	ui	113	1	MENUEN
禁止区域近辺で戦った。\n水に潜っている間は攻撃を\n受けつけない。\n短い光の矢を放つ攻撃が\n危険だが、よく見ればその\n前兆がわかる。	ui	126	1	MENUEN
ヴェロキタ(中軸体)	ui	21	1	MENUEN
禁止区域近辺で戦った。\n水に潜っている間は攻撃を\n受けつけない。\nヴェロクスと同じように、\n他と姿が違うやつが群れに\n混じっている。これも、\n指揮をとる個体だろう。	ui	159	1	MENUEN
ゲオルギウスで出会う\n竜巻のまわりに浮いている\n岩の近くにいる。\nこいつの攻撃は、岩の\n向こうからでも当たるので\n常に視界に入れながら\n戦わないと不利だ。	ui	149	1	MENUEN
メル=カヴァで戦った。\nこれまでに出会った、どの\n攻性生物よりもすばやい。\n後方が弱点だが、なかなか\n狙い撃つことができない。\n相手の動きを追うよりも、\n敵が前に来る一瞬を狙う\n方がいいだろう。	ui	188	1	MENUEN
ゾアの森で戦った。\nこれは帝国アカデミーでの\n呼び名だ。昔、ドラゴンが\n帝都に現れた時、大量に\n目撃されたらしい。\nこいつも、旧世紀生まれの\n血統書つきなのだろう。	ui	159	1	MENUEN
フォス	ui	7	1	MENUEN
必ず、ウンブラとともに\n行動している。それぞれ、\n左右と前後に対する攻撃を\n無効化する力があるうえ、\nこちらに反応して動くのが\n厄介だ。効率よく倒すには\n少し頭を使う必要がある。	ui	173	1	MENUEN
ウンブラ	ui	9	1	MENUEN
必ず、フォスとともに\n行動している。それぞれ、\n左右と前後に対する攻撃を\n無効化する力があるうえ、\nこちらに反応して動くのが\n厄介だ。効率よく倒すには\n少し頭を使う必要がある。	ui	171	1	MENUEN
メル=カヴァの船底に格納\nされている砲台。3方向へ\n攻撃をしてくるうえ、\n強力なバリアで守られて\nいるので、こちらの攻撃が\n届かない。バリアを何とか\nしない限り、正面から戦う\nのは、かなり危険だ。	ui	190	1	MENUEN
メル=カヴァの内部通路を\n守っている。正面に強力な\n光の矢を撃ってくるが、\n通路いっぱいに広がって\nいるので、左右によける\nことができない。	ui	136	1	MENUEN
『塔』の中で戦った。\n侵入者を阻むしかけが作動\nすると襲ってくる、下級\nガーディアン。\n強力な攻撃を一度だけ\n行って、すぐに逃げ出して\nしまう。体力が残り少ない\n時には危険な敵だ。	ui	174	1	MENUEN
ゾアの森で戦った。\n塔から攻めてきた群れの\n中にいた攻性生物。上に\n乗っているやつは、森林で\n戦うために生み出された\nらしい。	ui	122	1	MENUEN
ゾアの森で戦った。\n塔から攻めてきた群れの\n中にいた攻性生物。下に\nぶら下がっているやつは、\n森林で戦うために\n生み出されたらしい。	ui	128	1	MENUEN
塔から生まれ出た純血種が\nゾアの森に根づいたもの。\n森の上空に出ている部分を\n攻撃しても、力の源である\n根が活動している限り\n効きめがない。	ui	136	1	MENUEN
『塔』の中で戦った。\n侵入者を阻むしかけが作動\nすると襲ってくる、下級\nガーディアン。\n正面に放つ光の矢をさける\nために移動すると、それに\n反応して直接攻撃を行う。	ui	159	1	MENUEN
『塔』の下部格納層を\n守っていたガーディアン。\n塔のあちこちに配置された\n下級ガーディアンの\n上位種として生み出された\nらしい。	ui	124	1	MENUEN
意識融合体	ui	11	1	MENUEN
クレイメン艦隊で使われて\nいる、対攻性生物用の\n戦闘艦。軽量で小回りが\nきくだけでなく、兵装も\n大型の攻性生物を意識した\nものになっている。\n神経弾には毒矢のような\n効果があり、重散弾砲は\nどんな攻性生物の殻も破る\n破壊力を持つ。	ui	222	1	MENUEN
重散弾砲	ui	9	1	MENUEN
クレイメンの部下の\nツァスタバが乗っていた\n戦闘機。\n機体の運動性を最大限に\n発揮して襲ってきたが、\n本気で儀らを殺す気は\nなかったらしい。	ui	135	1	MENUEN
帝国軍の主力空中戦艦。\n今までに100隻以上も\n建造されているらしい。\nこれは輸送型で、武装の\n一部を取り外してある。	ui	115	1	MENUEN
帝国の基地のあちこちで\n見かける機体。\n武装がないぶん動きが早く\n攻撃が当たりにくいうえ、\nこちらを発見すると援軍を\n呼ぶ厄介な敵だ。	ui	130	1	MENUEN
帝国の基地を守っている\n機体。\n爆雷を積んでいるが、\n前方にしか撃つことが\nできないらしい。ただし\n見かけのわりにすばやく、\n油断していると後ろを\nとられてしまう。	ui	158	1	MENUEN
帝国の基地の防衛線近くで\n戦った。\n大きな砲身が狙いをつけて\nくるが、砲台の旋回が遅い\nので、こちらが動き続けて\nいれば、まず大丈夫だ。	ui	132	1	MENUEN
帝国軍が、ゾアの街を\n焼きつくそうとして使った\n兵器。自ら飛行する巨大な\n砲弾のようなものだ。\n着弾する前に破壊して\nいなければ、儀らも爆発に\n巻き込まれていただろう。	ui	163	1	MENUEN
帝国軍空中艦隊の旗艦。\n皇帝の乗艦でもあるが、\nむしろ王宮そのものが空に\n浮いていると言った方が\nいいかもしれない。\n最大の武器は、皇帝砲と\n名づけられた雷撃兵器。\nゾアの街は、これ一発で\n吹き飛ばされてしまった。	ui	207	1	MENUEN
回転砲台	ui	9	1	MENUEN
対攻性生物戦用にガス弾を\n装備した戦闘機。\n後ろをとらなければろくに\n攻撃が当たらないうえ、\nガスをくらうと、こちらの\n行動がほとんど封じされて\nしまう。	ui	149	1	MENUEN
ベースウィング	ui	15	1	MENUEN
発掘所の地下の遣跡で、\n初めて出会った時の姿。\nすべては、あの時から\n始まったんだ。	ui	82	1	MENUEN
バリアントウィング標準型	ui	25	1	MENUEN
バリアントウィング防御型	ui	25	1	MENUEN
バリアントウィング攻撃型	ui	25	1	MENUEN
バリアントウィング機動型	ui	25	1	MENUEN
バリアントウィング心技型	ui	25	1	MENUEN
ストライプウィング標準型	ui	25	1	MENUEN
ストライプウィング防御型	ui	25	1	MENUEN
ストライプウィング攻撃型	ui	25	1	MENUEN
ストライプウィング機動型	ui	25	1	MENUEN
ストライプウィング心技型	ui	25	1	MENUEN
パンツァーウィング標準型	ui	25	1	MENUEN
パンツァーウィング防御型	ui	25	1	MENUEN
パンツァーウィング攻撃型	ui	25	1	MENUEN
パンツァーウィング機動型	ui	25	1	MENUEN
パンツァーウィング心技型	ui	25	1	MENUEN
アームウィング標準型	ui	21	1	MENUEN
アームウィング防御型	ui	21	1	MENUEN
アームウィング攻撃型	ui	21	1	MENUEN
アームウィング機動型	ui	21	1	MENUEN
アームウィング心技型	ui	21	1	MENUEN
ライトウィング	ui	15	1	MENUEN
Dーユニットと呼ばれる\n記録版のようなものを\n全て集めた時に変化した\n異様な姿。なんだか、\n儀の<01><01>が\n手の届かないところに\n行ってしまったような\n感じだ…。	ui	150	1	MENUEN
ウルの地下遣跡で使った\n旧世紀の乗り物。\n出力は小さいが、光の矢を\n撃ち出すことができる。	ui	88	1	MENUEN
<01>イス、」スゆゆよもョ。ォ	dialog	14	1	TWN_CARA
ちょいと！	dialog	11	1	TWN_CARA
うちの娘に何するつもりだい！	dialog	29	1	TWN_CARA
アンユウのおじさんに聞きました	dialog	31	1	TWN_CARA
狩りに出るのって、命がけなんですね	dialog	35	1	TWN_CARA
外の世界も、もう恐くなくなりました	dialog	35	1	TWN_CARA
あなたも旅してる世界ですから…	dialog	31	1	TWN_CARA
また、すぐに出て行ってしまうんですね…	dialog	39	1	TWN_CARA
ずっと、ひとりで旅してるんですか？	dialog	35	1	TWN_CARA
ひとりで…さびしくないですか？	dialog	31	1	TWN_CARA
ハンターのお守りです	dialog	21	1	TWN_CARA
…無事でいてください…	dialog	23	1	TWN_CARA
え…いいんですか？	dialog	19	1	TWN_CARA
ありがとうございます…	dialog	23	1	TWN_CARA
嬉しい…	dialog	9	1	TWN_CARA
きっと、みんな喜びます	dialog	23	1	TWN_CARA
いい子だから、じっとしててね…	dialog	31	1	TWN_CARA
きれいにしないと、病気になっちゃうよ	dialog	37	1	TWN_CARA
あなたが、薬を取ってきてくれるなんて…	dialog	39	1	TWN_CARA
びっくりしたけど…うれしかったです	dialog	35	1	TWN_CARA
優しい人だって、わかったから…	dialog	31	1	TWN_CARA
おかげで、病気が治りそうです…	dialog	31	1	TWN_CARA
エンカクが病気になって…	dialog	25	1	TWN_CARA
目を覚まさないんです	dialog	21	1	TWN_CARA
エンカクが、病気になったんです	dialog	31	1	TWN_CARA
おじさん、早く帰ってこないかな…	dialog	33	1	TWN_CARA
薬を、ありがとうございました…	dialog	31	1	TWN_CARA
この子は重い病気だそうです…	dialog	29	1	TWN_CARA
父が言ってました	dialog	17	1	TWN_CARA
特別な薬を飲ませないと助からないって…	dialog	39	1	TWN_CARA
(よかった…安心したようだ)	narration	29	1	TWN_CARA
(じっと座ったままだ…)	narration	25	1	TWN_CARA
エンカクの様子、見ましたか？	dialog	29	1	TWN_CARA
病気だったのがうそみたい…	dialog	27	1	TWN_CARA
よかった…あの子が元気になって…	dialog	33	1	TWN_CARA
ここなら、静かに暮らせると思ったのに…	dialog	39	1	TWN_CARA
私達の居場所は、もうないんでしょうか？	dialog	39	1	TWN_CARA
…よろしくお願いします…	dialog	25	1	TWN_CARA
この子とは、村からずっと一緒なんです	dialog	37	1	TWN_CARA
この子、あなたになついてるみたいですね	dialog	39	1	TWN_CARA
おじさん達は、まだ戻ってませんけど…	dialog	37	1	TWN_CARA
この子には、ずっと無理させてるから	dialog	35	1	TWN_CARA
せめて、このくらいしてあげないと…	dialog	35	1	TWN_CARA
昔は、クーリアもいっぱいいたんです	dialog	35	1	TWN_CARA
でも、旅の途中でみんな死んでしまって…	dialog	39	1	TWN_CARA
長旅で疲れてるんです、この子も…	dialog	33	1	TWN_CARA
必ず、帰ってきてください…	dialog	27	1	TWN_CARA
私…待ってますから…	dialog	21	1	TWN_CARA
ここは、私達の村にどこか似ています…	dialog	37	1	TWN_CARA
あなたの故郷は、どんなところですか？	dialog	37	1	TWN_CARA
私たちの村も、こんな感じの所でした	dialog	35	1	TWN_CARA
あの子の事、忘れたわけじゃないけど…	dialog	37	1	TWN_CARA
泣いてばかりじゃ、生きていけませんから	dialog	39	1	TWN_CARA
今度は何しに来たんだい？	dialog	25	1	TWN_CARA
あたし達のことは、もうほっといておくれ	dialog	39	1	TWN_CARA
ごめんね、変な事言っちまって	dialog	29	1	TWN_CARA
あいつらがまた来たと思ったんだよ	dialog	33	1	TWN_CARA
これ以上食べ物持って行かれたら	dialog	31	1	TWN_CARA
あたし達、干からびちまうからね	dialog	31	1	TWN_CARA
の森を目指してるんだよ	dialog	23	1	TWN_CARA
あの森なら、楽に暮らせるだろうからね	dialog	37	1	TWN_CARA
でも、森には必ず攻性生物が…	dialog	29	1	TWN_CARA
あんた、教典読んだ事ないのかい？	dialog	33	1	TWN_CARA
ゾアの森は特別なんだよ	dialog	23	1	TWN_CARA
神様の力で守られてるのさ	dialog	25	1	TWN_CARA
大きな街もあるって話だよ	dialog	25	1	TWN_CARA
そんな場所が、本当にあるのか？	dialog	31	1	TWN_CARA
この辺の行商人に聞いたんだけどね	dialog	33	1	TWN_CARA
みんな、一度は買いつけに行くんだってさ	dialog	39	1	TWN_CARA
ずっと東に進めば、たどり着けるはずだよ	dialog	39	1	TWN_CARA
攻性生物でも、食べればうまいもんさ	dialog	35	1	TWN_CARA
料理の仕方にコツがいるけどね	dialog	29	1	TWN_CARA
あのひとも、狩りに出られればねえ…	dialog	35	1	TWN_CARA
体が弱いから、しょうがないんだけどさ	dialog	37	1	TWN_CARA
一族の血を絶やすわけにはいかないんだよ	dialog	39	1	TWN_CARA
おまえだって、わかってるだろ？	dialog	31	1	TWN_CARA
でも、私はまだ…	dialog	17	1	TWN_CARA
そんな事ないさ	dialog	15	1	TWN_CARA
おまえなら、きっと丈夫な子が産めるよ	dialog	37	1	TWN_CARA
ほら、例のハンターが来たよ	dialog	27	1	TWN_CARA
なんだい…黙ってちゃはじまらないよ	dialog	35	1	TWN_CARA
ゾアの森が近いらしいよ	dialog	23	1	TWN_CARA
いったい、どんな所なんだろうねえ	dialog	33	1	TWN_CARA
うちのフェイの事、どう思う？	dialog	29	1	TWN_CARA
親のあたしが言うのもなんだけど…	dialog	33	1	TWN_CARA
なかなかいい子だろ？	dialog	21	1	TWN_CARA
エンカクの熱が下がったんだよ！	dialog	31	1	TWN_CARA
あんたのおかげさ	dialog	17	1	TWN_CARA
フェイなら、エンカクの看病してるよ	dialog	35	1	TWN_CARA
メッカニア熱にかかっちまってねえ…	dialog	35	1	TWN_CARA
あの子、ずっと熱が下がんないんだよ	dialog	35	1	TWN_CARA
エンカクの熱が下がったんだよ	dialog	29	1	TWN_CARA
あんたのおかげさ…	dialog	19	1	TWN_CARA
あの子、どんどん弱ってるんだ	dialog	29	1	TWN_CARA
このままじゃ助からないよ…	dialog	27	1	TWN_CARA
早いとこ、薬が見つからないもんかねえ…	dialog	39	1	TWN_CARA
あの子のことは、しょうがなかったんだ	dialog	37	1	TWN_CARA
おまえのせいじゃないよ	dialog	23	1	TWN_CARA
…やっぱり、ここには住めないの？	dialog	33	1	TWN_CARA
当り前じゃないか、バカだね	dialog	27	1	TWN_CARA
こんな焼け跡に何があるっていうんだい	dialog	37	1	TWN_CARA
エンカクの命が助かっただけでも	dialog	31	1	TWN_CARA
ありがたいと思わなくちゃね	dialog	27	1	TWN_CARA
大丈夫、いつかはいい土地が見つかるよ	dialog	37	1	TWN_CARA
やれやれ…	dialog	11	1	TWN_CARA
あたし達、どうなるんだろうねえ	dialog	31	1	TWN_CARA
けっこういい土地じゃないか、ここは	dialog	35	1	TWN_CARA
そうね…この辺りは、水もわくし	dialog	31	1	TWN_CARA
また、昔みたいに村を作れるかな？	dialog	33	1	TWN_CARA
そいつは、おまえ達しだいだよ	dialog	29	1	TWN_CARA
エンカクの事…まだ気にしてるのかい？	dialog	37	1	TWN_CARA
ううん…ごめんなさい、もう大丈夫	dialog	33	1	TWN_CARA
こう言っちゃなんだけどね…	dialog	27	1	TWN_CARA
ひとり死んだら、二人産めばいいんだよ	dialog	37	1	TWN_CARA
