off	jp	bytes	room	ko
00CA7C	ｴｸｾﾙｸﾞﾗｽ	9	12	ELIXIR-F
00CA88	ｲｴﾛｰﾏﾅ	7	8	YELMANA
00CA90	ﾚｯﾄﾞﾏﾅ	7	8	REDMANA
00CA98	ｴｸｾﾙﾏﾅ	7	8	EXCMANA
00CAA0	ﾈｸﾀｰﾙ	6	8	NECTAR
00CAA8	ｽﾀﾝｸﾘｱ	7	8	STUNCLR
00CAB0	ﾎﾟｲｽﾞﾝｸﾘｱ	10	12	POISNCLR
00CABC	ｵｰﾙｸﾘｱ	7	8	ALLCLR
00CAC4	ﾂｧｰﾉｽﾁｯﾌﾟ	10	12	ZARNOSCH
00CAD0	ﾘｭｰｳﾞﾁｯﾌﾟ	10	12	RYUVCHIP
00CADC	ﾂｧｵﾁｯﾌﾟ	8	8	ZAOCHIP
00CAE4	ﾘｭｰﾘｱﾁｯﾌﾟ	10	12	RYURIACH
00CAF0	ｽﾛｳｸﾘｱ	7	8	SLOWCLR
00CAF8	ｽﾄｯﾌﾟｸﾘｱ	9	12	STOPCLR
00CB04	ﾍﾟｲﾝｸﾘｱ	8	8	PAINCLR
00CB0C	ﾊﾞｲﾝﾄﾞｸﾘｱ	10	12	BINDCLR
00CB18	ｶﾞﾗｺｳｾｷ	8	8	GRAORE
00CB20	NOTEQUIP	9	12	NOTEQUIP
00CB2C	ﾊｲﾊﾟﾜｰ	7	8	HIPOWER
00CB34	ﾊｲﾊﾞﾙｶﾝ	8	8	HIVULCN
00CB3C	ｴｸｽﾄﾘｰﾑ	8	8	EXTREME
00CB44	ﾊﾞｰｻｰｸﾘｯﾁ	10	12	BSRKLECH
00CB50	ﾊﾞｰｻｰｸｴｲﾄﾞ	11	12	BSRKAID
00CB5C	ｽﾅｲﾊﾟｰ	7	8	SNIPER
00CB64	ﾜｲﾄﾞ	5	8	WIDE
00CB6C	ｸﾘﾃｨｶﾙ	7	8	CRITICL
00CB74	HPMAX	6	8	HPMAX
00CB7C	BPMAX	6	8	BPMAX
00CB84	NORMAL	7	8	NORMAL
00CB8C	NOENEMY	8	8	NOENEMY
00CB94	HPBPMAX	8	8	HPBPMAX
00CB9C	DONTRUN	8	8	DONTRUN
00CBA4	TWICE	6	8	TWICE
00CBAC	EQUIPGUN	9	12	EQUIPGUN
00CBB8	TYPEMISS	9	12	TYPEMISS
00CBC4	NOBP	5	8	NOBP
00CBCC	NOGAUGE	8	8	NOGAUGE
00CBD4	ｶﾑｾｷ	5	8	KAMUSEK
00CBDC	ﾌﾟﾛﾃｸﾄｷｰ1	10	12	PROTKEY1
00CBE8	ﾌﾟﾛﾃｸﾄｷｰ2	10	12	PROTKEY2
00CBF4	ﾌﾟﾛﾃｸﾄｷｰ3	10	12	PROTKEY3
00CC00	ﾄﾞｰﾑｹﾞｰﾄｷｰ	11	12	DOMEGTKY
00CC0C	ｹﾞｰﾄｷｰ1	8	8	GATEKY1
00CC14	ｹﾞｰﾄｷｰ2	8	8	GATEKY2
00CC1C	ｹﾞｰﾄｷｰ3	8	8	GATEKY3
00CC24	ﾄﾞﾗｺﾞﾝﾚﾘｰﾌ	11	12	DRGNCRST
00CC30	Dﾕﾆｯﾄ01	8	8	DUNIT01
00CC38	Dﾕﾆｯﾄ02	8	8	DUNIT02
00CC40	Dﾕﾆｯﾄ03	8	8	DUNIT03
00CC48	Dﾕﾆｯﾄ04	8	8	DUNIT04
00CC50	Dﾕﾆｯﾄ05	8	8	DUNIT05
00CC58	Dﾕﾆｯﾄ06	8	8	DUNIT06
00CC60	Dﾕﾆｯﾄ07	8	8	DUNIT07
00CC68	Dﾕﾆｯﾄ08	8	8	DUNIT08
00CC70	Dﾕﾆｯﾄ09	8	8	DUNIT09
00CC78	Dﾕﾆｯﾄ10	8	8	DUNIT10
00CC80	Dﾕﾆｯﾄ11	8	8	DUNIT11
00CC88	Dﾕﾆｯﾄ12	8	8	DUNIT12
00CC90	ﾀﾞﾐｰ272	8	8	DUMY272
00CC98	ﾛｯﾄﾎﾟﾚﾝ	8	8	ROTPOLN
00CCA0	ｺﾞﾙﾄﾞﾝｼｰﾄﾞ	11	12	GOLDNSED
00CCAC	ﾄﾞﾗｺﾞﾝﾌﾞｰｽﾀ	12	12	DRGNBOST
00CCB8	ﾜｰﾙﾄﾞﾏｯﾌﾟ	10	12	WORLDMAP
00CCC4	ｲﾝﾍﾟﾆｱｺｲﾝ	10	12	INPENIAC
00CCD0	ﾍﾟﾝﾀﾞﾝﾄ	8	8	PENDANT
00CCD8	ﾋﾟｸﾁｬｰﾎﾞｰﾄﾞ	12	12	PICTUREB
00CCE4	ｼｯﾌﾟﾊﾟｰﾂ	9	12	SHIPPART
00CCF0	ﾊﾟｽ	4	4	PAS
00CCF4	ﾃﾝﾌﾟﾙｷｰ	8	8	TMPLKEY
00CCFC	ﾊﾝﾄﾞｶﾞﾝ	8	8	HANDGUN
00CD04	ｴﾚﾍﾞｰﾀ-ｷｰ	10	12	ELEVATKY
00CD10	ﾚﾀｰ1	5	8	LETTER1
00CD18	ﾚﾀｰ2	5	8	LETTER2
00CD20	ｼｰｶｰﾏｯﾌﾟ	9	12	SEEKERMP
00CD2C	ｼｯﾌﾟﾊﾟｰﾂ?	10	12	SHIPPRT?
00CD38	ｶﾞﾗｸﾀ	6	8	JUNK
00CD40	ｳﾞｪﾗﾄﾊﾟｲﾌﾟ	11	12	VERATPIP
00CD4C	ﾄﾋﾞﾀﾏｲｼ	8	8	TOBITAM
00CD54	ﾗｰｼﾞｶﾞﾝ	8	8	LRGEGUN
00CD5C	ﾊﾞｲﾌﾞﾙ1	8	8	BIBLE1
00CD64	ﾊﾞｲﾌﾞﾙ2	8	8	BIBLE2
00CD6C	ﾄﾞﾗｺﾞﾝﾊﾞｲﾌﾞﾙ	13	16	DRGNBIBL
00CD7C	ｿﾙｼﾞｬｰｶﾞｲﾄﾞ	12	12	SOLDGUID
00CD88	ﾍﾞｰｽﾏﾆｭｱﾙ	10	12	BASEMANL
00CD94	ﾀﾜｰﾚﾎﾟｰﾄ1	10	12	TOWERRP1
00CDA0	ｼｯﾌﾟﾚﾎﾟｰﾄ	10	12	SHIPREPT
00CDAC	ﾒﾓﾘｰﾚﾎﾟｰﾄ	10	12	MEMORYRP
00CDB8	ｿﾞｱﾊﾞｲﾌﾞﾙ	10	12	ZOAHBIBL
00CDC4	ﾄﾞﾗｺﾞﾝﾌﾞｯｸ1	12	12	DRGNBOK1
00CDD0	ﾄﾞﾗｺﾞﾝﾌﾞｯｸ2	12	12	DRGNBOK2
00CDDC	ﾄﾞﾗｺﾞﾝﾌﾞｯｸ3	12	12	DRGNBOK3
00CDE8	ﾊﾞﾄﾙﾒﾓﾘｰ	9	12	BATTLEMM
00CDF4	ﾋﾟｰｽｼｪﾙ	8	8	PEACSHL
00CDFC	ﾍﾟｯﾄﾌｰﾄﾞ	9	12	PETFOOD
00CE08	ﾗﾝﾃﾞｨﾚﾎﾟｰﾄ	11	12	LANDYREP
00CE14	ｻｳﾝﾄﾞﾕﾆｯﾄ	10	12	SOUNDUNT
00CE20	ﾃﾝﾄ	4	4	TNT
00CE24	ｻﾞｯｸ	5	8	SACK
00CE2C	ﾄﾞﾛｰﾝﾚﾎﾟｰﾄ	11	12	DRONEREP
00CE38	ﾊﾟｴｯﾄﾉｰﾄ	9	12	PAETNOTE
00CE44	ﾚｺｰﾀﾞｰ	7	8	RECORDR
00CE4C	ﾄﾞﾗｺﾞﾝﾚﾎﾟｰﾄ	12	12	DRGNREPT
00CE58	ﾀﾜｰﾚﾎﾟｰﾄ2	10	12	TOWERRP2
00CE64	ﾀﾜｰﾚﾎﾟｰﾄ3	10	12	TOWERRP3
00CE70	ﾘｰﾀﾞｰｽﾞﾉｰﾄ	11	12	LEADRNOT
00CE7C	ｻﾞﾑﾄ	5	8	ZAMTO
00CE84	ｻﾞﾑﾊﾙﾄ	7	8	ZAMHALT
00CE8C	ｻﾞﾑｸﾚｰﾄ	8	8	ZAMKRET
00CE94	ﾊﾝｳﾞｫﾙｸﾞ	9	12	HANVOLG
00CEA0	ｳﾞｧﾃﾞﾑ	7	8	VADEM
00CEA8	ｳﾞｧﾀﾞｽﾞﾑ	9	12	VADAZUM
00CEB4	ｱﾊﾞｯﾂ	6	8	ABATZ
00CEBC	ﾌﾚｲｽｶﾛｽ	8	8	FLEISKR
00CEC4	ﾀﾞﾛﾙｴﾝﾃﾞ	9	12	DAROLEND
00CED0	ﾘｭｰｳﾞ	6	8	RYUV
00CED8	ｶﾞﾉｰｸ	6	8	GANOK
00CEE0	ｷﾞﾘｨｸ	6	8	GIRIK
00CEE8	ﾌﾗｵ	4	4	FLA
00CEEC	ﾋﾞｸｼｵﾏ	7	8	BIXIOMA
00CEF4	ﾗｸﾏｷﾞｵ	7	8	RAKMGIO
00CEFC	ﾀﾞﾛﾙ	5	8	DAROL
00CF04	ｳﾞｧﾄﾞ	6	8	VADO
00CF0C	ﾚｳｺ	4	4	LEU
00CF10	ﾃﾞｱﾄｩﾌﾟ	8	8	DEATUP
00CF18	ﾛﾄﾞｸ	5	8	RODOK
00CF20	ﾂｧｰﾉｽ	6	8	ZARNOS
00CF28		1	4	
00CF2C	ﾒﾘﾄ	4	4	MRT
00CF30	ﾒﾘｿﾅ	5	8	MERISON
00CF38	ﾒﾘｵｸｽ	6	8	MERIOKS
00CF40	ｴｸｴﾗ	5	8	EKUERA
00CF48	ｹﾄｷｽ	5	8	KETOKIS
00CF50	ﾂｧｵ	4	4	ZAO
00CF54	ﾘｭｰﾘｱ	6	8	RYURIA
00CF5C	ﾗﾃｵ	4	4	LTO
00CF60	ｹﾐﾄﾏ	5	8	KEMITMA
00CF68	ﾌｨｰﾙﾄﾞﾏｯﾌﾟ	11	12	FIELDMAP
00CF74	ﾀﾞﾐｰ956	8	8	DUMY956
00CF7C	ﾀﾞﾐｰ961	8	8	DUMY961
00CF84	<06><01>Jﾄ	11	8	
00CF8C	<06><01>J<F0>	14	8	
