disc	epk	offset	len	max칸	frag	jp
1	E022.EPK	03C4F3	30	14		じゃあ、ここからは一人で行く
1	E022.EPK	06E027	38	18		おかげで、なんとか生きのびられそうだ
1	E022.EPK	0A7D87	38	18		シーカーってのは、冷たい奴が多くてな
1	E022.EPK	0D738F	34	16		約束の時間までに着かなかった奴は
1	E022.EPK	0FFB17	28	13		死んだことにされちまうのさ
1	E022.EPK	1319C7	14	6		ああ、そうだ
1	E022.EPK	1319D5	14	6		れちまうのさ
1	E022.EPK	189DD7	26	12		そいつを持って東に飛びな
1	E022.EPK	1C5CEF	30	14		そこにキャラバンがいるはずだ
1	E022.EPK	1F7B07	32	15		それを見せれば力になってくれる
1	E022.EPK	233CEF	38	18		まあ、ドラゴンを隠して行ったらの話…
1	E022.EPK	27CC03	12	5		…だけどな
1	E022.EPK	29D85F	30	14		短い間だったが、面白かったぜ
1	E022.EPK	29D87D	8	3		らの話…
1	E022.EPK	2E2B27	38	18		また、お互い生きてたらどこかで会おう
1	E024.EPK	01F2F7	32	15		あんたもさっきの奴らの仲間か！
1	E024.EPK	065F73	26	12		ん？ そのペンダントは…
1	E024.EPK	0E1C7F	26	12		なんだ、ガッシュの仲間か
1	E024.EPK	0FEB5B	30	14		ワシはまたさっきの奴らかと…
1	E024.EPK	13C31F	14	6		なら話は別だ
1	E024.EPK	13C32E	15	7		きの奴らかと…
1	E024.EPK	16BF1F	24	11		とりあえず、座ってくれ
1	E024.EPK	2096FF	16	7		クレイメンか…
1	E024.EPK	22D8D3	16	7		ガッシュの奴、
1	E024.EPK	248BE7	30	14		たまに誰かよこしたと思えば、
1	E024.EPK	260AC3	40	19		いつもめんどうを持ち込みおる…まったく
1	E024.EPK	2A2527	34	16		クレイメン…かどうかは知らんが、
1	E024.EPK	2CB593	36	17		それらしいのなら、3日ほど前に来た
1	E024.EPK	2F25DF	12	5		本当に！？
1	E024.EPK	306BD3	30	14		薬や武器を強尋していきおった
1	E024.EPK	349983	36	17		皆が殺気立っておるのは、そのせいだ
1	E024.EPK	3B32C3	18	8		奴らなら、北へ…
1	E024.EPK	3C28E3	28	13		禁止区域へ向かっていったよ
1	E024.EPK	3F235B	12	5		禁止区域？
1	E024.EPK	4221C5	5	2		う奴
1	E024.EPK	42A97F	10	4		この北に
1	E024.EPK	434E0B	34	16		重力の嵐が吹き荒れてる地域がある
1	E024.EPK	46B8B3	32	15		旧世紀の遣跡があるらしいんだが
1	E024.EPK	4A1ECF	30	14		自由に飛行することが難しくて
1	E024.EPK	4C4217	20	9		帝国軍も近づけない
1	E024.EPK	4F3C8B	10	4		噂じゃ、
1	E024.EPK	4FAB47	40	19		見たことのない攻性生物も出るらしいんで
1	E024.EPK	52F5D3	24	11		禁止区域と呼ばれておる
1	E024.EPK	5A5213	28	13		…まあ、放っておいたって、
1	E024.EPK	5CC3DB	40	19		奴らも攻性生物どもにやられるってことだ
1	E024.EPK	613D0B	24	11		それでも、儀は行きます
1	E024.EPK	61E01F	40	19		クレイメンに、せめて一撃でも加えたい…
1	E024.EPK	6AF0E3	22	10		ワシらにも事情がある
1	E024.EPK	6C3CF3	42	20		あんたをそこへ連れて行くことはできんが、
1	E024.EPK	6FF197	32	15		まあ、できる限りのことはしよう
1	E024.EPK	75639B	28	13		バイカにとっておきの武器を
1	E024.EPK	7716BB	22	10		売るように言っておく
1	E024.EPK	791FEB	38	18		奴なら、旧世紀のことも多少は知ってる
1	E024.EPK	7D7EE3	20	9		見た目はともかく、
1	E024.EPK	7EA7C7	28	13		中身は頼りになる奴だからな
1	E024.EPK	83ACA3	12	5		ありがとう
1	E024.EPK	8689F7	10	4		礼はいい
1	E024.EPK	880BC7	36	17		ただ、もし生きて帰ってこられたら、
1	E024.EPK	8D0F27	22	10		禁止区域で拾った物を
1	E024.EPK	8F30E7	24	11		ワシらに売ってくれんか
1	E024.EPK	90AB2F	22	10		武器や薬が足りんのだ
1	E024.EPK	93CA79	5	2		え奴
2	E034.EPK	03AA77	14	6		なんか用か？
2	E034.EPK	05749F	28	13		ないなら俺にかまわんでくれ
2	E034.EPK	08036F	14	6		この「総」…
2	E034.EPK	093D8F	40	19		もともとあなたの物だったって聞いたんだ
2	E034.EPK	0C2523	24	11		それで…この総の遣跡…
2	E034.EPK	0E2D43	32	15		『塔』について教えてほしいんだ
2	E034.EPK	1083CF	12	5		総だって？
2	E034.EPK	126E5B	10	4		バカ野郎
2	E034.EPK	1313AB	34	16		そりゃそんな【10】腐なもんじゃねえよ
2	E034.EPK	155607	24	11		『透視版』って言うんだ
2	E034.EPK	155620	9	4		ゃねえよ
2	E034.EPK	17AE6F	30	14		それぐらい勉強してから来い！
2	E034.EPK	1ACA8B	26	12		…これだから外の連中は…
2	E034.EPK	1E6287	28	13		それなら聞いたことはあるよ
2	E034.EPK	204963	26	12		旧世紀の記録機械…だろ？
2	E034.EPK	25DCDB	20	9		見かけない顔だな？
2	E034.EPK	2C1E3B	28	13		…ハンターか？ シーカー？
2	E034.EPK	31B4CF	24	11		まあね、そんなところだ
2	E034.EPK	346227	10	4		ふうん…
2	E034.EPK	35DA2F	30	14		で、塔がどうとか言ってたな？
2	E034.EPK	39343F	26	12		あの遣跡がどうかしたのか
2	E034.EPK	3B544F	24	11		塔の場所を探してるんだ
2	E034.EPK	3D3B2B	36	17		何か、あなたが知ってることがあれば
2	E034.EPK	3F074B	18	8		教えてくれないか
2	E034.EPK	40B2EF	38	18		おい、そんなこと聞いてどうするんだよ
2	E034.EPK	437EDB	24	11		あれは俺が発見したんだ
2	E034.EPK	437EF4	13	6		うするんだよ
2	E034.EPK	454AFB	20	9		要するに俺のもの、
2	E034.EPK	471527	28	13		あんたに教える義理はないね
2	E034.EPK	4A5A9F	30	14		まあ、あんたの出方によっては
2	E034.EPK	4D024B	30	14		教えてやらんこともないけどな
2	E034.EPK	50D29B	34	16		あんた、ハンターだって言ったよな
2	E034.EPK	53D033	22	10		なら、禁止区域の北、
2	E034.EPK	552BA3	32	15		ゲオルギウスの話を知ってるか？
2	E034.EPK	586A1F	20	9		ものを知らねえな…
2	E034.EPK	5A15C3	38	18		そこに行けば旧世紀の機械があるはずだ
2	E034.EPK	5E2143	20	9		ほら、そういう奴だ
2	E034.EPK	5E2157	18	8		の機械があるはずだ
2	E034.EPK	6317C7	40	19		見ての通り、こいつを修理してるんだが、
2	E034.EPK	65026F	20	9		部品が足りなくてな
2	E034.EPK	66AC33	34	16		あそこはまだ人が入ったことがない
2	E034.EPK	696113	28	13		空中船の部品もあるだろうぜ
2	E034.EPK	6AED5F	20	9		ま、あんたがそれを
2	E034.EPK	6D4A77	24	11		取ってきてくれるんなら
2	E034.EPK	6E6613	32	15		塔の場所を教えてやってもいいぜ
2	E034.EPK	71C5C7	18	8		んじゃ、よろしく
2	E034.EPK	77532F	16	7		早いとこ頼むぜ
2	E052.EPK	0A2C0F	24	11		あっ！ 探してたんだぜ
2	E052.EPK	0C68BF	16	7		どこにいたんだ
2	E052.EPK	0DF8BF	18	8		うわっ、何だよ…
2	E052.EPK	11704B	14	6		ああ、そうか
2	E052.EPK	1374A3	34	16		だけど、こんなものはもういいんだ
2	E052.EPK	1526A7	18	8		それより見たぜ、
2	E052.EPK	15E973	34	16		どこで手に入れたんだ、あいつを？
2	E052.EPK	188FDF	20	9		あいつって？ 何？
2	E052.EPK	1A71C7	26	12		おいおい、とぼけるなよ、
2	E052.EPK	1C0153	36	17		見たんだよ、あんたがあれに乗るのを
2	E052.EPK	1ECD23	14	6		まあ、待てよ
2	E052.EPK	202A83	24	11		そう恐い顔をするなって
2	E052.EPK	23406F	36	17		俺は、その辺にいるボンクラどもとは
2	E052.EPK	24B4A7	14	6		違うんだから
2	E052.EPK	2706CF	40	19		自分の知らないものを【14】定するってのは、
2	E052.EPK	28CA93	28	13		最高に愚かな奴のすることだ
2	E052.EPK	28CAAF	12	5		るってのは、
2	E052.EPK	2B5943	40	19		神だ、悪魔だと斉えたり崇めたりするって
2	E052.EPK	2DC9B7	32	15		いうのはちっとも論理的じゃない
2	E052.EPK	2F8F3F	12	5		そうだろ？
2	E052.EPK	32FDC3	34	16		知恵と知識ってやつを持ってるんだ
2	E052.EPK	34DFBF	38	18		あんたとドラゴンを見つけたのだって、
2	E052.EPK	375037	38	18		旧世紀の道具の使い方を知ってたからさ
2	E052.EPK	3BD757	40	19		こいつを使って、あんたがゲオルギウスで
2	E052.EPK	3E100B	36	17		ドラゴンに乗ってるところを見たんだ
2	E052.EPK	40EE3F	12	5		な、頼むよ
2	E052.EPK	43CC57	38	18		純【41】に、じゅんっすいに学術的興味から
2	E052.EPK	462177	32	15		あのドラゴンを見せてほしいんだ
2	E052.EPK	48025F	26	12		わかったよ…そのうち、な
2	E052.EPK	49901F	12	5		それより…
2	E052.EPK	49CB97	8	3		絶対？
2	E052.EPK	4A396F	14	6		絶対だぞ！？
2	E052.EPK	4C703B	20	9		…あ、えぇ〜っと…
2	E052.EPK	4DAE6B	12	5		…誰だっけ
2	E052.EPK	51F863	26	12		そうだ、絶対だぞ、エッジ
2	E052.EPK	5730E3	38	18		頼むよ、俺も今すぐなんて無茶は言わん
2	E052.EPK	59BCB3	32	15		ま、でもできる限り早く頼むぜ…
2	E052.EPK	605F23	30	14		そういや、何か頼まれてたよな
2	E052.EPK	63058B	12	5		…『塔』…
2	E052.EPK	6496CF	18	8		ああ、そうだった
2	E052.EPK	6794F7	24	11		…あれはこの街の北東、
2	E052.EPK	6A055B	28	13		湖を越えたところにある……
2	E052.EPK	6E194F	12	5		…はずだ…
2	E052.EPK	71C437	34	16		こいつを使って【61】ったもんだからな
2	E052.EPK	73DB17	30	14		実際に行ったわけじゃないんだ
2	E052.EPK	75A0A3	28	13		その時の記録…見てみるか？
2	E052.EPK	7B9BBB	22	10		えっと、あれは確か…
2	E052.EPK	7EB53F	18	8		あった、これだ！
2	E052.EPK	84039F	40	19		すごいだろ、この機械も俺が直したんだぜ
2	E052.EPK	8872FF	28	13		こいつはこれを飛ばすことで
2	E052.EPK	88731B	12	5		、したんだぜ
2	E052.EPK	8A54FB	32	15		居ながらにして世界のあちこちを
2	E052.EPK	8BFFE3	18	8		見ることができる
2	E052.EPK	8D4EA3	38	18		俺がいじった中でも、とっておきの奴さ
2	E057.EPK	0F53A3	24	11		また、あのドラゴン！！
2	E057.EPK	1369DB	30	14		説得の通じる相手じゃないか！
2	E059.EPK	071E37	10	4		頼むぞ…
2	E059.EPK	1A9D87	34	16		これ以上、あのひとの邪魔をするな
2	E059.EPK	1F268B	18	8		でなければ…殺す
2	E059.EPK	225FFB	16	7		ふざけるな！！
2	E059.EPK	253153	24	11		何も知らないくせに！！
3	E074.EPK	0337F3	22	10		…帝国軍！ なんで？
3	E074.EPK	095687	28	13		作戦は予定通り進行している
3	E074.EPK	0C2B27	12	5		帰隊するぞ
3	E074.EPK	0C2B33	16	7		り進行している
3	E074.EPK	0CDEA3	16	7		り進行している
3	E074.EPK	13E6F7	22	10		ふん、騎兵隊の連中、
3	E074.EPK	15F78F	20	9		飽きもせずよくやる
3	E074.EPK	18CF4F	38	18		ここの人間には【18】えるんじゃないですか
3	E074.EPK	1BBA33	26	12		なんせ、戦闘機を見るのは
3	E074.EPK	1D33A3	20	9		初めてでしょうから
3	E074.EPK	1EBCFF	16	7		かもしれんな…
3	E074.EPK	2056EB	10	4		…行くぞ
3	E078.EPK	00009C	16	7		なのヲ？？0 
3	E078.EPK	02CBBB	12	5		エッジ！？
3	E078.EPK	0763CB	40	19		さっそくドラゴンの力を利用しようってか
3	E078.EPK	0B4587	22	10		いいかげんにしろよ！
3	E078.EPK	0BEAA3	18	8		このクソ親父！！
3	E078.EPK	0F4EFB	14	6		気をつけろよ
3	E078.EPK	10A4EB	32	15		どうせ、ろくなこと考えてないぜ
3	E078.EPK	166A83	28	13		君か、エッジ君というのは…
3	E078.EPK	194B7F	26	12		まあ、とにかく入ってくれ
3	E078.EPK	1D7207	38	18		息子がずいぶん世話になってるようだな
3	E078.EPK	213CC3	32	15		きちんと【12】【13】すべきなんだろうが
3	E078.EPK	23D41B	30	14		なにぶん、時期が時期だけにな
3	E078.EPK	27667B	24	11		本題に入らせてもらうよ
3	E078.EPK	2DA9BF	24	11		…君も知ってるだろうが
3	E078.EPK	30AED7	32	15		この街に帝国と名乗る一団が来た
3	E078.EPK	34AFF7	38	18		彼らは、この街を明け渡せと言っておる
3	E078.EPK	396737	14	6		ふざけた話だ
3	E078.EPK	396745	24	11		を明け渡せと言っておる
3	E078.EPK	3D5077	30	14		帝国の噂は今までも聞いておる
3	E078.EPK	3E6E06	8	3		期利
3	E078.EPK	3E6FE6	8	3		期※
3	E078.EPK	4174C3	22	10		その冷酷なやり方もな
3	E078.EPK	437923	36	17		評議会でも、降【39】すべきという意見が
3	E078.EPK	46414F	20	9		主流を占めつつある
3	E078.EPK	4A9DDF	40	19		我々が戦っても勝ち目がないというわけだ
3	E078.EPK	4E5551	5	2		期※
3	E078.EPK	4EA769	5	2		期※
3	E078.EPK	4EA949	5	2		期※
3	E078.EPK	50E14B	36	17		その帝国も敗北した事が2度だけある
3	E078.EPK	59F5EF	32	15		あのバカ息子の言う事が本当なら
3	E078.EPK	5C48B3	22	10		君に頼みたい事がある
3	E078.EPK	6071B3	38	18		そのドラゴンで奴らをけちらしてほしい
3	E078.EPK	643C6B	26	12		むろん、ただでとは言わん
3	E078.EPK	68F1BF	22	10		聞けば、息子と同じく
3	E078.EPK	6AF61F	30	14		旧世紀の遣跡に興味があるとか
3	E078.EPK	6F12EB	36	17		もし、君が帝国軍と戦ってくれるなら
3	E078.EPK	72AAEF	40	19		この街にある「遣産」を見せる事ができる
3	E078.EPK	78B22F	30	14		君が探している『塔』とやらの
3	E078.EPK	7960DC	8	3		ウひュ【12】？
3	E078.EPK	7979C4	8	3		ウひュあ？
3	E078.EPK	797BA4	8	3		ウひュあ軍
3	E078.EPK	7B43E3	26	12		手がかりになるかもしれん
3	E078.EPK	7EAD27	30	14		どうだ、頼まれてもらえんか？
3	E078.EPK	82CC25	5	2		期※
3	E078.EPK	84FE43	12	5		わかった、
3	E078.EPK	858EA7	36	17		儀も帝国にうらみがないわけじゃない
3	E078.EPK	883347	14	6		奴らと戦うよ
3	E078.EPK	8A4EBB	12	5		本当か！？
3	E078.EPK	8ED78B	36	17		いや、この街の全ての人間にかわって
3	E078.EPK	9248E3	12	5		礼を言おう
3	E078.EPK	992867	34	16		…帝国軍はウルの北西にいるはずだ
3	E078.EPK	9D249F	30	14		あそこは早朝、霧が立ちこめる
3	E078.EPK	A08BE3	24	11		その時期を狙って行けば
3	E078.EPK	A256CF	34	16		近くまで気づかれずに行けるはずだ
3	E078.EPK	A7F973	18	8		頼むぞ、エッジ君
3	E078.EPK	AD45B7	28	13		…ああ、ちょっと待ってくれ
3	E078.EPK	B2DA1B	28	13		少ないが、準備に使ってくれ
3	E078.EPK	B5D063	28	13		ただし、この事は内密に頼む
3	E078.EPK	B9891B	28	13		私の話も、ドラゴンの事もだ
3	E078.EPK	BFAB9B	24	11		くれぐれも、よろしくな
3	E087.EPK	03A577	34	16		つまらん噂を吹聴しておるようだな
3	E087.EPK	096C17	14	6		つまらん噂？
3	E087.EPK	0D1F57	34	16		それをしているのはあなたでしょう
3	E087.EPK	10E973	34	16		常識でものを判断していただきたい
3	E087.EPK	1571C3	30	14		数百からなる空中艦隊ですと？
3	E087.EPK	1A9BB7	26	12		旧世紀の雷撃兵器を使う？
3	E087.EPK	1C1535	5	2		数※
3	E087.EPK	1E51A3	34	16		はっ！ 【20】にも司祭ともあろう方が
3	E087.EPK	22BDA7	38	18		そのような流言【26】語に惑わされるとは！
3	E087.EPK	27082B	34	16		たとえ、それほどのものでなくても
3	E087.EPK	2B718F	18	8		戦えば死者が出る
3	E087.EPK	3001AF	22	10		おとなしくしていれば
3	E087.EPK	3001C5	12	5		のでなくても
3	E087.EPK	3276AB	26	12		彼らもいつかは去っていく
3	E087.EPK	377C73	20	9		…だが、我々は違う
3	E087.EPK	39CEDD	5	2		紀噂
3	E087.EPK	3AD0DF	30	14		戦って負ければ、行き場はない
3	E087.EPK	3C4435	5	2		紀※
3	E087.EPK	3FA2C7	30	14		この街は神の力に守られている
3	E087.EPK	467E53	32	15		そう言ってたのは、あなたですぞ
3	E087.EPK	4A55CF	34	16		ドラゴンも神の力ではありませんか
3	E087.EPK	4F95CB	32	15		ふん、信仰を失った者が何を言う
3	E087.EPK	547F8F	10	4		誰だ…！
3	E087.EPK	57588F	34	16		ん？ よそ者のハンターではないか
3	E087.EPK	5B631B	14	6		なぜここに…
3	E087.EPK	5CFDC7	20	9		バイマン、貴様…！
3	E087.EPK	6126EF	30	14		エッジどの、首尾はどうです？
3	E087.EPK	65B1D7	24	11		湖の帝国軍は全滅させた
3	E087.EPK	6885A3	18	8		この街の近くには
3	E087.EPK	6967E3	28	13		もう1隻も残ってないはずだ
3	E087.EPK	752FA3	20	9		どうです、司祭どの
3	E087.EPK	789D73	18	8		帝国軍といっても
3	E087.EPK	7A99DF	24	11		たった1体のドラゴンに
3	E087.EPK	7C5523	5	2		ッ恐
3	E087.EPK	7C6BEB	5	2		会恐
3	E087.EPK	7C93AF	38	18		滅ぼされるようなものじゃありませんか
3	E087.EPK	7D8E6F	5	2		会？
3	E087.EPK	80BCEB	30	14		そんなものに斉えていたとは…
3	E087.EPK	83D0EF	22	10		しょせん、張子の【63】、
3	E087.EPK	866227	38	18		恐れるほどのものではないという事です
3	E087.EPK	8AD0D3	28	13		…これで、街の人間の考えも
3	E087.EPK	8D45C7	18	8		変わるでしょうな
3	E087.EPK	8FF307	34	16		この街はドラゴンによって守られた
3	E087.EPK	95BC0B	18	8		私の予言通りにね
3	E087.EPK	9A498B	28	13		どちらを次の司祭に推すか、
3	E087.EPK	9D79D3	28	13		考えるまでもないでしょうな
3	E087.EPK	A11897	14	6		…愚かな奴だ
3	E087.EPK	A118A5	14	6		ないでしょうな
3	E087.EPK	A79D27	34	16		いつか、おまえにもわかる日がくる
3	E087.EPK	AE4967	34	16		続きは明日の評議会で聞きましょう
3	E087.EPK	B37DB7	22	10		待たせたね、エッジ君
3	E087.EPK	B5966F	36	17		君のおかげで、全てがうまくいったよ
3	E087.EPK	B883F3	5	2		聞？
3	E087.EPK	B9BD0B	30	14		まさにこの街の【85】【86】だよ、君は
3	E087.EPK	BEE99F	12	5		それより…
3	E087.EPK	C27373	24	11		ああ、「遣産」の事かね
3	E087.EPK	C5084B	32	15		悪いが、明日まで待ってくれんか
3	E087.EPK	C804AF	22	10		評議会が終わるまでは
3	E087.EPK	C997CF	20	9		許可が下りんからな
3	E087.EPK	CD3A63	30	14		大丈夫、明日からは私が司祭だ
3	E087.EPK	D387E7	22	10		では、私は家に戻るよ
3	E087.EPK	D66B6F	26	12		こう見えても忙しい身でな
3	E090.EPK	00FEA1	5	2		丈※
3	E090.EPK	02CE7B	22	10		おい！ 大丈夫か！？
3	E090.EPK	0854A3	32	15		こいつの光り方が変わってたから
3	E090.EPK	099113	30	14		あわててとんで来たんだけど…
3	E090.EPK	0BA7EF	36	17		そしたら、おまえがこれに触ったまま
3	E090.EPK	0DA8D7	18	8		光に包まれてて…
3	E090.EPK	1035A7	8	3		…光？
3	E090.EPK	12A5FB	34	16		…さっきの幻、見えなかったのか？
3	E090.EPK	15110B	26	12		見えなかったって…何が？
3	E090.EPK	172B7B	26	12		塔があって、そのそばに…
3	E090.EPK	1EDEDB	14	6		ここ…だよな
3	E090.EPK	24A88B	16	7		何も起きないぞ
3	E090.EPK	24A89B	10	4		のそばに…
3	E090.EPK	27863B	36	17		俺は、もう少しこいつを調べてみるよ
3	E120.EPK	07424B	24	11		皇帝砲次弾装填完了！！
3	E120.EPK	097B3B	40	19		各部に伝達、皇帝砲発射の衝撃に備えろ！
3	E120.EPK	295407	24	11		尻尾を巻いて逃げ出すか
3	E120.EPK	2B97F7	26	12		ざまぁねえな、エッジ！！
3	E120.EPK	2EF69B	22	10		閣下はてめえのことを
3	E120.EPK	30EDE3	32	15		味方にしたがっているようだが、
3	E120.EPK	34D56F	14	6		俺は認めねえ
3	E120.EPK	374173	28	13		この俺様が、ここでてめえを
3	E120.EPK	3A7EB3	30	14		帝国もろとも倒してやるぜ！！
3	E121.EPK	0489A3	20	9		…俺はここで死ぬ…
3	E121.EPK	0821D3	30	14		おまえの仲間を殺ったのは俺だ
3	E121.EPK	0A2C37	22	10		その仇を倒したんだ…
3	E121.EPK	0C9F5B	20	9		満足したか、エッジ
3	E121.EPK	0F570B	22	10		閣下は、俺とは違う…
3	E121.EPK	120A17	28	13		だから…閣下に会ってくれ…
3	E121.EPK	15D187	26	12		閣下は…塔で…待ってる…
3	E128.EPK	06CC25	5	2		※落
3	E128.EPK	06D071	5	2		※落
3	E128.EPK	06D4BD	5	2		※落
3	E128.EPK	074839	5	2		※落
3	E128.EPK	074C85	5	2		※落
3	E128.EPK	0750D1	5	2		※落
3	E128.EPK	272B13	16	7		うわぁぁぁ！！
3	E128.EPK	2B360B	22	10		ダメだ！ 落ちる！！
3	E128.EPK	31D6D3	26	12		第2編隊、応答ありません
3	E128.EPK	357E23	28	13		カラ級誘導爆雷艦、沈没確認
3	E128.EPK	3BD2AF	24	11		皇帝砲発射準備まだか！
3	E128.EPK	46AD63	34	16		艦長、ダメです！ もちません！！
3	E128.EPK	49E0F7	30	14		総冥退艦せよ、艦を放来する！
3	E128.EPK	4E84D3	28	13		脱出装置が！ うわぁぁぁ…
