kind	jp_off	us_off	jp	us
~1:1	00BB50	00BC17	(【89】【90】に【91】【92】がすえつけてある)	(A warm breeze turns the windmill.)
~1:1	00BB6F	00BC3B	(【93】【94】の【95】【96】のための【91】【92】らしい)	(The windmill ventilates the barn.)
~1:1	00BB90	00BC5F	(【56】きな【97】却【98】がある)	(The incinerator smells like ash.)
~1:1	00BBA7	00BC82	(【97】却【98】の【40】で、【99】が【97】け【100】っている…)	(There's a book here...
~1:1	00BBCE	00BC9A	(ここで【101】【102】を【97】くような【103】は)	The only person that would
~1:1	00BBED	00BCB5	(バエットぐらいしかいないよなあ…)	burn a bible would be Paet...)
~1:1	00BC12	00BCD4	(ずいぷん【33】ぴた【97】却【98】だ)	(This incinerator is quite old.)
~1:1	00BC2D	00BCF5	(【104】【105】がたくさんしまってある)	(Old gardening tools for the harvest.)
~1:1	00BC4C	00BD1C	(【106】り【107】り【87】の【104】【105】だ)	(It's a tool for reaping.)
~1:1	00BC63	00BD37	(【56】きな【31】が生えている)	(Smells like fresh fruit.)
~1:1	00BC7C	00BD52	(【31】が【53】つほど【54】が【55】えているのか…)	(The land here is fertile.)
~1:1	00BCA1	00BD6E	(変わった【50】りが【51】っている)	(An interesting tool. It seems to be
~1:1	00BCBE	00BD93	(【91】【108】と【91】力を【109】っているらしい)	providing information about the wind.)
~1:1	00BCDF	00BDBA	(【110】さな機【81】がついている…)	(It's constructed from old parts.
~1:1	00BCFC	00BDDC	(これもバエットが【111】ったのかな)	Did Paet make this too?)
~1:1	00BD1D	00BDF5	(【110】さな【112】【113】だ)	(It's a small seedbed.)
~1:1	00BD2E	00BE0D	(ラグス【114】を【115】【116】しているらしい)	(They're planting Lagus.
~1:1	00BD4F	00BE26	(【117】【118】【119】としては【120】く売れるけど…)	It'll sell as a spice, but...
~1:1	00BD72	00BE44	(【121】のふくれる【122】物じゃないな)	it certainly won't fill you up.)
~1:1	00BD91	00BE65	(【123】の【108】こうに【34】【35】が【84】える)	(There's a well over the wall.)
~1:1	00BDAE	00BE85	【40】に【41】る	Enter
~1:1	00BDB7	00BE8B	やめる	Stay Out
~1:1	00BDBE	00BE94	(【34】【35】が【46】ってある)	(A freshly dug well.)
~1:1	00BDD3	00BEAA	(【124】の【125】が【82】いてある)	(Bags made of cloth.)
~1:1	00BDEA	00BEC0	(【72】物【41】りの【125】だ)	(They're full of grain.)
~1:1	00BDFD	00BED9	【40】に【41】る	Enter
~1:1	00BE06	00BEDF	やめる	Stay Out
~1:1	00BE0D	00BEE8	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BE26	00BF01	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BE3F	00BF1A	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BE58	00BF33	(【123】の【127】【128】から【56】きな【129】が【84】える…)	(There's some sort of building.)
~1:1	00BE7B	00BF54	【40】に【41】る	Enter
~1:1	00BE84	00BF5A	やめる	Stay Out
~1:1	00BE8B	00BF63	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BEA4	00BF7C	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BEBD	00BF95	【40】に【41】る	Enter
~1:1	00BEC6	00BF9B	やめる	Stay Out
~1:1	00BECD	00BFA4	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BEE6	00BFBD	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BEFF	00BFD6	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BF18	00BFEF	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BF31	00C008	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BF4A	00C021	(【19】は【22】ざされている…)	(The gate is closed...)
~1:1	00BF63	00C039	(【130】【49】がついている…【4】けるのは無【131】だ)	(It's locked... I can't open it.)
~1:1	00BF8A	00C05B	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BFA3	00C074	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00BFBC	00C08D	(【91】【92】が【132】っている…)	(A windmill is turning
~1:1	00BFD3	00C0A4	(【60】のために【111】られたのかな？)	in the warm breeze.)
~1:1	00BFF2	00C0B9	(【36】をくみ【133】げる【91】【92】だろう)	(It must pump the water through
~1:1	00C00F	00C0D9	(この【123】の【134】には【36】【70】【71】があるからな…)	those pipes in the wall.)
~1:1	00C036	00C0F3	(【56】がかりな【91】【92】だな)	(A large rusted windmill.
~1:1	00C04D	00C10D	(ずいぷん【135】に【111】られたものらしい)	It looks pretty old.)
~1:1	00C070	00C123	(【91】【92】が【132】っている…)	(A windmill is turning
~1:1	00C087	00C13A	(【60】のために【111】られたのかな？)	in the warm breeze.)
~1:1	00C0A6	00C14F	(【36】をくみ【133】げる【91】【92】だろう)	(It must pump the water
~1:1	00C0C3	00C167	(この【123】の【134】には【36】【70】【71】があるからな…)	through those pipes in the wall.)
~1:1	00C0EA	00C189	(【56】がかりな【91】【92】だな)	(A large rusted windmill.
~1:1	00C101	00C1A3	(ずいぷん【135】に【111】られたものらしい)	It looks pretty old.)
~1:1	00C124	00C1B9	(きれいな【50】り【10】だ…)	(A beautifully decorated window.)
~1:1	00C13B	00C1DB	(攻性生物の【136】【137】な【138】で【111】ってある)	(It's made out of monster wings.)
~1:1	00C15E	00C1FD	(きれいな【50】り【10】だ…)	(A beautifully decorated window.)
~1:1	00C175	00C21F	(攻性生物の【136】【137】な【138】で【111】ってある)	(It's made out of monster wings.)
~1:1	00C198	00C241	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00C1B1	00C25A	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00C1CA	00C273	(【84】なれない【85】物だ…【86】【87】らしい)	(Strange plant... It's edible.)
~1:1	00C1EB	00C293	(【88】でとれた物だろうか？)	(It smells sweet.)
~1:1	00C206	00C2A6	(【84】なれない【85】物だ…【86】【87】らしい)	(Strange plant... It's edible.)
~1:1	00C227	00C2C6	(【88】でとれた物だろうか？)	(It smells sweet.)
~1:1	00C242	00C2D9	(【84】なれない【85】物だ…【86】【87】らしい)	(Strange plant... It's edible.)
~1:1	00C263	00C2F9	(【37】【139】に【25】がこぽれ【140】ちている)	(Nuts have fallen to the ground.)
~1:1	00C282	00C31B	(【88】でとれた物だろうか？)	(Is it from the forest?)
~1:1	00C29D	00C334	(【84】なれない【85】物だ…【86】【87】らしい)	(Strange plant... It's edible.)
~1:1	00C2BE	00C354	(【88】でとれた物だろうか？)	(A pleasant aroma.)
~1:1	00C2D9	00C368	(【84】なれない【85】物だ…【86】【87】らしい)	(Strange plant... It's edible.)
~1:1	00C2FA	00C388	(【37】【139】に【25】がこぽれ【140】ちている)	(Some nuts have fallen to the ground.)
~1:1	00C319	00C3AF	(【88】でとれた物だろうか？)	(A pleasant aroma.)
~1:1	00C334	00C3C3	(きれいな【50】り【10】だ…)	(A beautifully decorated window.)
~1:1	00C34B	00C3E5	(攻性生物の【136】【137】な【138】で【111】ってある)	(It's made out of monster wings.)
~1:1	00C36E	00C407	(きれいな【50】り【10】だ…)	(A beautifully decorated window.)
~1:1	00C385	00C429	(攻性生物の【136】【137】な【138】で【111】ってある)	(It's made out of monster wings.)
~1:1	00C3A8	00C44B	(【56】きな【31】が生えている)	(The Hammond Fruit is almost ripe.)
~1:1	00C3C1	00C46F	(【31】の【90】【99】に、【60】か【140】ちている…)	(There's something under the tree...)
~1:1	00C3E2	00C495	(【31】が【53】つほど【54】が【55】えているのか…)	(The land here is fertile.)
~1:1	00C407	00C4B1	(【56】きな【31】が生えている)	(These trees are healthy.)
~1:1	00C420	00C4CC	(【31】が【53】つほど【54】が【55】えているのか…)	(The land here is fertile.)
~1:1	00C445	00C4E8	(【141】【142】のような物が【82】いてある)	(There's a stone monument here.)
~1:1	00C464	00C509	(この【0】の【143】【144】の【145】標らしい…)	(It looks like a headstone.)
~1:1	00C483	00C526	(【123】の【127】【128】から【21】が【84】える)	(There's a door behind the wall.)
~1:1	00C49E	00C548	【40】に【41】る	Enter
~1:1	00C4A7	00C54E	やめる	Stay Out
~1:1	00C4AE	00C557	【17】に【13】る	Leave
~1:1	00C4B7	00C55D	やめる	Stay
~1:1	00C4BE	00C562	(この【99】は【146】【147】【148】みふるしてあるな…)	(This book has been read many times.)
~1:1	00C4E3	00C588	(ぷあつい【149】【99】だ)	(A very thick manuscript.)
~1:1	00C4F6	00C5A3	(【133】【150】のランブだ…【99】を【148】むためだろう)	(Nice lamp... probably for reading.)
~1:1	00C51D	00C5C8	(【151】の【133】にランブが【82】いてある)	(There's a lamp on the desk.)
~1:1	00C53C	00C5E6	(たぷん、【88】に【143】む【110】動物の【152】だろう)	(Meat from a forest creature.)
~1:1	00C561	00C605	(【32】し【152】が【153】るしてある)	(Dried meat is hanging from hooks.)
~1:1	00C57A	00C629	(ガラクタの【73】に【124】をかぷせてある)	(A pile of junk, under some cloth.)
1:1	00C5AA	00C65A	【146】【154】のアプネルから【155】は【156】いてますよ	I've heard stories from Abner.
1:1	00C5CD	00C679	そこがあいつの【157】【89】です	That's his room.
1:1	00C5F1	00C697	…ここ、物【82】じゃないのか？	Isn't it for storage?
~1:1	00C619	00C6BA	あいつ、【158】【159】ガラクタ【160】ってくるんです	He sometimes collects relics.
~1:1	00C63E	00C6D8	バエットさんが【161】ってくれるそうですが	He says that Paet sometimes buys
~2:1	00C663	00C6F9	) あらかた【162】っ【163】されるみたいで…	them, but most are rejected.
~2:1	00C691	00C723	【164】するに、【165】り物なんだ <1B>いで…	Basically, it's all junk.
1:1	00C6BD	00C74A	ええ、まあ…	Well... take anything that you want.
1:1	00C6CA	00C76F	【166】【147】に【167】って【20】ってください	There may be something good
1:1	00C6E5	00C78B	たいした物はないかもしれませんが…	in there.
1:1	00C715	00C7A2	【146】【154】のアプネルから【155】は【156】いてますよ	I've heard stories from Abner.
1:1	00C738	00C7C1	そこがあいつの【157】【89】です	That's his room.
1:1	00C75C	00C7DF	…ここ、物【82】じゃないのか？	Isn't it for storage?
~1:1	00C784	00C802	あいつ、【158】【159】ガラクタ【160】ってくるんです	He sometimes collects relics.
~1:1	00C7A9	00C820	バエットさんが【161】ってくれるそうですが	He says that Paet sometimes buys
~2:1	00C7CE	00C841	) あらかた【162】っ【163】されるみたいで…	them, but most are rejected.
~2:1	00C7FC	00C86B	【164】するに、【165】り物なんだ <1B>いで…	Basically, it's all junk.
1:1	00C828	00C892	ええ、まあ…	Well... take anything that you want.
1:1	00C835	00C8B7	【166】【147】に【167】って【20】ってください	There may be something good
1:1	00C850	00C8D3	たいした物はないかもしれませんが…	in there.
1:1	00C873	00C8DD	(【23】の【157】【89】からガラクタがあふれている)	(There's junk everywhere...
1:1	00C89A	00C8F9	(【124】で【168】してあるけど…)	some of it is partially covered,
1:1	00C8B3	00C91A	(体【169】のいいものじゃないな)	but it is still a mess.)
1:1	00C8D0	00C933	【170】いに【171】【51】ちそうな物	Things Useful for Battle
1:1	00C8ED	00C94C	ドラゴンに【172】する【173】物	Books on the Dragon
1:1	00C90A	00C960	攻性生物の体の【174】【157】	Parts of Monsters
1:1	00C927	00C972	(【175】素な【153】り【113】だ…)	(It's a simple hammock...
1:1	00C93C	00C98C	(でも、【83】【41】れは【20】き【176】いている)	but it's well taken care of.)
1:1	00C95D	00C9AA	(【153】り【113】が【58】にとりつけてある)	(A hammock is attached to the pillar.)
1:1	00C97C	00C9D1	(つぽには【72】物や【36】が【41】っているようだ)	(The pots contain grain and water.)
1:1	00C9A3	00C9F5	(素【97】きのつぽが【82】いてある)	(These pots are unglazed.)
1:1	00C9C0	00CA10	(かまどの【40】で【100】り【177】が【52】えている)	(A fire still burns inside the stove.)
1:1	00C9E3	00CA37	(【119】【131】をするためのかまどだ)	(It's used for cooking.)
1:1	00CA00	00CA50	(ごく【175】【178】なつくりのイスだ)	(It's a simple chair.)
1:1	00CA1D	00CA67	(【110】さなイスが【82】いてある)	(There's a small chair here.)
1:1	00CA38	00CA85	(【179】の【40】に【180】のつぽがしまってある)	(There's a pot of oil on the shelf.)
1:1	00CA5B	00CAAA	(【123】をくり【181】いて【179】を【111】ってある)	(The wall has been hollowed out.)
1:1	00CA7C	00CACC	(【179】の【40】に【117】【119】のつぽがしまってある)	(There're spices on the shelf.)
1:1	00CAA1	00CAEC	(【123】をくり【181】いて【179】を【111】ってある)	(The wall has been hollowed out.)
1:1	00CAC2	00CB0E	(【179】の【40】に【182】のつぽがしまってある)	(There's medicine on the shelf.)
1:1	00CAE5	00CB2F	(【123】をくり【181】いて【179】を【111】ってある)	(The wall has been hollowed out.)
1:1	00CB06	00CB51	(【179】の【40】に【182】のつぽがしまってある)	(There's medicine on the shelf.)
1:1	00CB29	00CB72	(【123】をくり【181】いて【179】を【111】ってある)	(The wall has been hollowed out.)
1:1	00CB4A	00CB94	【17】に【13】る	Leave
1:1	00CB53	00CB9A	やめる	Stay
1:1	00CB5A	00CB9F	(このはしごはずいぷん【183】いな…)	(It's a step ladder.
1:1	00CB7B	00CBB4	(【184】【34】に物を【153】るのに【185】うらしい)	Probably used for hanging stuff.)
1:1	00CB9C	00CBD6	(【31】のはしごが【82】いてある)	(There's a wooden ladder here.)
1:1	00CBB7	00CBF6	(【51】【186】な【187】【113】だけど…ちょっと【188】いな)	(Nice bed... but it's dirty.)
1:1	00CBDC	00CC14	(【189】【190】りの【153】り【113】だ)	(It is a well used hammock.)
1:1	00CBF1	00CC31	(きれいな【36】が【41】っている…【191】み【36】だな)	(Clear water, probably for drinking.)
1:1	00CC18	00CC57	(【56】きな【36】がめが【82】いてある)	(There's a big water jug.)
1:1	00CC35	00CC72	(【85】物の【180】を【185】ったランブだ)	(A lamp that burns vegetable oil.)
1:1	00CC52	00CC95	(【184】【34】からランブが【153】ってある)	(A lamp is hanging from the ceiling.)
1:1	00CC71	00CCBB	(【85】物の【180】を【185】ったランブだ)	(A lamp that burns vegetable oil.)
1:1	00CC8E	00CCDE	(【151】の【133】にランブが【82】いてある)	(There's lamp on the desk.)
1:1	00CCAD	00CCFA	(【88】の【40】の【0】だけあって、いいたき【31】だ)	(Good kindling from the forest.)
1:1	00CCD4	00CD1B	(たき【31】に【124】をかぷせてある)	(Kindling under a dry cloth.)
1:1	00CCF1	00CD39	(つぽには【72】物や【36】が【41】っているようだ)	(The pots contain grain and water.)
1:1	00CD18	00CD5D	(素【97】きのつぽが【82】いてある)	(These pots are unglazed.)
1:1	00CD35	00CD78	(【179】の【40】に【192】のつぽがしまってある)	(There's alcohol on the shelf.)
1:1	00CD58	00CD98	(【123】をくり【181】いて【179】を【111】ってある)	(The wall has been hollowed out.)
1:1	00CD79	00CDBA	(ハンターがよく【185】う【193】みひもだ)	(A braid, used by hunters.)
1:1	00CD9A	00CDD6	(【123】に、【33】ぴたひもがかかっている)	(An old braid hangs on the wall.)
1:1	00CDBD	00CDF8	(ごく【175】【178】なつくりのイスだ)	(It's a simple chair.)
1:1	00CDDA	00CE0F	(【110】さなイスが【82】いてある)	(There's a small chair there.)
1:1	00CDF5	00CE2E	(【191】み【36】や【86】【119】が【82】いてある)	(There's food and water here.)
1:1	00CE12	00CE4D	(【191】み【36】や【86】【119】が【82】いてある…)	(There's food and water here...
1:1	00CE31	00CE6D	(【194】し【195】が【196】っているみたいだな)	There's not much left.)
1:1	00CE52	00CE85	(はしごが【51】てかけてある)	(There's a ladder here.)
1:1	00CE6D	00CE9E	(はしごが【51】てかけてある…)	(A ladder was left here...
1:1	00CE8A	00CEB9	(ランブを【197】ろすのに【185】ったらしい)	He used it to take the lamp down.)
1:1	00CEAD	00CEDC	(【153】り【113】を【198】える【199】だ)	(It's a rope to support the hammock.)
1:1	00CEC4	00CF02	(【153】り【113】を【198】える【199】が【200】きちぎってある)	(The rope has been removed.)
1:1	00CEEB	00CF1F	(【153】り【113】が【5】り【13】してある)	(The hammock has been taken down.)
1:1	00CF06	00CF42	(【31】の【189】で【111】った【153】り【113】だ…)	(It's a dingy looking hammock.
1:1	00CF23	00CF61	(【123】から【200】きちぎって【5】り【13】したらしい)	He took it down, and put it there.)
1:1	00CF4A	00CF85	(ランブ【201】だ…)	(The base of a lamp...)
1:1	00CF5B	00CF9D	(ランブを【17】した【201】だけが【153】ってある)	(The base of the lamp is hanging.)
1:1	00CF80	00CFC0	(たき【31】に【124】をかぷせてある)	(Some firewood is under the cloth.)
1:1	00CF9D	00CFE4	(いいたき【31】だ…【88】の【202】くだからかな)	(Firewood cut from the forest.)
1:1	00CFC2	00D004	(【123】をくり【181】いて【179】を【111】ってある)	(The wall has been hollowed out.)
1:1	00CFE3	00D026	(【179】の【40】に【192】のつぽがしまってある)	(The pot is filled with alcohol.)
1:1	00D006	00D048	(【113】の【133】にランブが【82】いてある)	(There's a lamp on the floor.)
1:1	00D025	00D067	(まだ、かなり【180】が【100】っている…)	(There's still a lot of oil left...)
1:1	00D046	00D08C	(【85】物の【180】を【185】ったランブだ)	(The lamp burns vegetable oil.)
1:1	00D063	00D0AC	(【203】【124】が【5】り【13】してある)	(An old bed sheet.)
1:1	00D07C	00D0C0	(【203】【124】の【38】に【60】かあるぞ…)	(There's something under the sheet.)
1:1	00D097	00D0E5	(【188】い【203】【124】だな…)	(What a dirty sheet...)
1:1	00D0AA	00D0FD	(【56】きな【31】【204】だ)	(It's a big wooden box.)
1:1	00D0BB	00D116	(【205】の【70】【105】が【41】っているようだ)	(Items used by travellers.)
1:1	00D0DA	00D132	(【56】きな【124】の【125】だ)	(It's a big cloth sack.)
1:1	00D0ED	00D14B	(【72】物が【41】っているらしい)	(It is full of grain.
1:1	00D108	00D161	(ずいぷんため【61】んであるな…)	That's a lot of grain!)
1:1	00D127	00D179	(【56】きな【124】の【125】だ)	(It's a big cloth sack.)
1:1	00D13A	00D192	(【72】物が【41】っているらしい)	(It is full of grain.
1:1	00D155	00D1A8	(ずいぷんため【61】んであるな…)	Now that's a lot of grain!)
1:1	00D174	00D1C4	(【33】ぴたひもが【123】にかかっている)	(There are some ropes here.)
1:1	00D195	00D1E1	(ハンターがよく【185】う【193】みひもだ)	(It's a braid used by hunters.)
1:1	00D1B6	00D201	(【179】の【133】に【204】が【206】っている)	(There's a box on the shelf.)
1:1	00D1D1	00D21F	(【207】と【208】【96】を防ぐ【209】【210】の【204】だ)	(It's a waterproof box.
1:1	00D1EE	00D237	(ハンターが【211】【182】【41】れによく【185】っている)	Many hunters store ammo in them.)
