epk	offset	len	text
E014.EPK	7E65B4	33	言うんだが…まあ、ガッシュでいい
E014.EPK	8262AC	25	こう見えても、この辺りの
E014.EPK	84CC00	19	情報には詳しいんだ
E014.EPK	882C00	29	遣跡のこと、攻性生物のこと、
E014.EPK	8C7260	21	何だって教えてやるぜ
E021.EPK	02CAF4	19	何だ！！ 一体！？
E021.EPK	065D50	23	…ガッシュ！ あれ！！
E021.EPK	13C854	27	くそっ、不死身か、奴は！？
E021.EPK	25CB28	13	変形した！！
E021.EPK	431D84	11	…すごい…
E021.EPK	45ECEC	25	状況に応じた変形能力…か
E021.EPK	4A70B0	21	やっぱり、こいつは…
E021.EPK	4E191C	17	いや、何でもない
E021.EPK	504F94	21	いとこ地上に戻ろうぜ
E021.EPK	5311B4	21	遣跡の出□は目の前だ
E021.EPK	5311CA	11	に戻ろうぜ
E022.EPK	03C4F4	29	じゃあ、ここからは一人で行く
E022.EPK	06E028	37	おかげで、なんとか生きのびられそうだ
E022.EPK	0A7D88	37	シーカーってのは、冷たい奴が多くてな
E022.EPK	0D7390	33	約束の時間までに着かなかった奴は
E022.EPK	0FFB1A	25	んだことにされちまうのさ
E022.EPK	1319C8	13	ああ、そうだ
E022.EPK	1319D6	13	れちまうのさ
E022.EPK	189DD8	25	そいつを持って東に飛びな
E022.EPK	1C5CF0	29	そこにキャラバンがいるはずだ
E022.EPK	1F7B08	31	それを見せれば力になってくれる
E022.EPK	233CF0	37	まあ、ドラゴンを隠して行ったらの話…
E022.EPK	27CC04	11	…だけどな
E022.EPK	29D860	29	短い間だったが、面白かったぜ
E022.EPK	2E2B28	37	また、お互い生きてたらどこかで会おう
E024.EPK	01F2F8	31	あんたもさっきの奴らの仲間か！
E024.EPK	065F74	25	ん？ そのペンダントは…
E024.EPK	0E1C80	25	なんだ、ガッシュの仲間か
E024.EPK	0FEB5C	29	ワシはまたさっきの奴らかと…
E024.EPK	13C320	13	なら話は別だ
E024.EPK	13C32E	15	きの奴らかと…
E024.EPK	16BF20	23	とりあえず、座ってくれ
E024.EPK	209700	15	クレイメンか…
E024.EPK	22D8D4	15	ガッシュの奴、
E024.EPK	248BE8	29	たまに誰かよこしたと思えば、
E024.EPK	260AD6	21	ち込みおる…まったく
E024.EPK	2A2528	33	クレイメン…かどうかは知らんが、
E024.EPK	2CB594	35	それらしいのなら、3日ほど前に来た
E024.EPK	2F25E0	11	本当に！？
E024.EPK	306BD4	29	薬や武器を強尋していきおった
E024.EPK	349984	35	皆が殺気立っておるのは、そのせいだ
E024.EPK	3B32C4	17	奴らなら、北へ…
E024.EPK	3C28E4	27	禁止区域へ向かっていったよ
E024.EPK	42A980	9	この北に
E024.EPK	434E0C	33	重力の嵐が吹き荒れてる地域がある
E024.EPK	46B8B4	31	旧世紀の遣跡があるらしいんだが
E024.EPK	4A1ED0	29	自由に飛行することが難しくて
E024.EPK	4C4218	19	帝国軍も近づけない
E024.EPK	4F3C8C	9	噂じゃ、
E024.EPK	4FAB48	39	見たことのない攻性生物も出るらしいんで
E024.EPK	52F5D4	23	禁止区域と呼ばれておる
E024.EPK	5A5214	27	…まあ、放っておいたって、
E024.EPK	5CC3DC	39	奴らも攻性生物どもにやられるってことだ
E024.EPK	613D0C	23	それでも、儀は行きます
E024.EPK	61E020	39	クレイメンに、せめて一撃でも加えたい…
E024.EPK	6AF0E4	21	ワシらにも事情がある
E024.EPK	6C3CF4	41	あんたをそこへ連れて行くことはできんが、
E024.EPK	6FF198	31	まあ、できる限りのことはしよう
E024.EPK	75639C	27	バイカにとっておきの武器を
E024.EPK	7716BC	21	売るように言っておく
E024.EPK	791FEC	37	奴なら、旧世紀のことも多少は知ってる
E024.EPK	7D7EE4	19	見た目はともかく、
E024.EPK	7EA7C8	27	中身は頼りになる奴だからな
E024.EPK	83ACA4	11	ありがとう
E024.EPK	8689F8	9	礼はいい
E024.EPK	880BC8	35	ただ、もし生きて帰ってこられたら、
E024.EPK	8D0F28	21	禁止区域で拾った物を
E024.EPK	8F30E8	23	ワシらに売ってくれんか
E024.EPK	90AB30	21	武器や薬が足りんのだ
