trim	now	cap	W	module	id	ko
-2	3	2	9	COMMON	6585	공성생물의\n운동기관 비싸게\n팔린다
-2	3	2	9	COMMON	6578	공성생물의\n공격기관 비싸게\n팔린다
-2	3	2	9	COMMON	6577	공성생물의\n감각기관 비싸게\n팔린다
-3	6	5	11	FLD_A7	5158	타입 셀렉트를 하면\n드래곤의 기본 능력을\n조정할 수 있다.\n조정할 수 있는 기본\n능력은 다음의\n4가지.
-3	3	2	15	COMMON	7380	변경에 퍼져 있는 서적\n종말에 관한 전승이 적혀\n있다
-3	3	2	15	COMMON	7379	변경에 퍼져 있는 서적\n창세에 관한 전승이 적혀\n있다
-3	3	2	13	COMMON	4782	우르에 사는\n생물・도비타마의 분비물이\n굳은 것
-4	5	4	15	FLD_A3	5825	선입력을 잘 활용하면, 시간\n손실을 줄일 뿐 아니라\n적보다 선수를 치기\n쉬워지므로, 전투가 매우\n유리해진다.
-4	5	4	9	FLD_A7	2904	。 능력은\n평균적이라서\n특별한 결점은\n없지만 반대로\n장점도 없다。
-5	8	7	17	MENUBK	3271	아직 문명의 빛을 모르는 변경의\n백성은, 구세기의 산물을 공연히\n두려워하며, 어리석은 신앙의\n대상으로 삼을 뿐이다. 그 땅에\n묻힌 유산을,정당한  계승자,즉\n황제 폐하께  돌려드리는\n것이,우리 군에게 주어진\n사명이다.
-5	6	5	11	BTL_T0	6979	화면에 뜨지 않지만\n적도 게이지를 지녀\n일정 간격으로\n행동한다. 게이지\n차는 속도는 적마다\n다르다.
-5	5	4	12	FLD_A3	5824	선입력은,\n・적(자신)이 위치를\n잡는 중 ・적(자신)이\n행동하는 중 에 할 수\n있다.
-6	8	7	17	MENUBK	7383	변경 부족 중에는 제국의 재산인\n유적을 도굴 목적으로 마구\n파헤치는  무리가 존재한다.\n그들은 시커라 불리며,변경에서는\n어느 정도 인지도를 얻고\n있으나,그  행위는 제국에 대한\n반역이므로 발견  즉시 섬멸해야\n한다.
-6	8	7	17	MENUBK	6724	구세기 문명의 힘은 지상에\n창궐하는  공성생물을 몰아내고\n인류를 다시  세계의 주인으로\n만들기 위해 쓰인다. 제국의\n영토 확장은 더 많은 유적과\n엔진을 얻기 위함이며, 모두\n공성생물로부터 인민을  지키는\n데 쓰인다.
-6	8	7	17	MENUBK	6370	당연히,멜=카바를 격추하기\n위해서는  그 엔진을 파괴하면\n되는 것이지만, 그곳까지의 길은\n「죽음의 빛을 뿜는 파수꾼」\n(이것도 전해지는 이야기 속\n호칭이다)에게  가로막혀\n있다.아마,자율형  포대 같은\n것일 것이다.
-6	8	7	17	MENUBK	5042	지그는 죽고 말았다.생각한 대로\n혼났고,식사도 걸렀다.하지만,\n그런 건 이제 아무래도\n상관없다.  나는 모두에게\n거짓말을 했다. 모두에게\n사산이라고 말한 변종 새끼는,\n지금 창고 구석에서 잠들어\n숨소리를 내고 있다.
-6	8	7	17	MENUBK	4585	그러므로 변경민의 무의미한\n반항에도  망설여선 안 된다.\n반항은 그저 무지\n탓이며,제국에는  그들을 보호할\n의무가 있다. 우리 군의 싸움은\n침략이 아니다.눈앞의  정에\n휘둘리지 말고 늘 대의를 갖고\n행동하기 바란다.
-7	8	7	17	MENUBK	4266	그런데도,그때 이해했던 것이,더\n이상  떠오르지 않는다.꿈속에서\n깨달았던 진리를  눈뜸과 동시에\n잊어버렸다…  그런 느낌이다.\n지금은 그저,가슴이\n답답하다.너무나도  큰 것을\n끌어안고,마음속이  소용돌이치고\n있다.
-7	8	7	17	MENUBK	3643	전력 소모가 메카니아  침공에\n영향을 준다고 판단한\n군사령부는,제2차 포획 부대\n전멸을  계기로 셸쿠프 포획\n작전을 무기한  연기.전 병력을\n침공에 투입 한 결과 9월 3일\n메카니아  연방은 제국의 속령이\n되었다.
-8	8	7	17	MENUBK	6679	구세기에서 탑은  「아렐\n세스트렌」,즉  「세스트렌의\n하의」라 불렸다. 모든 탑은\n세스트렌이 이 세상에  힘을\n미치기 위한 도구에 불과하며,\n세스트렌이 파괴되었을 때  탑은\n두 번 다시 깨어나지 않는 잠에\n든다.
-8	8	7	16	MENUBK	6526	버림받지 않은 인간의 손에\n의해 더러움 없는 세계가\n창조된 날이 태초일의 재현이\n된다. 신은 다시 세계 위에\n서서, 영광과 축복을 세계에\n가져온다. 그것은,끝없는\n하루이며, 우리에게 약속된\n구원이다.
-9	8	7	17	MENUBK	5639	타종 자율 구조체와의\n동조・제어. 복잡하고 거대한\n구조체와 동조하려면  그에\n비례해 고도의 사고 레벨이\n필요하다. 하지만 사고 레벨\n80 이상 개체의  생산은 자아\n발생 가능성이 극히  높아 전면\n금지돼 있다.
-9	8	7	17	MENUBK	5206	드래곤 하면,또 그 녀석을\n봤다.마을의 잿더미에서 라기를\n쳐서  떨어뜨렸던 또 한 마리의\n드래곤이다. 그 후로 이따금\n모습을 드러내지만 습격해  오는\n기색은 없다. 그 녀석도\n구세기의 배를 노리고  있는\n걸까?
-9	8	7	17	MENUBK	3734	모든 사람이,신의 뜻에 맞아,\n머나먼 동방의 은혜의 숲에 놓인\n날이  사람 세상의 종식의 날이\n된다. 사람 없는 사람의\n세상은,다시 무로 돌아가고,\n은혜의 숲에서 나온 모든\n사람이, 새로운 세계 창조를\n맡는다.
-10	8	7	16	MENUBK	6093	탑의 휴면 상태를 깨기\n위해,제2기갑  연대의 전\n공중전함 엔진에서  동력을\n끌어내어,외부 자극으로서\n썼다. 탑이 기동 준비 상태로\n이행하여,완전히\n부상하기까지는,12일간의 연속\n가동이 필요했다.
-11	8	7	17	MENUBK	3553	내가 어울리지 않게 이런 일기\n같은 걸 쓰기 시작한 것도 역시\n그 녀석 때문일지도 모른다.\n생각해보면 부모 대신이라며\n낯간지러운 소리도 여러 번\n했지만  딱히 부모다운 일은\n지금까지 아무것도 해준 게\n없다.
-12	8	7	17	MENUBK	7545	날아오르는 연습을 하려고 마을\n밖에 나가 있던 나만\n살아남았다. 이상하게 눈물은\n나오지 않았다. 눈앞에서 마을이\n불타는데도  그저 나쁜 꿈\n같았다. 오히려 그 뒤 일어난\n라기의  이변이 나를 두렵게\n했다.
-13	8	7	17	MENUBK	6299	제국력 71년 6월 10일\n새벽, 전장 2100리온에\n달하는 직육면체의\n비행물체가,공성생물이나 전함을\n동반하고  국경 방면으로 진행\n중임을, 메카니아 연방 영토\n내에 침입해 있던  탐색 부대가\n확인했다.
-14	8	7	17	MENUBK	6668	여행을 떠난 지\n3일째.카라반에게  물과 식량을\n나눠 받는다. 그 구세기\n기계(다들 「배」라고  부르는\n듯하다.메카니아가 발굴  했다고\n한다)의 행방도 들었다.\n아무래도 제국과의 국경지대로\n향하는 듯.
-14	8	7	17	MENUBK	6503	싸우는 동안,나는 라기와 하나가\n된 것 같았다.두려움은\n사라지고, 자신감과 사명감이\n온몸에 넘쳐흘렀다. 그것은 나\n자신의 의지였을까…아니면\n드래곤으로서의 라기의\n의지가,나를  움직이게 했을\n뿐이었을까.
-17	8	7	17	MENUBK	5415	메카니아 연방에서 온 사자가,\n다 자란 쿠리아를 사러 왔다.\n내 가도에 비싼 값이\n매겨졌는지, 오늘 식사는\n평소보다 많았다. 하지만\n죽임당한 변종 새끼의 뒷정리를\n했기에,먹을 마음이 들지\n않는다.
-18	8	7	17	MENUBK	6097	탑의 인양 성공을\n계기로,본격적인  조사가\n시작되었지만,기동에 필요한\n요소의 규명은 극히 곤란했다.\n외부 자극 실험도 계속\n이루어졌지만, 부상 이후,명확한\n반응은 확인할 수  없게 되어\n있었다.
