idx	kind	limit	over	jp	ko
10	ui	17	7	当然、メル=カヴァを落とすためには\nそのエンジンを壊せばいいわけだが、\nそこまでの道は「死の光を放つ番人」\n(これも言い伝えにある呼び方だ)に\nふさがれている。たぶん、自律型の\n砲台みたいなものだろう。	당연히,멜=카바를 격추하기 위해서는\n그 엔진을 파괴하면 되는 것이지만,\n그곳까지의 길은 「죽음의 빛을 뿜는 파수꾼」\n(이것도 전해지는 이야기 속 호칭이다)에게\n가로막혀 있다.아마,자율형\n포대 같은 것일 것이다.
11	ui	17	7	もし後世、志ある者がこの塔を目指す\nならば、それは必ずや困難な道のりと\nなるであろう。\nここに書き残す記録が、その者を導く\nしるべとなれば幸いである。	혹시 후세에 뜻있는 자가 이 탑을 찾는다면,\n그것은 반드시 험난한 길이\n될 것이다.\n여기에 남긴 기록이 그 자를 이끄는\n길잡이가 되길 바란다.
12	ui	17	7	この時、森林上空で新種の攻性生物が\n発見された。\n既存の攻性生物の体系のいずれにも\n属さないこの個体は、辺境の伝承から\n「ドラゴン」と命名され、調査のため\n別働隊が編成された。	이때,삼림 상공에서 신종 공성생물이\n발견되었다.\n기존 공성생물의 어떤 체계에도\n속하지 않는 이 개체는,변경의 전승에서\n따와 「드래곤」이라 명명되었으며,조사를 위해\n별동대가 편성되었다.
13	slot	18	7	神の使いは、神の街を守るべきだろう？	신의 사자라면 신의 도시를 지켜야 하지 않나?
14	slot	10	7	戦いに役立ちそうな物	싸움에 도움이 될 것 같은 물건
15	ui	12	6	禁止区域で戦った。\nこのドラゴンも、伝説と\n同じく、敵を追う光の矢を\n武器にしている。一度に\n数十本もの光の矢を放つ\n攻撃が、特に危険だ。	금지구역에서 싸웠다.\n이 드래곤도 전설과\n마찬가지로 적을 쫓는 빛의 화살을\n무기로 쓴다.한 번에\n수십 발의 빛의 화살을 쏘는\n공격이 특히 위험하다.
16	ui	17	6	掟を破るつもりはなかった。\nただ、殺せなかった。\nこいつの肩から生えている小さな翼が\n儀の心を捉えてしまったから。\n \nそう、こいつには翼があったのだ。	규율을 어길 생각은 없었다.\n다만,죽일 수 없었다.\n이 녀석의 어깨에서 돋아난 작은 날개가\n내 마음을 사로잡아 버렸기 때문에.\n \n그래,이 녀석에게는 날개가 있었던 것이다.
17	ui	17	6	我々の旅は、空の塔・シェルクーフを\nゲオルギウスに沈めることで終わり、\n力を使い果たした我が友は、肉体を\n捨てて深い眠りについた。\nそれが、再び生ある身体に目覚め、\n新たな乗り手として君を選んだという\nわけだ。	우리의 여행은,하늘의 탑・셸쿠프를\n게오르기우스에 가라앉힘으로써 끝났고,\n힘을 다 써버린 나의 벗은,육체를\n버리고 깊은 잠에 들었다.\n그것이,다시 생명이 있는 몸으로 눈을 떠,\n새로운 탑승자로서 너를 선택했다는\n것이다.
18	ui	16	6	変種は生まれ次第撃ち殺す。それが\n村の掟だ。変種は人になつかず\n売り物にならない。そして何より、\n不吉の象徴だった。\n…大人たちの間では。	변종은 태어나는 즉시 쏘아 죽인다.그것이\n마을의 규율이다.\n지금까지 몇 마리나\n그렇게 처리해 왔다.\n그런데도.
19	ui	16	6	原初の夕べ、\n神は、人にかけたのぞみを捨てた。\n神は、人の世を去り、\n神の知恵もまた人の魂から去った。\n人の作ったすべてのものと、\n人の壊したすべてのものが、\n人自身とともに打ち捨てられた。	태초의 저녁,\n신은 인간에게 걸었던 바람을 버렸다.\n신은 인간의 세상을 떠나고,\n신의 지혜 또한 인간의 영혼에서 떠났다.\n인간이 만든 모든 것과,\n인간이 부순 모든 것이,\n인간 자신과 함께 버려졌다.
20	ui	17	6	メル=カヴァの各部からは、光の\n粒子が吹き出している。俺が飛ばした\n記録機械の端末は、この粒子に\n触れたとたん破壊されてしまった。\nたとえドラゴンでも、粒子の流れに\nまともにぶつかれば、吹き飛ばされて\nしまうにちがいない。	멜=카바의 각 부위에서는 빛의\n입자가 뿜어져 나오고 있다.내가 날려 보낸\n기록 기계 단말은 이 입자에\n닿자마자 파괴되어 버렸다.\n설령 드래곤이라 해도 입자의 흐름에\n정면으로 부딪히면 날아가\n버리고 말 것이다.
21	ui	17	6	ドラゴンの力を求めるならば、\n人よ、神ののぞみにかなう者であれ。\n矢は、つねに争いの地に放たれる。\n殻は、つねによき人の守りとなる。\n翼は、つねによき道の上にはばたく。	드래곤의 힘을 원한다면,\n인간이여,신의 뜻에 부합하는 자가 되어라.\n화살은 늘 다툼의 땅에 쏘아진다.\n껍질은 늘 선한 이의 방패가 된다.\n날개는 늘 선한 길 위를 날갯짓한다.
22	ui	16	6	どうか、我が友に力を貸して、彼の\n目的を果たす手助けをしてほしい。\nそれは、旧世紀の意志から世界を\n解き放つことであり、ひいては\n君自身の上にも投げられた死の影を\n打ち払うことにもつながるのだ。	부디,나의 벗에게 힘을 빌려주어,그의\n목적을 이루는 데 도움을 주었으면 한다.\n그것은,구세기의 의지로부터 세상을\n해방시키는 것이며,나아가서는\n너 자신에게도 드리워진 죽음의 그림자를\n떨쳐내는 일로도 이어지는 것이다.
23	ui	17	6	「編み人」ギムトによる記録。\n\n以下に記すのは、ウル近辺で発掘した\n情報系構造体に収められていた記録の\n解読をまとめたものである。\nその内容は、ウルの北方に位置する\n『塔』の構造を示している。	「엮는 자」김토의 기록。\n\n이하에 기록하는 것은,우르 부근에서 발굴한\n정보계 구조체에 담겨 있던 기록을\n해독하여 정리한 것이다。\n그 내용은,우르의 북쪽에 위치한\n『탑』의 구조를 나타내고 있다。
24	ui	13	5	空中船のある広場にて待つ。\n日が落ちたら来い。    	공중선이 있는 광장에서 기다린다.\n해가 지면 오도록.
25	ui	18	5	現在までに倒した攻性生物(純血種)\n旧世紀の姿と性能を今も維持している種	지금까지 쓰러뜨린 공성생물(순혈종)\n구세기의 모습과 성능을 지금도 유지하는 종
26	ui	12	5	渓谷地帯で戦った。\n尻尾の先にある袋の力で\n空を飛んでいるらしい。\n頭部は、衝撃を吸収する\n皮膚でおおわれているので\n攻撃を受けつけない。\nだが、知能の方は、あまり\n高くはないようだ。	협곡지대에서 싸웠다.\n꼬리 끝에 있는 주머니의 힘으로\n하늘을 나는 듯하다.\n머리 부분은 충격을 흡수하는\n피부로 덮여 있어서\n공격이 통하지 않는다.\n하지만 지능 쪽은 그리\n높지 않은 듯하다.
27	ui	17	5	帝国暦89年2の月18日、\n帝都近海の海底に、微弱な動力反応が\n探知された。\n予備調査の結果、これは休眠状態の\n遣跡のもので、起動時の動力指数は\n帝国の保有するあらゆる遣跡のそれを\n凌駕しうると試算された。	제국력 89년 2월 18일,\n제도 근해의 해저에서,미약한 동력 반응이\n탐지되었다.\n예비 조사 결과,이는 휴면 상태의\n유적의 것으로,기동 시 동력 지수는\n제국이 보유한 모든 유적의 그것을\n능가할 수 있다고 시산되었다.
28	ui	17	5	外部防壁内の戦力が著しく消耗し、\n内部防壁内の戦力投入が不可欠と\n判断された時点で、第2種警戒態勢が\n発令される。\nただし、内部防壁の開放は、同時に\n司令塔への侵入を許すことになるので\n戦力運用は慎重に行わねばならない。	외부 방벽 내의 전력이 현저히 소모되어,\n내부 방벽 내의 전력 투입이 불가결하다고\n판단된 시점에서,제2종 경계 태세가\n발령된다.\n다만,내부 방벽의 개방은,동시에\n사령탑으로의 침입을 허용하게 되므로\n전력 운용은 신중히 행해야 한다.
29	ui	17	5	塔内部は5つの層に分かれているが、\nそれぞれは断絶しており、各々の層を\n行き来するためには、15階から成る\n外周部を通らなければならない。\n塔内部の移動経路は、以下のように\nなっている。	탑 내부는 5개의 층으로 나뉘어 있지만,\n각각은 단절돼 있어,각 층을\n오가기 위해서는,15층으로 이루어진\n외주부를 통과해야만 한다.\n탑 내부의 이동 경로는,다음과\n같이 돼 있다.
30	ui	16	5	塔の休眠状態を破るため、第2機甲\n連隊の全空中戦艦のエンジンから\n動力を引き出し、外部刺激として\n使用した。\n塔が起動準備状態に移行し、完全に\n浮上するまでには、12日間の連続\n稼動を要した。	탑의 휴면 상태를 깨기 위해,제2기갑\n연대의 전 공중전함 엔진에서\n동력을 끌어내어,외부 자극으로서\n썼다.\n탑이 기동 준비 상태로 이행하여,완전히\n부상하기까지는,12일간의 연속\n가동이 필요했다.
31	ui	17	5	原初日の終わり、\n神は、人を打ち捨てて世界を去った。\n人が互いに争い、\n神ののぞみからはずれたためである。\n以来、人はさばきを待つ身となり、\n死に至る道をよりよく歩むことが\nつとめとなった。	태초일의 끝,\n신은 인간을 버리고 세계를 떠났다.\n인간이 서로 다투며,\n신의 바람에서 벗어났기 때문이다.\n이후,인간은 심판을 기다리는 몸이 되어,\n죽음에 이르는 길을 더 잘 걷는 것이\n소임이 되었다.
32	ui	16	5	原初の昼、\n人は、世界を創造した。\nいかなる人の道具より強い道具と、\nいかなる人の火より熱い火が、\n万象にかたちを与えた。	태초의 낮,\n인간은 세계를 창조했다.\n그 어떤 인간의 도구보다 강한 도구와,\n그 어떤 인간의 불보다 뜨거운 불이,\n만물에 형태를 부여했다.
33	ui	12	5	ヴァルナ級空中戦艦の\n標準型。帝国領の外へ遠征\nするため、攻性生物をマヒ\nさせる特殊な弾薬を積んで\nいる。これを使われると、\n戦闘が長びくので不利だ。	바루나급 공중전함의\n표준형.제국령 밖으로 원정을\n가기 위해,공성생물을 마비시키는\n특수 탄약을 싣고\n있다.이걸 쓰이면\n전투가 길어져서 불리하다.
34	ui	17	5	ラギの姿も、何度も変身するうちに\nすっかり変わってしまった。光の矢の\n威力も格段に上がった。まさに伝説の\nドラゴンそのものだ。\nでも、心だけは、昔のままのラギだと\n信じたい。ラギだけが、ただひとつ\n儀に残されたものだから。	라기의 모습도 몇 번이고 변신하는 사이에\n완전히 변해버렸다.빛의 화살\n위력도 몰라보게 늘었다.그야말로 전설의\n드래곤 그 자체다.\n하지만 마음만은,예전 그대로의 라기라고\n믿고 싶다.라기만이,오직 하나\n나에게 남겨진 것이니까.
35	ui	17	5	ドラゴンといえば、また例の奴を\n見かけた。村の焼け跡でラギを叩き\n落とした、もう1頭のドラゴンだ。\nあれから時々姿を現すが、襲ってくる\n様子はない。\nあいつも、旧世紀のフネを目指して\nいるのだろうか？	드래곤 하면,또 그 녀석을\n봤다.마을의 잿더미에서 라기를 쳐서\n떨어뜨렸던 또 한 마리의 드래곤이다.\n그 후로 이따금 모습을 드러내지만 습격해\n오는 기색은 없다.\n그 녀석도 구세기의 배를 노리고\n있는 걸까?
36	ui	12	5	セストレンで戦った。\nなぜ、<01><01>と\n同じ姿なんだ？ 旧世紀の\n意志を守る敵の、真の姿が\nこれだというのか？\nだとすれば、儀の\n<01><01>は…？	세스트렌에서 싸웠다.\n어째서 <01><01>과\n같은 모습인가? 구세기의\n의지를 지키는 적의 진짜 모습이\n이것이라는 건가?\n그렇다면 나의\n<01><01>은…?
37	ui	17	5	シーカーは組織力が弱く、ハンターと\n同程度の武装しか有していないので、\n直接的な斉威とはならない。しかし、\n発掘物を所持している場合が多いので\n重火器の使用は控えるのが望ましい。	시커는 조직력이 약하고,헌터와\n비슷한 수준의 무장밖에 갖추지 않아,\n직접적인 위협은 되지 않는다.하지만\n발굴물을 소지하는 경우가 많으므로\n중화기 사용은 자제하는 것이 바람직하다.
38	ui	17	5	ゆえに、兵士諸君に要求されるのは、\nいかなる時も上官の命令に従い、\n恐慌に襲われることなく、冷静に\nそれを遂行することである。\nさすれば、敵の種類・規模の如何に\n関わらず確実に撃破できるであろう。	그러므로 병사 제군에게 요구되는 것은,\n어떠한 때에도 상관의 명령에 따라\n공황에 휩싸이지 않고,냉정하게\n그것을 수행하는 것이다.\n그리하면,적의 종류·규모 여하에\n관계없이 확실히 격파할 수 있을 것이다.
39	ui	17	5	まず、動力反応の上昇とともに、\n海中から大規模な攻性生物群が出現。\nさらに、外殻が展開し、1頭の\nドラゴンを収納したのち、完全起動\n状態に入った。	먼저,동력 반응 상승과 함께\n바닷속에서 대규모 공성생물 무리가 출현.\n이어서 외각이 전개되어 드래곤 한 마리를\n수납한 뒤 완전 기동\n상태에 들어갔다.
40	ui	17	5	なのに、あの時理解したことが、もう\n思い出せない。夢の中で悟った真理を\n目覚めとともに忘れてしまった…\nそんな感じだ。\n今はただ、胸が苦しい。あまりにも\n大きなものを抱え込んで、心の中が\n渦巻いている。	그런데도,그때 이해했던 것이,더 이상\n떠오르지 않는다.꿈속에서 깨달았던 진리를\n눈뜸과 동시에 잊어버렸다…\n그런 느낌이다.\n지금은 그저,가슴이 답답하다.너무나도\n큰 것을 끌어안고,마음속이\n소용돌이치고 있다.
41	ui	17	5	とっさに逃げ込んだ森の中には、村の\n焼け跡で見た巨大な攻性生物がいた。\nおそらく、旧世紀のフネと行動を\nともにしていたのだろう。\n徐々に、フネとの距離が縮まって\nいくのを感じる。	순간적으로 도망쳐 들어간 숲 속에는,마을\n잿더미에서 본 거대한 공성생물이 있었다.\n아마도,구세기의 배와 행동을\n함께하고 있었던 것이리라.\n서서히,배와의 거리가 좁혀져\n가는 것을 느낀다.
42	ui	17	5	でも、儀にとっては同じクーリアだ。\n変種の証である不思議な青白い光も、\n災いの前兆だなんて思えない。	하지만,나에게는 같은 쿨리아다.\n변종의 증거인 신비로운 푸르스름한 빛도,\n재앙의 전조라고는 생각되지 않는다.
43	ui	16	5	だがやつのいう金も むりをすれば\nはらえないがくじゃない。\nおれのからだも あといく年かは\nまともにはたらいてくれるだろう。	하지만 그놈이 말하는 돈도 무리를 하면\n못 낼 액수는 아니다.\n내 몸도 앞으로 몇 년쯤은\n제대로 일해 줄 거다.
44	ui	17	5	だが、ドラゴンの戦闘力は、現存する\n兵器をはるかに超えるものであった。\n建造中の試作兵器をも投入した深夜の\n戦闘は、捕獲部隊と発掘所の全滅と\nいう、最悪の結果に終わった。	하지만,드래곤의 전투력은,현존하는\n병기를 훨씬 뛰어넘는 것이었다.\n건조 중이던 시작 병기까지 투입한 심야의\n전투는,포획 부대와 발굴소의 전멸이라는\n최악의 결과로 끝났다.
45	ui	17	5	しかし、万象のなす災いは、\n絶え間なく人を殺し続け、\nさばき得る道を人に歩ませなかった。\nゆえに、神はドラゴンを創造して、\n人の世に放った。	하지만,만상이 이루는 재앙은,\n끊임없이 사람을 계속 죽이며,\n심판할 길을 사람에게 걷게 하지 않았다.\n그리하여,신은 드래곤을 창조하여,\n사람의 세상에 풀어놓았다.
46	ui	17	5	しかし、もう1頭のドラゴンの突入に\nよって、塔の動力は暴走、自爆して\n完全に消滅した。\nこの直前、塔に収納されたドラゴンが\n巨大化して、もう1頭と最後の戦闘を\n行ったという報告も存在するが、その\n真偽は不明である。	하지만,또 한 마리의 드래곤 돌입으로\n인해,탑의 동력은 폭주,자폭하여\n완전히 소멸했다.\n이 직전,탑에 수납된 드래곤이\n거대화하여,다른 한 마리와 마지막 전투를\n벌였다는 보고도 존재하지만,그\n진위는 불명이다.
47	ui	17	5	これ以上の戦力消耗は、メッカニア\n侵攻作戦に影響を与えると判断した\n軍司令部は、第2次捕獲部隊の全滅を\nもって、シェルクーフ捕獲作戦の無期\n延期を決定。全兵力を侵攻作戦に投入\nした結果、9の月3日、メッカニア\n連邦は、正式に帝国の属領となった。	더 이상의 전력 소모는,메카니아\n침공 작전에 영향을 줄 것으로 판단한\n군사령부는,제2차 포획 부대의 전멸을\n계기로,셸쿠프 포획 작전의 무기한\n연기를 결정.전 병력을 침공 작전에 투입\n한 결과,9월 3일,메카니아\n연방은,정식으로 제국의 속령이 되었다.
48	ui	17	5	いまだ文明の光を知らぬ辺境の民は、\n旧世紀の産物をいたずらに恐怖し、\n愚かな信仰の対象とするのみである。\nそれら地に埋もれた遣産を、正当なる\n維承者、すなわち皇帝陛下のもとに\nお返しするのが、我が軍に与えられた\n使命である。	아직 문명의 빛을 모르는 변경의 백성은,\n구세기의 산물을 공연히 두려워하며,\n어리석은 신앙의 대상으로 삼을 뿐이다.\n그 땅에 묻힌 유산을,정당한\n계승자,즉 황제 폐하께\n돌려드리는 것이,우리 군에게 주어진\n사명이다.
49	ui	16	5	「編み人」ザドクによる記録。\n\n旧世紀の支配者たちは、この世界の\n命を支え、それを斉かすであろう\n人間の数と力を抑えるため、各地に\n強力な管理機構を遣した。\nそれが『塔』である。	「엮는 자」자독의 기록。\n\n구세기의 지배자들은,이 세계의\n생명을 지탱하고,그것을 위협할\n인간의 수와 힘을 억제하기 위해,각지에\n강력한 관리 기구를 남겼다。\n그것이 『탑』이다。
50	slot	18	5	でも、今はその力に頼るしかないんだよ	하지만,지금은 그 힘에 의지할 수밖에 없어
51	ui	17	4	祈りの前に食物を□にした者、\n祈りの前に身を清めなかった者、\n日々の営みのけがれをまとったまま\n祈りを捧げた者、地上の燈火によって\n「護り火」をけがした者は、\nただちに守護地を去らねばならない。	기도 전에 음식을 □한 자,\n기도 전에 몸을 정결히 하지 않은 자,\n하루하루의 더러움을 두른 채\n기도를 올린 자,지상의 등불로\n「수호의 불」을 더럽힌 자는\n즉시 수호지를 떠나야 한다.
52	ui	18	4	現在までに倒した攻性生物(変異種)\n旧世紀の姿と性能を失い、野生化した種	지금까지 쓰러뜨린 공성생물(변이종)\n구세기의 모습과 성능을 잃고 야생화한 종
53	ui	17	4	時を同じくして、帝都東方97000\nリオンの地点にて、2頭のドラゴンが\n発見された。\n第9発掘所方面へ飛行中のドラゴンを\n捕獲するため、ただちに国境付近に\n捕獲部隊が展開された。	같은 시각,제도 동쪽 97000\n리온 지점에서 드래곤 두 마리가\n발견되었다.\n제9발굴소 방면으로 비행 중인 드래곤을\n포획하기 위해 즉시 국경 부근에\n포획부대가 전개되었다.
54	ui	17	4	旧世紀文明の力は、地上にはびこる\n攻性生物を駆逐し、再び人類を世界の\n主人とするために行使される。\n帝国の領土拡大は、より多くの遣跡や\nエンジンを確保するためであり、\nそれらは全て、攻性生物から人民を\n守るために有効利用されるのである。	구세기 문명의 힘은 지상에 창궐하는\n공성생물을 몰아내고 다시 인류를\n세계의 주인으로 만들기 위해 행사된다.\n제국의 영토 확장은 더 많은 유적과\n엔진을 확보하기 위함이며,\n그 모두는 공성생물로부터 인민을\n지키기 위해 유효 활용되는 것이다.
55	ui	12	4	数種の攻性生物が共生する\n群体のような奴だ。\nわれを忘れて、地上まで\n追って来たところを見ると\n地下にいた攻性生物たちの\n産みの親のような存在\nだったのかもしれない。	몇 종류의 공성생물이 공생하는\n군체 같은 놈이다.\n정신없이,지상까지\n쫓아온 것을 보면\n지하에 있던 공성생물들의\n어미 같은 존재\n였을지도 모른다.
56	ui	17	4	撤退した残存部隊の報告に基づいて\n編成された第2次捕獲部隊は、\nゲオルギウス付近でシェルクーフに\n遭遇、接触を図ったが、その表面に\n設置されていた雷撃兵器の集中攻撃を\n受け、全滅に至った。	철퇴한 잔존부대의 보고에 근거하여\n편성된 제2차 포획부대는,\n게오르기우스 부근에서 셸쿠프와\n조우,접촉을 시도했으나,그 표면에\n설치되어 있던 뇌격 병기의 집중 공격을\n받아,전멸에 이르렀다.
57	ui	17	4	我が軍の最大の目的は、旧世紀の禁断\n兵器『塔』を手中にすることにある。\n皇室伝承によれば、各地に点在する\n塔のそれぞれに、全世界を破壊して\nなお余りある能力が与えられていると\nいう。	우리 군의 최대 목적은,구세기의 금단\n병기 『탑』을 손에 넣는 것에 있다.\n황실 전승에 따르면,각지에 흩어져 있는\n탑 각각에는,전 세계를 파괴하고도\n남을 능력이 부여돼 있다고\n한다.
58	ui	17	4	慣例に基づき、予備調査によって得た\n情報を皇室伝承と比較したところ、\n当該遣跡は、旧世紀の禁断兵器\n『塔』のひとつであることが判明。\n皇帝陛下の動命により、全ての発掘\n作業は中断され、塔の再起動に全力が\n注がれることとなった。	관례에 따라,예비 조사로 얻은\n정보를 황실 전승과 비교한 결과,\n해당 유적은,구세기의 금단 병기\n『탑』중 하나임이 판명되었다.\n황제 폐하의 명에 의해,모든 발굴\n작업은 중단되었고,탑의 재기동에 전력이\n기울여지게 되었다.
59	ui	20	4	帝国軍空中艦隊駐屯地中ボス戦(ヴリトラ)	제국군 공중함대 주둔지 중간보스전(브리트라)
60	ui	11	4	帝国軍がゲオルギウスで\n発掘していたドラゴンが\nよみがえった姿。\n旧世紀の船を守るのが、\nその使命だったらしい。	제국군이 게오르기우스에서\n발굴하고 있던 드래곤이\n되살아난 모습.\n구세기의 배를 지키는 것이,\n그 사명이었던 듯하다.
61	ui	17	4	帝国暦71年6の月10日未明、\n全長2100リオンに及ぶ直方体の\n飛行物体が、攻性生物や戦艦を伴って\n国境方面に進行中であることを、\nメッカニア連邦領土内に侵入していた\n探索部隊が確認した。	제국력 71년 6월 10일 새벽,\n전장 2100리온에 달하는 직육면체의\n비행물체가,공성생물이나 전함을 동반하고\n국경 방면으로 진행 중임을,\n메카니아 연방 영토 내에 침입해 있던\n탐색 부대가 확인했다.
62	ui	17	4	守護地に生まれた人よ、心せよ。\nあなたの血は、さばきを経て選ばれた\nよき人につらなる。\nあなたの血は、終息日において、\n新たな創造の手となる人に流れる。	수호지에서 태어난 자여,명심하라.\n그대의 피는,심판을 거쳐 선택된\n선한 자에게 이어진다.\n그대의 피는,종식일에,\n새로운 창조의 손이 될 자에게 흐른다.
63	ui	17	4	奇跡的に生還した士官の証言によれば\nここでも全滅直前にドラゴンの姿が\n目撃されている。しかし、その外見は\n第1次捕獲部隊の報告にあるそれとは\n著しく異なっており、誤認ではないか\nとの見方もある。	기적적으로 생환한 사관의 증언에 따르면\n이곳에서도 전멸 직전에 드래곤의 모습이\n목격되었다.그러나,그 외견은\n제1차 포획부대의 보고에 있는 것과는\n현저히 달라서,오인이 아니냐는\n견해도 있다.
64	ui	12	4	塔による被害と新防衛構想	탑으로 인한 피해와 신방위구상
65	ui	17	4	国境地帯での戦に巻き込まれる。\n旧世紀の武器を使った戦は、今までの\nものとは全然違う。攻性生物のような\n乗り物が無数に空を飛び交い、それを\n撃ち落とそうとして、様々な色の光が\n天に放たれる。	국경 지대에서의 전투에 휘말린다.\n구세기의 무기를 쓴 전투는,지금까지의\n것과는 전혀 다르다.공성생물 같은\n탈것이 무수히 하늘을 날아다니고,그것을\n격추하려고,다양한 색의 빛이\n하늘에 뿜어진다.
66	ui	17	4	中間層には、外周部の構造を変える\n回転機構が存在する。\nこれを作動させると、外周部8階と\n9階が一部つなぎ変わり、移動可能な\n範囲が変化する。\n9階から8階、8階から6階に\n移る際には重要な場所となるだろう。	중간층에는 외주부의 구조를 바꾸는\n회전 기구가 존재한다.\n이것을 작동시키면 외주부 8층과\n9층이 일부 연결이 바뀌어,이동 가능한\n범위가 변화한다.\n9층에서 8층,8층에서 6층으로\n이동할 때 중요한 장소가 될 것이다.
67	ui	17	4	ドラゴンは、救いの手であり、\nまた、さばきの目である。\nドラゴンは、よき人を助けるために、\nまた、人の争いを絶つために、\n人の世の上を飛び、その力をふるう。	드래곤은 구원의 손길이며,\n또한 심판의 눈이다.\n드래곤은 선한 이를 돕기 위해,\n또한 인간의 다툼을 끊기 위해,\n인간 세상 위를 날며 그 힘을 떨친다.
