budget	need	why	jp	ko
100	105	예산	タイプ専用のバーサークは\nどれも有効に使えるが\nゲージ消費が大きいため\n使いどころを考えることが重要。	타입 전용 버서크는\n어느 것이든 유용하게 쓸 수 있지만\n게이지 소비가 크기 때문에\n사용할 때를 잘 생각하는 것이 중요.
17	22	예산	仲間を殺しすぎた	동료를 너무 많이 죽였어
39	44	예산	住民権をもらえるのは、まだまだ先ですね	주민권을 받을 수 있는 건 아직 한참 남았네요
17	22	예산	力を与えすぎた…	힘을 너무 많이 주었다…
29	34	예산	君に会いに来たのはその事だ…	자네를 만나러 온 건 그 일 때문이다…
31	36	예산	吸収させるな、次は自爆してくる	흡수당하게 하지 마라, 다음엔 자폭해 온다
9	14	예산	噂だ、噂	소문이야, 소문
11	16	예산	塔1進入可	탑1 진입 가능
15	20	예산	塔2中ボス戦A	탑2 중간 보스전 A
15	20	예산	塔2中ボス戦B	탑2 중간 보스전 B
11	16	예산	塔2進入可	탑2 진입 가능
27	32	예산	外との交流は不幸しか生まん	밖과의 교류는 불행밖에 낳지 않는다
29	34	예산	外の子供と一緒にされては困る	바깥 아이와 똑같이 취급받으면 곤란해
17	22	예산	大広間への鍵入手	대회당으로 가는 열쇠 입수
19	24	예산	奴はまだ死んでない	그 녀석은 아직 죽지 않았다
23	28	예산	尋うか、焼き払うか、だ	물을 것인가, 태워버릴 것인가, 다
15	20	예산	左舷に敵影確認	좌현에 적 그림자 확인
37	42	예산	感謝の心は、教会への寄付で示せばよい	감사의 마음은, 교회에 기부하는 것으로 나타내면 된다
17	22	예산	手紙…誰からだ？	편지… 누구에게서 온 거지?
21	26	예산	数千年間、いた場所だ	수천 년 동안, 있었던 곳이다
17	22	예산	発掘所上空進入可	발굴소 상공 진입 가능
13	18	예산	発掘所進入可	발굴소 진입 가능
33	38	예산	純血種ほど、その指令に忠実に動く	순혈종일수록 그 명령에 충실히 움직인다
9	14	예산	蒼の大玉	푸른 큰 구슬
13	18	예산	血統書つきだ	혈통서까지 딸려 있다고
29	34	예산	行こう、たぶん下に抜けられる	가자, 아마 아래로 빠져나갈 수 있을 거야
23	28	예산	重散弾砲で叩き落とすぞ	중산탄포로 두들겨 떨어뜨리겠다
15	20	예산	間に合うのか…	시간에 맞출 수 있을까…
19	24	예산	飛行甲板、換装完了	비행 갑판, 교체 완료
13	17	예산	謎の遣跡 1	수수께끼의 유적 1
13	17	예산	謎の遣跡 2	수수께끼의 유적 2
29	33	예산	(あのつぼは薬品入りらしい)	(저 항아리는 약품이 들어 있는 것 같다)
31	35	예산	一応、おまえと同業のつもりだよ	일단, 나도 너랑 같은 업종이라고 생각해
31	35	예산	(今日は特に調子がよさそうだ)	(오늘은 유난히 컨디션이 좋아 보인다)
27	31	예산	(倒す方法が別にあるのか)	(쓰러뜨리는 방법이 따로 있는 건가)
35	39	예산	(次はこいつに合う鍵穴探しだな…)	(다음은 이거에 맞는 열쇠 구멍을 찾는 거군…)
24	28	예산	<03><01>敵の右方向に移動せよ<03>	<03><01>적의 오른쪽 방향으로 이동하라<03>
25	29	예산	…何考えてんだ、あいつ？	…무슨 생각을 하는 거야, 그 녀석？
25	29	예산	ある物、いや人を探してる	어떤 물건, 아니 사람을 찾고 있어
33	37	예산	ここから下に抜けるのが一番近道よ	여기서 아래로 빠져나가는 게 가장 가까운 길이야
29	33	예산	そこを集中攻撃すれば倒せる！	거길 집중 공격하면 쓰러뜨릴 수 있어!
37	41	예산	それを邪魔する者は誰も近づけさせない	그것을 방해하는 자는 누구도 가까이 오지 못하게 한다
13	17	예산	だ、だめか…	아, 안 되는 건가…
33	37	예산	だがな、統治には伝説が必要なのだ	하지만 말이야, 통치에는 전설이 필요한 법이다
27	31	예산	なぜ、そうまでして奴を守る	어째서, 그렇게까지 해서 그놈을 지키는가
23	27	예산	なぜ、ドラゴンを操れる	어째서, 드래곤을 다룰 수 있는가
21	25	예산	ま、少し待てばわかる	뭐, 조금 기다리면 알게 돼
19	23	예산	ウル地下遣跡進入可	울 지하 유적 진입 가능
17	21	예산	ガリル砂漠進入可	갈릴 사막 진입 가능
21	25	예산	ゾアの森中ボスA弱り	조아의 숲 중간보스A 약화
21	25	예산	ゾアの森中ボスB弱り	조아의 숲 중간보스B 약화
21	25	예산	ゾアの森中ボスC弱り	조아의 숲 중간보스C 약화
21	25	예산	ゾアの森中ボスD弱り	조아의 숲 중간보스D 약화
21	25	예산	ゾアの森中ボスE弱り	조아의 숲 중간보스E 약화
21	25	예산	ゾアの森中ボスF弱り	조아의 숲 중간보스F 약화
21	25	예산	ゾアの森中ボスG弱り	조아의 숲 중간보스G 약화
21	25	예산	ゾアの森中ボスH弱り	조아의 숲 중간보스H 약화
35	39	예산	ハンターの仕事は、いつも命がけだ…	헌터의 일이란 건 항상 목숨을 걸어야 해…
6	10	예산	マシさ	그나마 낫지
35	39	예산	世界管理の意志を無に還す鍵だという	세계 관리의 의지를 무로 되돌리는 열쇠라고 한다
7	11	예산	串刺し	관통 찌르기
25	29	예산	今じゃ、何もかも湖の底よ	지금은 모든 게 호수 밑바닥이야
83	87	예산	位置取りは、敵に対して\n方向ボタンで左方向か右方向に\n90度ずつ回り込むことで行う。	위치 선정은 적에 대해\n방향 버튼으로 좌측 혹은 우측으로\n90도씩 돌아 들어가는 방식으로 이루어진다.
21	25	예산	俺達の手には負えん！	우리 손으로는 감당이 안 돼！
57	61	예산	先の3つは微妙な調整に対応し\n後の2つは後述の「<03>\nタイプ<03>	앞의 3개는 미묘한 조정에 대응하며\n뒤의 2개는 후술할 「<03>\n타입<03>
21	25	예산	全てが仕組まれたのだ	모든 것이 짜여 있었던 거야
25	29	예산	全ての塔を統べる魂の器…	모든 탑을 다스리는 영혼의 그릇…
23	27	예산	再充填に少しかかります	재충전에 시간이 조금 걸립니다
9	13	예산	右腕マヒ	오른팔 마비
15	19	예산	右舷に敵影確認	우현에 적 그림자 확인
19	23	예산	各機とも油断するな	모든 기체 방심하지 마라
21	25	예산	君に見せたい物がある	자네에게 보여주고 싶은 게 있어
31	35	예산	塔の底部から高速飛行物体接近中	탑 하부에서 고속 비행 물체 접근 중
25	29	예산	塔をめぐる、でかい戦がな	탑을 둘러싼, 큰 싸움이 있었지
37	41	예산	外界との交易は、必要悪だと思いますが	외부 세계와의 교역은, 필요악이라고 생각합니다만
31	35	예산	夜になると街を照らす光のことさ	밤이 되면 도시를 비추는 빛을 말하는 거야
25	29	예산	奴らはここで突然変異した	그놈들은 여기서 돌연변이를 일으켰다
35	39	예산	完全に破壊するしかない、できるか？	완전히 파괴하는 수밖에 없다, 할 수 있겠나?
17	21	예산	左舷護衛艦隊壊滅	좌현 호위 함대 궤멸
13	17	예산	抜け穴って？	빠져나갈 구멍이라니?
17	21	예산	明朝、ここを出る	내일 아침 여기서 떠난다
23	27	예산	皇帝砲、次弾装填完了！	황제포, 다음 탄 장전 완료!
25	29	예산	皇帝砲発射準備整いました	황제포 발사 준비 완료됐습니다
12	16	예산	砂漠<05>抜け穴	사막<05>빠져나가는 굴
5	9	예산	鉤爪	갈고리발톱
13	16	예산	現在閉鎖中…	현재 폐쇄 중…
6	9	예산	<16>え方	<16>넘는 법
35	38	예산	でも、こんな物どこに持ってたんだ？	근데, 이런 걸 어디에 갖고 있었던 거야？
7	10	예산	碧の玉	푸른 구슬
17	20	예산	通路遣跡への入□	통로 유적으로 가는 입구
13	16	예산	里の外に出る	마을 밖으로 나간다
42	45	예산	                 <03><01>記録<03>	                   <03><01>기록<03>
37	40	예산	(香木が立ててある…古い物ばかりだ)	(향목이 세워져 있다… 죄다 오래된 것뿐이다)
19	22	예산	なんだ、まだダメか	뭐야, 아직 안 되는 거야
26	29	예산	な思いはしたくないからな…	그런 기분은 느끼고 싶지 않으니까…
17	20	예산	各艦の健闘を祈る	각 함의 건투를 빈다
31	34	예산	女っ気がねえと客足が鈍るからな	여자 손이 없으면 손님 발길이 뜸해지니까
29	32	예산	実は、当分返せそうにねえんだ	실은, 당분간 갚을 수 없을 것 같아
7	10	예산	熱の息	열의 숨결
33	36	예산	評議会も、その辺を考えてほしいね	평의회도 그 부분을 좀 생각해줬으면 좋겠어
39	42	예산	近所の爺さんが、銃の修理を頼んできてね	근처에 사는 할아버지가 총 수리를 부탁해와서 말이야
19	22	예산	逃げたりしないから	도망치거나 하지 않을 테니까
33	36	예산	(どれも長い間使ってないらしい)	(어느 것이나 오랫동안 사용하지 않은 듯하다)
33	36	예산	(天井に物を吊るのに使うらしい)	(천장에 물건을 매다는 데 쓰는 모양이다)
33	36	예산	(旧世紀の銃！ まだ使えそうだ)	(구세기의 총！ 아직 쓸 수 있을 것 같다)
27	30	예산	(箱の中身は衣類のようだ)	(상자 안의 내용물은 옷가지인 것 같다)
16	19	예산	)当やばい男だぜ	)상당히 위험한 남자야
16	19	예산	<0D>方知ってるか？	<0D> 방법 알고 있냐？
6	9	예산	<0F>しな	<0F>이고 말이지
33	36	예산	…この船で、街を出る気はないの？	…이 배로, 마을을 떠날 생각은 없는 거야？
35	38	예산	あのデカブツだけは俺達の手に負えん	그 덩치 큰 놈만은 우리 손으로는 못 당해
23	26	예산	あんたの探してる人って	당신이 찾고 있는 사람이란 게
17	20	예산	いつでもいけます	언제든 갈 수 있습니다
39	42	예산	おまえ達が攻性生物と呼ぶ奴らも大差ない	너희들이 공성 생물이라 부르는 놈들도 별 차이 없어
35	38	예산	ここ…最初来た時には通らなかった…	여기… 처음 왔을 때는 지나갈 수 없었는데…
35	38	예산	これで、地上に出られるゲートが開く	이걸로, 지상으로 나갈 수 있는 게이트가 열린다
39	42	예산	それにあんたには聞きたい事が山ほどある	게다가 당신한테 묻고 싶은 게 산더미처럼 있어
25	28	예산	だが、私はよそ者は好かん	하지만, 나는 외지인은 좋아하지 않는다
11	14	예산	だめか…！	안 되는 건가…!
11	14	예산	なぜ来た…	어째서 온 거야…
20	23	예산	の子の薬が作れるぞ！	그 아이 약을 만들 수 있어!
10	13	예산	の通り道さ	이 지나는 길이야
25	28	예산	ひるむな！ まだいける！	겁먹지 마! 아직 할 수 있어!
19	22	예산	ゆっくり休むといい	천천히 쉬는 게 좋겠어
25	28	예산	よそじゃ飲めねえ代物だぜ	다른 데선 못 마시는 물건이라고
11	14	예산	ウル進入可	울 진입 가능
19	22	예산	カイナスの村進入可	카이나스 마을 진입 가능
35	38	예산	クレイメンが守ろうとした全ての源…	클레이멘이 지키려 했던 모든 것의 근원…
27	30	예산	ツァスタバ、ザコにかまうな	차스타바, 잡졸 신경 쓰지 마
23	26	예산	ドラゴンのなれの果てさ	드래곤이 변해 버린 모습이야
25	28	예산	ドラゴンの力を使えるのだ	드래곤의 힘을 쓸 수 있는 것이다
39	42	예산	ドームゲートキーはたぶんその坂の途中だ	돔 게이트 키는 아마 그 언덕 도중에 있을 거야
6	9	예산	ンの話	ン의 이야기
23	26	예산	信号弾射出地点付近です	신호탄 발사 지점 부근입니다
101	104	예산	光学耐性の敵には効果が弱い。\n光学耐性の敵に銃を向けると\n<03>\nANTI LASER\n(アンチ レーザー)<03>	광학 내성이 있는 적에게는 효과가 약하다.\n광학 내성이 있는 적에게 총을 겨누면\n<03>\nANTI LASER\n(안티 레이저)<03>
29	32	예산	全てはこいつを破壊するためだ	모든 것은 이 녀석을 파괴하기 위해서다
7	10	예산	共食い	동족 포식
29	32	예산	出力低下、高度を保てません！	출력 저하, 고도를 유지할 수 없습니다！
25	28	예산	動いてる奴なんか、特にね	움직이는 녀석 같은 건, 특히나
23	26	예산	南部水没遣跡群への出□	남부 수몰 유적군으로 가는 출구
31	34	예산	古の時代の謎に迫ろうとしていた	태고 시대의 수수께끼에 다가서려 하고 있었다
29	32	예산	君に託されるべきものだからだ	자네에게 맡겨져야 할 것이기 때문이다
23	26	예산	地下3階 西へのゲート	지하 3층 서쪽으로 가는 게이트
33	36	예산	地下にある、ばかでかい遣跡の跡だ	지하에 있는, 어마어마하게 큰 유적의 흔적이다
27	30	예산	塔と同調するための、特別製	탑과 동조하기 위한, 특별 제작품
15	18	예산	塔をめぐる戦…	탑을 둘러싼 싸움…
7	10	예산	増強粉	증강 가루
31	34	예산	完全に街を牛耳った気でいやがる	완전히 마을을 손아귀에 넣은 기분이겠지
17	20	예산	対空迎撃準備完了	대공 요격 준비 완료
35	38	예산	帝国と同じく旧世紀の力を手に入れた	제국과 마찬가지로 구세기의 힘을 손에 넣었다
13	16	예산	帝国軍人心得	제국 군인 마음가짐
27	30	예산	帝国軍空中艦隊駐屯地進入可	제국군 공중함대 주둔지 진입 가능
13	16	예산	弾頭信管作動	탄두 신관 작동
31	34	예산	彼と同じ、ドラゴン乗りの君にな	그와 같은, 드래곤 라이더인 너에게 말이지
35	38	예산	我々人類の輝かしい未来への扉をな！	우리 인류의 빛나는 미래로 향하는 문을 말이지!
33	36	예산	戦いにまぎれて、彼女は姿を消した	싸움 속에 섞여, 그녀는 모습을 감췄다
148	151	예산	掟を破るつもりはなかった。\nただ、殺せなかった。\nこいつの肩から生えている小さな翼が\n儀の心を捉えてしまったから。\n \nそう、こいつには翼があったのだ。	규율을 어길 생각은 없었다.\n다만, 죽일 수 없었다.\n이 녀석의 어깨에서 돋아난 작은 날개가\n내 마음을 사로잡아 버렸기 때문에.\n \n그래, 이 녀석에게는 날개가 있었던 것이다.
29	32	예산	数百年以上の時を要するだろう	수백 년 이상의 시간이 필요할 것이다
11	14	예산	新手か！！	새로운 놈인가!!
29	32	예산	構造体の生命形態、判別不能…	구조체의 생명 형태, 판별 불능…
9	12	예산	永遠にな	영원히 말이지
105	108	예산	渓谷地帯で戦った。\n背中を見せない限り襲って\nこないし、動きも遅い。\n油断さえしなければ確実に\n倒せる敵だ。	협곡지대에서 싸웠다.\n등을 보이지 않는 한 습격해\n오지 않고 움직임도 느리다.\n방심하지만 않으면 확실히\n쓰러뜨릴 수 있는 적이다.
15	18	예산	渓谷地帯進入可	협곡지대 진입 가능
11	14	예산	滝裏の洞穴	폭포 뒤 동굴
29	32	예산	目標発見、対空誘導弾発射準備	목표 발견, 대공유도탄 발사 준비
29	32	예산	砲塔部、リアクター順調作動中	포탑부, 리액터 순조롭게 작동 중
15	18	예산	禁止区域進入可	금지구역 진입 가능
21	24	예산	私に礼を言う事はない	나한테 고마워할 필요 없다
7	10	예산	蒼の玉	푸른 구슬
11	14	예산	街を出る？	마을을 떠난다고?
35	38	예산	辺境のある地域を制圧する命令が出た	변경의 한 지역을 제압하라는 명령이 떨어졌다
33	36	예산	重散弾砲充填完了、出力開放します	중산탄포 충전 완료, 출력 개방합니다
17	20	예산	飛行甲板異常なし	비행 갑판 이상 없음
27	30	예산	駐屯地、本読んでの台詞変化	주둔지, 책 읽은 뒤 대사 변화
5	8	예산	鱗粉	비늘가루
11	13	예산	教会への道	교회로 가는 길
11	13	예산	通路への道	통로로 가는 길
9	11	예산	外に出る	밖으로 나간다
9	11	예산	中に入る	안으로 들어간다
11	13	예산	朝まで待つ	아침까지 기다린다
9	11	예산	払わない	지불하지 않는다
27	29	예산	(妙に身なりのいい奴だ…)	(묘하게 차림새가 좋은 녀석이다…)
9	11	예산	街を出る	마을을 나간다
31	33	예산	(どうやら今は入れないらしい)	(아무래도 지금은 들어갈 수 없는 것 같다)
27	29	예산	(ダメだ、何も残ってない)	(안 되겠다, 아무것도 남지 않았다)
27	29	예산	(中身も他と違うのかな？)	(내용물도 다른 것과 다른 걸까?)
21	23	예산	(食器の入った棚だ)	(식기가 들어 있는 선반이다)
17	19	예산	まだなんか用か？	아직 뭔 볼일 있어？
9	11	예산	今のは…	방금 그건…
35	37	예산	仕事が欲しいなら、他をあたるがいい	일이 필요하면 다른 곳을 알아보는 게 좋아
7	9	예산	値切る	값을 깎다
11	13	예산	発掘所周辺	발굴소 주변
37	39	예산	神聖区の住民権を得るための近道はね…	신성구의 주민권을 얻기 위한 지름길은 말이야…
25	27	예산	空中船で脱出できたんでね	공중선으로 탈출할 수 있었거든
23	25	예산	誘導爆雷艦カラ＆護衛機	유도폭뢰함 카라 & 호위기
9	11	예산	説明終了	설명 종료
17	19	예산	重散弾砲出力上昇	중산탄포 출력 상승
29	31	예산	(どれも手が加えてあるな…)	(어느 것이나 손을 댄 흔적이 있군…)
33	35	예산	(中が空洞になってる…通れるな)	(속이 텅 비어 있다… 지나갈 수 있겠군)
27	29	예산	(仲間の所に戻ったのかな)	(동료가 있는 곳으로 돌아간 걸까)
21	23	예산	(何かの鍵らしいが)	(뭔가의 열쇠인 것 같은데)
21	23	예산	(何も起こらない…)	(아무 일도 일어나지 않는다…)
29	31	예산	(戦い方がまずかったかな…)	(싸우는 방식이 안 좋았던 걸까…)
29	31	예산	(木の実や種が入ったかごだ)	(나무 열매와 씨앗이 든 바구니다)
37	39	예산	(渓谷で拾った銃に目をとめたようだ)	(협곡에서 주운 총에 눈길이 간 모양이다)
25	27	예산	(遠出の時に使う水袋だ)	(외출할 때 쓰는 물주머니다)
21	23	예산	(門番の詰所らしい)	(문지기의 초소인 모양이다)
37	39	예산	(風がやまない限り先には行けないな)	(바람이 멈추지 않는 한 앞으로 갈 수 없군)
37	39	예산	(香木が立ててある…古い物が多いな)	(향목이 세워져 있다… 오래된 물건이 많군)
19	21	예산	10000Dnで売る	10000Dn에 팔다
13	15	예산	118街消滅	118거리 소멸
15	17	예산	150塔再潜入	150탑 재잠입
27	29	예산	153セストレンへ、塔爆破	153 세스트렌으로, 탑 폭파
15	17	예산	500Dnで買う	500Dn에 산다
15	17	예산	800Dnで買う	800Dn에 산다
17	19	예산	9000Dnで売る	9000Dn에 판다
16	18	예산	<03>\n特0号噴進弾<03>	<03>\n특0호 분진탄<03>
10	12	예산	<0D>るらしい	<0D>하는 모양이다
6	8	예산	<1E>るな	<1E>하지 마
10	12	예산	<1F>連続攻撃	<1F> 연속 공격
15	17	예산	BPが少し回復	BP가 조금 회복
19	21	예산	HPとBPは最大値	HP와 BP는 최대치
27	29	예산	ああ、何十年も前の話だがな	아아, 벌써 수십 년 전 이야기지만
19	21	예산	あなたの方にこそ…	오히려 당신 쪽이야말로…
19	21	예산	ここにはそれっきり	여기까지 오고는 그걸로 끝
23	25	예산	ここにはもう用はない…	여기서는 더 이상 볼일이 없다…
39	41	예산	この倉庫の蓄えも、徐々に減り始めている	이 창고의 비축분도, 조금씩 줄어들기 시작했어
31	33	예산	この村にいた仲間が残した遣言さ	이 마을에 있던 동료가 남긴 유언이야
29	31	예산	これで何とか砂漠が越えられる	이걸로 어떻게든 사막을 넘을 수 있어
29	31	예산	これで終わらせる…悪く思うな	이걸로 끝내겠어… 나쁘게 생각하지 마
23	25	예산	これより迎撃戦闘に入る	지금부터 요격 전투에 들어간다
13	15	예산	しかない！)	할 수밖에 없어!)
39	41	예산	それからも、何度も死ぬような目にあった	그 후로도, 몇 번이나 죽을 뻔한 일을 겪었다
35	37	예산	ただ、誰が敵か気づいてほしいだけだ	다만, 누가 적인지 깨달아 줬으면 할 뿐이다
23	25	예산	ただの殺殲兵器にすぎん	그저 살육 병기에 지나지 않는다
23	25	예산	だが、俺は体が弱くてな	하지만, 나는 몸이 약해서 말이지
25	27	예산	で、どう進む？ これから	그래서, 어떻게 진행할까? 앞으로
13	15	예산	できるはずだ	할 수 있을 것이다
35	37	예산	どうやら、俺達の旅はまだ続きそうだ	아무래도, 우리들의 여행은 아직 계속될 것 같다
23	25	예산	ならなかっただろうがね	그렇게 되지는 않았겠지만 말이야
4	6	예산	のは	인 건
4	6	예산	ほゆ<09>	호유<09>
15	17	예산	ほら、こいつさ	이거 봐, 이거 말이야
17	19	예산	まわりを1周する	주위를 한 바퀴 돈다
39	41	예산	やむをえん、試作段階だがヴリトラをだす	어쩔 수 없다, 시작 단계지만 브리트라를 내놓겠다
29	31	예산	エッジ、赤い奴が群れのボスだ	엣지, 빨간 녀석이 무리의 우두머리야
27	29	예산	カラ級誘導爆雷艦、沈没確認	카라급 유도폭뢰함, 침몰 확인
15	17	예산	クレイメンめ…	클레이멘 이 자식…
19	21	예산	シーカーの里進入可	시커의 마을 진입 가능
17	19	예산	セストレン進入可	세스트렌 진입 가능
27	29	예산	ダメです、噴射弾急速接近…	안 됩니다, 분사탄 급속 접근…
21	23	예산	ドラゴン遣跡の鍵入手	드래곤 유적의 열쇠 입수
7	9	예산	マヒ中	마비 중
29	31	예산	ローダには近づかんでもらおう	로다한테는 가까이 가지 말아 줬으면 하는군
31	33	예산	一人で戦って勝てる相手ではない	혼자 싸워서 이길 수 있는 상대가 아니다
15	17	예산	一度道を下ると	한 번 길을 내려가면
27	29	예산	世界を人の手に返そうとした	세계를 인간의 손에 되돌리려 했다
27	29	예산	世界を破滅から守るためのね	세계를 파멸로부터 지키기 위한 거지
27	29	예산	両者の長い戦いの時が過ぎて	양자의 오랜 싸움의 시간이 지나고
15	17	예산	主砲、発射準備	주포, 발사 준비
17	19	예산	了解、健闘を祈る	알겠다, 건투를 빈다
17	19	예산	人々を歓喜させた	사람들을 환희하게 했다
27	29	예산	今は君に期待するしかない…	지금은 너한테 기대할 수밖에 없다…
37	39	예산	倒せば昇進も間違いないぞ、攻撃開始！	쓰러뜨리면 승진도 따논 당상이다, 공격 개시！
19	21	예산	光粒子炉融合20％	광입자로 융합 20％
19	21	예산	光粒子炉融合50％	광입자로 융합 50％
19	21	예산	光粒子炉融合90％	광입자로 융합 90％
29	31	예산	全ての塔は、一瞬で死に絶える	모든 탑은, 한순간에 죽어 사라진다
13	15	예산	具合はどう？	몸 상태는 어때？
9	11	예산	別に何も	딱히 아무것도
15	17	예산	前方銃座、開け	전방 총좌, 열어라
27	29	예산	力が目覚めたから、わかるの	힘이 눈뜬 덕분에, 알 수 있어
31	33	예산	加速最終局面、噴進弾射出します	가속 최종 단계, 분진탄 사출합니다
21	23	예산	各機、遅れをとるな！	각 기체, 뒤처지지 마라！
17	19	예산	各隊とも後に続け	각 부대는 뒤를 따르라
27	29	예산	命を捨てに行くようなもんだ	목숨을 버리러 가는 거나 마찬가지다
21	23	예산	地下2階 へのゲート	지하 2층 으로 가는 게이트
35	37	예산	塔の破壊を目指す、唯一の個体なのだ	탑의 파괴를 목표로 하는, 유일한 개체다
39	41	예산	塔や攻性生物を含む、この世界の全てが…	탑이나 공성생물을 포함한, 이 세계의 모든 것이…
21	23	예산	奴は仲間を成長させる	그 녀석은 동료를 성장시킨다
37	39	예산	奴は撃った方向に確実に反撃してくるぞ	그 녀석은 쏜 방향으로 확실히 반격해 온다
23	25	예산	奴らは巣からは離れない	그놈들은 둥지에서 떨어지지 않는다
35	37	예산	奴らは谷にそって…北へ向かってる…	그놈들은 계곡을 따라… 북쪽으로 향하고 있다…
9	11	예산	実はな…	사실은 말이지…
15	17	예산	実を言うとさ…	사실을 말하자면 말이야…
9	11	예산	左腕マヒ	왼팔 마비
23	25	예산	帝国軍の最後の切り札、	제국군의 마지막 비장의 카드,
37	39	예산	帝都の作戦も順調に進行中です…しかし	제도의 작전도 순조롭게 진행 중입니다… 하지만
9	11	예산	幼体放出	유체 방출
17	19	예산	彼らは手に入る力	그들이 손에 넣은 힘은
11	13	예산	復旧急げ！	복구를 서둘러라!
35	37	예산	悪い悪い、空飛んだの初めてだからさ	미안 미안, 하늘을 나는 게 처음이라서 말이야
25	27	예산	情報を伝える術を知ってる	정보를 전달하는 방법을 알고 있다
27	29	예산	愚か者め…私は囮にすぎん…	어리석은 놈… 나는 미끼에 불과해…
23	25	예산	攻性生物よけの風網か！	공성생물을 막는 바람 그물인가!
