file	offset	len	jp	ko
TWN_E021.PRG	001923	2	？	？
TWN_E021.PRG	008D4F	2	？	？
TWN_E022.PRG	008467	2	？	？
TWN_EXCA.PRG	009BF7	2	？	？
TWN_JIRI.PRG	00848F	2	？	？
TWN_RUIN.PRG	008E03	2	？	？
TWN_SEEK.PRG	008D3A	2	！	！
TWN_SEEK.PRG	00D64F	2	…	…
TWN_SEEK.PRG	016065	2	る	る
TWN_SEEK.PRG	017DB2	6	………	………
TWN_SEEK.PRG	02196F	2	？	？
TWN_ZOAH.PRG	00F0F4	2	)	)
TWN_ZOAH.PRG	019515	2	？	？
TWN_ZOAH.PRG	01C6F0	2	？	？
TWN_ZOAH.PRG	01D1B0	2	？	？
TWN_ZOAH.PRG	022D91	2	？	？
TWN_ZOAH.PRG	022F6F	2	？	？
TWN_ZOAH.PRG	02F22E	2	！	！
TWN_ZOAH.PRG	02F262	2	！	！
TWN_ZOAH.PRG	02FC38	2	…	…
TWN_ZOAH.PRG	0331FA	4	？)	？)
TWN_ZOAH.PRG	0339F0	2	？	？
TWN_ZOAH.PRG	036F85	20	(道を聞いてみよう)	(길을 물어보자)
TWN_ZOAH.PRG	03B3CC	2	…	…
TWN_ZOAH.PRG	03B5FD	2	…	…
TWN_ZOAH.PRG	03BACB	8	…………	…………
TWN_ZOAH.PRG	03E8D0	2	…	…
TWN_ZOAH.PRG	046F37	2	？	？
TWN_ZOAH.PRG	05486A	2	コ	コ
TWN_ZOAH.PRG	054FFA	2	EXP	EXP
TWN_ZOAH.PRG	056A86	2	ー	
