i	budget	need	jp	ko
38	0	0	(シーカーが独自に作った物らしい)	(시커가 독자적으로 만든 물건인 것 같다)
39	0	0	(ザアルの実か…確かに高価なものだ)	(자알의 열매인가…확실히 값비싼 물건이다)
40	0	0	(クーリアのフンを固めた燃料の火だ)	(쿠리아의 똥을 굳혀 만든 연료의 불이다)
41	0	0	(ん？ よく見るとまだ何か残ってるぞ)	(음? 자세히 보니 아직 뭔가 남아 있어)
42	0	0	(まだ光の粒子が吐き出されてる！)	(아직 빛의 입자가 뿜어져 나오고 있어!)
43	0	0	(しかも、全部手書きの写本らしい)	(게다가 전부 손으로 쓴 사본인 것 같다)
44	0	0	(これ以上話をする気はないらしい)	(더 이상 이야기할 생각은 없는 모양이다)
45	0	0	(これでこの遣跡の封印が1つ解けた、)	(이걸로 이 유적의 봉인이 하나 풀렸다,)
46	0	0	(これが、旅で使う水袋になるんだな)	(이것이,여행에 쓸 물주머니가 되는 거군)
47	0	0	(ここ以外に森の中へは入れないな)	(여기 말고는 숲 속으로 들어갈 수 없군)
48	0	0	(ここを越えては行けそうにないな…)	(여기를 넘어서는 갈 수 없을 것 같군…)
49	0	0	(ここに来た人が立てていくのかな…)	(여기에 온 사람이 세워놓고 가는 걸까…)
50	0	0	(あの部屋には食料が蓄えてあるらしい)	(저 방에는 식량이 비축되어 있는 듯하다)
51	0	0	(あの強力なバリアを何とかしないと！)	(저 강력한 배리어를 어떻게든 해야 해!)
52	0	0	(あの子の名は…確かローダといったな)	(저 아이의 이름은…분명 로다라고 했었지)
53	0	0	(あのつぼには薬品が入っているらしい)	(저 항아리에는 약품이 들어있는 모양이다)
54	0	0	(…ここと崖をつないで通れれば、)	(…여기와 절벽을 이어 지날 수 있다면,)
55	0	0	(香木が立ててある…古い物が多いな)	(향목이 세워져 있다… 오래된 게 많군)
56	0	0	(飾りの後ろに、木の像が並んでいる)	(장식 뒤로 나무 조각상이 늘어서 있다)
57	0	0	(風がやまない限り先には行けないな)	(바람이 멎지 않는 한 앞으로 못 간다)
58	0	0	(錠前がついている…開けるのは無理だ)	(자물쇠가 달려 있다… 여는 건 무리다)
59	0	0	(祭壇に銃を飾るための台座だ…)	(제단에 총을 장식하기 위한 받침대다…)
60	0	0	(物が多すぎるな…もっと減らさないと)	(물건이 너무 많군… 좀 더 줄여야겠다)
61	0	0	(滝を見ていると吸い込まれそうだ…)	(폭포를 보고 있으면 빨려들 것 같다…)
62	0	0	(渓谷で拾った銃に目をとめたようだ)	(협곡에서 주운 총에 눈길이 간 듯하다)
63	0	0	(気のせいか、いつもより元気がいいな)	(기분 탓인지 평소보다 활기차 보이는군)
64	0	0	(死体から、光る石がこぼれ落ちている)	(시체에서 빛나는 돌이 흘러나오고 있다)
65	0	0	(横にあるロックを外すのが先か…)	(옆에 있는 잠금장치부터 풀어야 하나…)
66	0	0	(森からは、こんな物がとれるのか…)	(숲에서 이런 걸 얻을 수 있는 건가…)
67	0	0	(棚の中に香料のつぼがしまってある)	(선반 안에 향료 단지가 보관되어 있다)
68	0	0	(棚の中に酒のつぼがしまってある)	(선반 안에 술 항아리가 보관되어 있다)
69	0	0	(棚の中に薬のつぼがしまってある)	(선반 안에 약 항아리가 보관되어 있다)
70	0	0	(棚の中に油のつぼがしまってある)	(선반 안에 기름 단지가 보관되어 있다)
71	0	0	(木が育つほど土が肥えているのか…)	(나무가 자랄 만큼 흙이 비옥한 걸까…)
72	0	0	(暖炉の中で、小さな火が燃えている…)	(벽난로 안에서 작은 불이 타고 있다…)
73	0	0	(攻性生物の殻に模様をつけた飾りだ)	(공성생물 껍질에 무늬를 넣은 장식이다)
74	0	0	(攻性生物の内臓で作ってある)	(공격성 생물의 내장으로 만들어져 있다)
75	0	0	(後ろにのびてる通路に続いてるのか)	(뒤로 뻗어 있는 통로로 이어지는 건가)
76	0	0	(奴ら、儀が封印を解くのを見こして)	(녀석들,기가 봉인을 푸는 걸 예상하고)
77	0	0	(墜落したらしい…ひどく壊れている)	(추락한 모양이다… 심하게 부서져 있다)
78	0	0	(場所は…ゾアの北…95万リオン？)	(장소는… 조아의 북쪽… 95만 리온？)
79	0	0	(儀の事は気にしてないみたいだ…)	(기의 일은 신경 쓰지 않는 것 같다…)
80	0	0	(作物を運ぶためのかごらしい)	(작물을 나르기 위한 바구니인 모양이다)
81	0	0	(何も起こらなければいいけど…)	(아무 일도 일어나지 않으면 좋겠는데…)
82	0	0	(何か話してるけど…よく聞こえないな)	(뭔가 이야기하고 있는데…잘 안 들리네)
83	0	0	(今では、この男がゾアの支配者か…)	(지금은 이 남자가 조아의 지배자인가…)
84	0	0	(中身がすけるほど薄く削ってある…)	(내용물이 비칠 만큼 얇게 깎여 있다…)
85	0	0	(ハンターが弾薬入れによく使っている)	(헌터가 탄약통으로 자주 사용하고 있다)
86	0	0	(だから、ガッシュが操作できたのか)	(그래서,가슈가 조작할 수 있었던 건가)
87	0	0	(それがあれば、ここで何かが起きる…)	(그것이 있으면,여기서 뭔가 일어난다…)
88	0	0	(これが…全部さっきと同じ物なのか…)	(이게…전부 아까와 같은 물건인 건가…)
89	0	0	(この本は相当読みふるしてあるな…)	(이 책은 상당히 많이 읽어서 낡았군…)
90	0	0	(この向こうは通路になっているらしい)	(이 너머는 통로로 되어 있는 모양이다)
91	0	0	(こいつを乗りこなすのは大変そうだ)	(이 녀석을 능숙히 다루긴 힘들 듯하다)
92	0	0	(きれいな水が入っている…飲み水だな)	(깨끗한 물이 들어 있다… 마실 물이군)
93	0	0	(かまどの中で残り火が燃えている)	(아궁이 속에서 남은 불씨가 타고 있다)
94	0	0	(…予想以上に帝国軍の動きが速い…)	(…예상보다 제국군의 움직임이 빠르다…)
95	0	0	(…さては、儀らを親と間違えたな)	(…그렇다면,우리를 부모로 착각한 건가)
96	0	0	(香木が立ててある…古い物ばかりだ)	(향목이 세워져 있다… 죄다 오래됐다)
97	0	0	(頭をつぶさないときりがないぞ…)	(머리를 부수지 않으면 끝이 없겠군…)
98	0	0	(買い手があるとは思えないけど…)	(살 사람이 있을 것 같지는 않지만…)
99	0	0	(若い男が、息を殺して座っている…)	(젊은 남자가 숨죽인 채 앉아 있다…)
100	0	0	(粒子に当たると外にはじき出される…)	(입자에 맞으면 밖으로 튕겨 나간다…)
101	0	0	(発掘品いじりが役に立ったんだな)	(발굴품을 만지작거린 게 도움이 됐군)
102	0	0	(獲物をバラすのに忙しいらしい…)	(사냥감을 해체하느라 바쁜 것 같다…)
103	0	0	(特殊な器官を取り出しているらしい	(특수한 기관을 꺼내고 있는 모양이다)
104	0	0	(焼却炉の中で、本が焼け残っている…)	(소각로 안에 책이 타다 남아 있다…)
105	0	0	(棚にはつぼや食器がのっている)	(선반에는 항아리와 식기가 놓여 있다)
106	0	0	(最近、銃を持ち出したらしい…)	(최근에 총을 가지고 나간 모양이다…)
107	0	0	(旧式の銃だが、よく手入れされている)	(구식 총이지만 손질이 잘 되어 있다)
108	0	0	(旧世紀からずっと動き続けてるのかな)	(구세기부터 계속 움직이고 있는 걸까)
109	0	0	(換気のために管を通しているようだ)	(환기를 위해 관을 통과시킨 모양이다)
110	0	0	(後の通路みたいなのが気になるな…)	(뒤쪽 통로 같은 게 신경 쓰이는군…)
111	0	0	(帝国の書物だ…どこかで拾ったのかな)	(제국의 서적이다… 어디서 주운 걸까)
112	0	0	(実のならない木を育てるなんて…)	(열매를 맺지 않는 나무를 기르다니…)
113	0	0	(天井に物を吊るのに使うらしい)	(천장에 물건을 매다는 데 쓰나 보다)
114	0	0	(出入□を守るように飾りが置いてある)	(출입구□를 지키듯 장식이 놓여 있다)
115	0	0	(儀の持ち物に目をとめたようだ)	(의식의 소지품에 눈길을 준 것 같다)
116	0	0	(今はこれを修理しているらしい)	(지금은 이걸 수리하고 있는 모양이다)
117	0	0	(中身を取り出すための上げぶたか…)	(내용물을 꺼내기 위한 여닫이문인가…)
118	0	0	(中が空洞になってる…通れるな)	(속이 비어 있다… 지나갈 수 있겠군)
119	0	0	(ラグス草を栽培しているらしい)	(라구스 풀을 재배하고 있는 모양이다)
120	0	0	(パエットは、じっと発掘品を見ている)	(파에트는 가만히 발굴품을 보고 있다)
121	0	0	(パエットだ…不機嫌そうだな)	(파에트다… 기분이 안 좋아 보이는군)
122	0	0	(ハンターがよく使う携帯ランプだ)	(헌터가 자주 사용하는 휴대용 램프다)
123	0	0	(ザアルの実か…辺境では貴重品だ)	(자알 열매인가…변경에서는 귀중품이다)
124	0	0	(ん？ …体の下に、銃が落ちているな)	(음? …몸 아래에,총이 떨어져 있군)
125	0	0	(よく見ると、まだ何か残ってるな…)	(자세히 보니,아직 뭔가 남아 있군…)
126	0	0	(どうやら今は入れないらしい)	(아무래도 지금은 못 들어가는 듯하다)
127	0	0	(つぼの中の酒が光を放っている…)	(항아리 속의 술이 빛을 내고 있다…)
128	0	0	(だけど、これで攻性生物もこの辺りに)	(하지만,이걸로 공성생물도 이 근처에)
129	0	0	(そんなにドラゴンが見たかったのかな)	(그렇게나 드래곤이 보고 싶었던 걸까)
130	0	0	(それに、帝国軍も放っておけないし…)	(게다가,제국군도 그냥 둘 수 없고…)
131	0	0	(すぐにもここを出られそうなのに)	(당장이라도 나갈 수 있을 것 같은데)
132	0	0	(しかたない、他に道を探そう…)	(어쩔 수 없지,다른 길을 찾아보자…)
133	0	0	(これだけ戦闘を繰り返せば当然か…)	(이만큼 전투를 반복했으니 당연한가…)
134	0	0	(この道具箱、ずっと放ってあるのかな)	(이 도구함,계속 방치되어 있는 걸까)
135	0	0	(この光が街を照らしているのか…)	(이 빛이 마을을 비추고 있는 건가…)
136	0	0	(ここで全冥分の食事を作るらしい)	(여기서 모두의 식사를 만드는 듯하다)
137	0	0	(こいつを使って、ここの遣跡の封印を)	(이것을 사용해서,이곳 유적의 봉인을)
138	0	0	(こいつの真下の方が安全か…)	(이 녀석의 바로 아래쪽이 안전한가…)
139	0	0	(こいつ、どうして旧世紀の船の中に…)	(이 녀석,어째서 구세기의 배 안에…)
140	0	0	(きっと何かの鍵が必要なんだな…)	(분명 뭔가의 열쇠가 필요한 거겠지…)
141	0	0	(お互い、生きのびられればいいけど…)	(서로 살아남을 수 있으면 좋겠는데…)
142	0	0	(いろんな物が雑多に積み上げてある)	(여러 가지 물건이 뒤섞여 쌓여 있다)
143	0	0	(いや、あの沈んでた黒い遣跡！)	(아니,그 가라앉아 있던 검은 유적!)
144	0	0	(いいたき木だ…森の近くだからかな)	(좋은 장작이다… 숲 근처라서 그런가)
145	0	0	(あれ？ この人…確か、ゾアの街の…)	(어라? 이 사람…분명,조아 마을의…)
146	0	0	(あれ？ この下に落ちてるのは…)	(어라? 이 아래에 떨어져 있는 건…)
147	0	0	(あ、ドラゴンの体力が回復してる…)	(아,드래곤의 체력이 회복되고 있다…)
148	0	0	(…だめだ、とっくに冷たくなってる)	(…안 되겠어,벌써 차갑게 식어 있어)
149	0	0	(3体の敵を同時に攻撃できるやつだ)	(적 3체를 동시에 공격하는 녀석이다)
150	0	0	(飾り窓の向こうから光がさしている)	(장식 창 너머로 빛이 비치고 있다)
151	0	0	(風向と風力を計っているらしい)	(풍향과 풍력을 재고 있는 모양이다)
152	0	0	(門の開閉はここで行うようだ)	(문의 개폐는 여기서 하는 모양이다)
153	0	0	(透明な容器に酒が詰まっている)	(투명한 용기에 술이 가득 차 있다)
154	0	0	(親の巣の跡に何かある…？)	(부모의 둥지 흔적에 뭔가 있다…？)
155	0	0	(葬式の準備をしているらしい)	(장례식 준비를 하고 있는 것 같다)
156	0	0	(立派な寝床だけど…ちょっと汚いな)	(훌륭한 잠자리지만… 좀 지저분하군)
157	0	0	(狩りの無事を祈るためのしきたりだ)	(사냥의 무사함을 기원하는 관습이다)
158	0	0	(歳のわりには元気がよさそうだな)	(나이에 비해 기운이 넘쳐 보이는군)
159	0	0	(機械や道具が入っているらしい)	(기계나 도구가 들어 있는 모양이다)
160	0	0	(棚には本や物入れがのっている)	(선반에는 책과 수납함이 놓여 있다)
161	0	0	(机の上に、たくさん書物が出ている)	(책상 위에 서적이 잔뜩 나와 있다)
162	0	0	(早く3つ目の鍵を探さなきゃ…)	(빨리 세 번째 열쇠를 찾아야 해…)
163	0	0	(旧世紀の銃！ まだ使えそうだ)	(구세기의 총！ 아직 쓸 수 있겠다)
164	0	0	(旧世紀の発掘品、手作りの道具…)	(구세기의 발굴품,손수 만든 도구…)
165	0	0	(旅の道具が入っているようだ)	(여행용 도구가 들어 있는 것 같다)
166	0	0	(旅の荷物を入れる袋が置いてある)	(여행 짐을 넣는 자루가 놓여 있다)
167	0	0	(敷布の染め方はシーカー独特のものだ)	(천의 염색법은 시커 특유의 것이다)
168	0	0	(攻性生物の眼を使った飾りだ…)	(공성생물의 눈을 사용한 장식이다…)
169	0	0	(攻性生物の殻を彫った飾りだ)	(공성생물의 껍질을 조각한 장식이다)
170	0	0	(攻性生物の内臓や体液の匂いだ)	(공격성 생물의 내장과 체액 냄새다)
171	0	0	(攻性生物の内臓が干してある)	(공격성 생물의 내장이 말려져 있다)
172	0	0	(攻性生物の体液を塗った布だ)	(공격성 생물의 체액을 바른 천이다)
173	0	0	(心が通じるって、こんな感じなのかな)	(마음이 통한다는 게 이런 느낌일까)
174	0	0	(帝国の書物も混ざってるみたいだな)	(제국의 서적도 섞여 있는 모양이다)
175	0	0	(嫌われてるらしい…まいったな)	(미움받고 있는 모양이다… 난감하군)
176	0	0	(太った男がぶらついている…)	(뚱뚱한 남자가 어슬렁거리고 있다…)
177	0	0	(壁をくり抜いて棚を作ってある)	(벽을 파내어 선반을 만들어 놓았다)
178	0	0	(吊り床を支える網が引きちぎってある)	(해먹을 지탱하는 그물이 찢겨 있다)
179	0	0	(内部か…とにかく先に進もう…)	(내부인가… 어쨌든 먼저 나아가자…)
180	0	0	(入□が爆破されていて入れない…)	(입구가 폭파되어 들어갈 수 없다…)
181	0	0	(儀にはガラクタにしか見えないけど…)	(기에게는 고물로밖에 안 보이는데…)
182	0	0	(儀がこの遣跡の封印を解くのを)	(기가 이 유적의 봉인을 푸는 것을)
183	0	0	(倉庫の換気のための風車らしい)	(창고 환기를 위한 풍차인 모양이다)
184	0	0	(何か話してるみたいだけど…)	(뭔가 이야기하고 있는 것 같은데…)
185	0	0	(今日は特に調子がよさそうだ)	(오늘은 유난히 상태가 좋아 보인다)
186	0	0	(今夜、ここに来いと書いてある)	(오늘 밤 여기로 오라고 쓰여 있다)
187	0	0	(中身はほとんど持ち出されてるな…)	(내용물은 거의 다 빼낸 모양이군…)
188	0	0	(ランプを降ろすのに使ったらしい)	(램프를 내리는 데 사용한 모양이다)
189	0	0	(ドラゴンに関する本もあるみたいだ)	(드래곤에 관한 책도 있는 것 같다)
190	0	0	(ゾアの街にいたハンターの死体だ…)	(조아 마을에 있던 헌터의 시체다…)
191	0	0	(クレイメンの言っていたゲートって…)	(클레이멘이 말했던 게이트라는 게…)
192	0	0	(ガラクタの山に布をかぶせてある)	(잡동사니 더미에 천을 덮어 놓았다)
193	0	0	(アゼルは、じっと発掘物を見ている)	(아젤은,가만히 발굴물을 보고 있다)
194	0	0	(わき目もふらずに調べている…)	(한눈도 팔지 않고 조사하고 있다…)
195	0	0	(よく見ると、手を加えた跡がある)	(자세히 보니 손을 댄 흔적이 있다)
196	0	0	(みんな、こんな風に死んでいくのか…)	(모두,이런 식으로 죽어가는 건가…)
197	0	0	(なんだ…頭に声が響いてくる…)	(뭐지…머릿속에 목소리가 울려온다…)
198	0	0	(とにかく、本人に話を聞かないと…)	(아무튼,본인에게 이야기를 들어야…)
199	0	0	(つぼにはみんな封がしてある)	(항아리에는 모두 봉인이 되어 있다)
200	0	0	(そうだ、ハンターのラドガムって人だ)	(맞다,헌터인 라드감이라는 사람이다)
201	0	0	(さっきのが動力源じゃないのか！？)	(아까 그게 동력원이 아닌 건가!?)
202	0	0	(こんなもの、一体どうするんだ？)	(이런 걸 대체 어디에 쓰는 거지?)
203	0	0	(これで、お互い命の恩人どうしか)	(이걸로,서로 생명의 은인 사이인가)
204	0	0	(この銃で攻性生物と戦ったのか…)	(이 총으로 공성생물과 싸운 건가…)
205	0	0	(この遣跡で何をしようとしてるんだ？)	(이 유적에서 무엇을 하려는 거지?)
206	0	0	(この壁の裏には水道管があるからな…)	(이 벽 뒤에는 수도관이 있으니까…)
207	0	0	(こっちを気にしてるみたいだ…)	(이쪽을 신경 쓰고 있는 것 같다…)
208	0	0	(ここまでをもう一度調べてみるか…)	(여기까지를 다시 한번 조사해볼까…)
209	0	0	(ここにはあんな生き物までいるのか)	(여기에는 저런 생물까지 있는 건가)
210	0	0	(あの男はボアズという名だったな…)	(저 남자는 보아즈라는 이름이었지…)
211	0	0	(あの子は…確か、エンカクといったな)	(그 아이는…분명,엔카쿠라고 했었지)
212	0	0	(…塔と何か関係あるのか…？)	(…탑과 뭔가 관계가 있는 건가…?)
