# 사전에 없던 고유 글리프 541개 — 시트(work/sheet2)를 직접 읽어 채웠다.
# FNT	index	글자  (그 FNT 의 그 인덱스 글리프 비트맵이 이 글자다)
FLD_D3	52	紅
FLD_T0	41	頂
FLD_T0	195	肢
ITEM	0	Ln
ITEM	1	Kn
ITEM	10	範
ITEM	31	硬
ITEM	72	磨
ITEM	87	球
ITEM	146	花
ITEM	195	署
ITEM	221	冊
ITEM	241	析
ITEM	265	帳
ITEM	269	刃
ITEM	275	焦
ITEM	284	貫
MENU	10	該
MENUBK	5	邦
MENUBK	34	吉
MENUBK	35	象
MENUBK	48	兆
MENUBK	65	嘘
MENUBK	68	隅
MENUBK	97	誕
MENUBK	106	昨
MENUBK	126	虚
MENUBK	141	宙
MENUBK	216	縮
MENUBK	227	奇
MENUBK	231	宮
MENUBK	235	孤
MENUBK	258	悟
MENUBK	263	抱
MENUBK	264	渦
MENUBK	287	佐
MENUBK	339	胎
MENUBK	342	授
MENUBK	352	児
MENUBK	353	庇
MENUBK	355	如
MENUBK	373	打
MENUBK	400	喰
MENUBK	402	夕
MENUBK	415	済
MENUBK	438	清
MENUBK	441	浴
MENUBK	442	麻
MENUBK	446	燈
MENUBK	447	営
MENUBK	471	症
MENUBK	472	併
MENUBK	473	論
MENUBK	496	括
MENUBK	500	脳
MENUBK	527	抑
MENUBK	534	壌
MENUBK	549	苛
MENUBK	550	酷
MENUBK	552	及
MENUBK	556	枢
MENUBK	564	仰
MENUBK	580	躊
MENUBK	581	躇
MENUBK	585	惑
MENUBK	588	秀
MENUBK	601	著
MENUBK	608	慌
MENUBK	610	財
MENUBK	620	控
MENUBK	626	貢
MENUBK	627	献
MENUBK	628	崇
MENUBK	631	幾
MENUBK	640	央
MENUBK	641	参
MENUBK	648	搬
MENUBK	651	慎
MENUBK	656	暦
MENUBK	658	海
MENUBK	661	凌
MENUBK	662	駕
MENUBK	666	較
MENUBK	668	動
MENUBK	675	滞
MENUBK	682	偽
MENUBK	684	王
MENUBK	686	幅
MENUBK	687	暁
MENUBK	691	緯
MENUBK	692	踪
MENUBK	694	伴
MENUBK	701	林
MENUBK	705	既
MENUBK	708	隻
MENUBK	711	撤
MENUBK	717	延
MENUBK	718	腔
MENUBK	732	騎
MENUBK	735	俊
MENUBK	736	敏
MENUBK	737	釈
MENUEN	140	膚
MENUEN	178	即
MENUEN	188	厚
MENUEN	199	島
MENUEN	288	軸
MENUEN	353	盾
MENUEN	446	征
MENUEN	460	採
SHOP	15	購
WORLDMAP	30	峡
WORLDMAP	31	牧
